bundleCode;materialBarcode;count
BNP-CL/2;NP-CL;2
BNP-CL/2-7016;NP-CL-7016;2
BNP-CL/2-9010;NP-CL-9010;2

BNP-CLT/2;NP-CLT;2
BNP-CLT/2-7016;NP-CLT-7016;2
BNP-CLT/2-9010;NP-CLT-9010;2

BNP-CLT/4;NP-CLT;4
BNP-CLT/4-7016;NP-CLT-7016;4
BNP-CLT/4-9010;NP-CLT-9010;4

BNP-SL/5;NP-SL;5
BNP-SL/5-7016;NP-SL-7016;5
BNP-SL/5-9010;NP-SL-9010;5

BNP-CZ/2;NP-CZ;2
BNP-CZ/2-7016;NP-CZ-7016;2
BNP-CZ/2-9010;NP-CZ-9010;2

BNP-CZ/5;NP-CZ;5
BNP-CZ/5-7016;NP-CZ-7016;5
BNP-CZ/5-9010;NP-CZ-9010;5

BNP-SZ/7;NP-SZ;7
BNP-SZ/7-7016;NP-SZ-7016;7
BNP-SZ/7-9010;NP-SZ-9010;7

BNP-HK/20;NP-HK;20

BNP-T+TF;NP-T;1
BNP-T+TF;NP-TF;1
BNP-T+TF-7016;NP-T-7016;1
BNP-T+TF-7016;NP-TF-7016;1
BNP-T+TF-9010;NP-T-9010;1
BNP-T+TF-9010;NP-TF-9010;1

CT-CL2+CLT2+CLB2;NP-CL;2
CT-CL2+CLT2+CLB2;NP-CLT;2
CT-CL2+CLT2+CLB2;NP-CLB;2

CT-CL2+CLT2+CLB2-7016;NP-CL-7016;2
CT-CL2+CLT2+CLB2-7016;NP-CLT-7016;2
CT-CL2+CLT2+CLB2-7016;NP-CLB;2

CT-CL2+CLT2+CLB2-9010;NP-CL-9010;2
CT-CL2+CLT2+CLB2-9010;NP-CLT-9010;2
CT-CL2+CLT2+CLB2-9010;NP-CLB;2

CT-SL2;NP-SL;2
CT-SL2-7016;NP-SL-7016;2
CT-SL2-9010;NP-SL-9010;2

BNP-CLB/2;NP-CLB;2

BSR-T/84;SR-T;84
BSR-T/4;SR-T;4

BMT-Z/5;MT-Z;5
BMT-Z/10;MT-Z;10

BTE-H-18/23;TE-H-18;23

BMT-T/10;MT-T;10

BMT-P/50;MT-P;50
BMT-P/20;MT-P;20

CMT-L2;MT-L;2

CSR-Z+P;SR-Z;1
CSR-Z+P;SR-P-3000;1

CMT-Z+P;MT-Z;1
CMT-Z+P;MT-P;1

