bundleCode;bundleName
BT-CL2;CipzárosLáb_Pár
BT-CL2-7016;CipzárosLáb_Pár
BT-CL2-9010;CipzárosLáb_Pár

BT-CLT2;Lábtakaró_Pár
BT-CLT2-7016;Lábtakaró_Pár
BT-CLT2-9010;Lábtakaró_Pár

BT-CLT4;Lábtakaró_2Pár;7000
BT-CLT4-7016;Lábtakaró_2Pár
BT-CLT4-9010;Lábtakaró_2Pár

BT-SL5;SinesLáb_5db
BT-SL5-7016;SinesLáb_5db
BT-SL5-9010;SinesLáb_5db

BT-CZ2;CipzárosZáró_Pár
BT-CZ2-7016;CipzárosZáró_Pár
BT-CZ2-9010;CipzárosZáró_Pár

BT-CZ5;CipzárosZáró_5db
BT-CZ5-7016;CipzárosZáró_5db
BT-CZ5-9010;CipzárosZáró_5db

BT-SZ7;SinesZáró_7db
BT-SZ7-7016;SinesZáró_7db
BT-SZ7-9010;SinesZáró_7db

BT-T+TF;NaphálóTok+Fedél
BT-T+TF-7016;NaphálóTok+Fedél
BT-T+TF-9010;NaphálóTok+Fedél

BT-CLB2;CipzárosLábbetét_Pár

BT-HK20;KurbliCső_20db

CT-CL2+CLT2+CLB2;CipzárosLáb_Combo
CT-CL2+CLT2+CLB2-7016;CipzárosLáb_Combo
CT-CL2+CLT2+CLB2-9010;CipzárosLáb_Combo

CT-SL2;SinesLáb_Combo
CT-SL2-7016;SinesLáb_Combo
CT-SL2-9010;SinesLáb_Combo
