externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;handlerSide;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded
"1273";"frama";0;0;1140;;5;Unknown;"";NP-SL-7016;Width;false
"1274";"frama";0;0;850;;4;Unknown;"";NP-SL-7016;Width;false
"1275";"frama";0;0;790;;5;Unknown;"";NP-SL-7016;Width;false
"1276";"frama";0;0;720;;8;Unknown;"";NP-SL-7016;Width;false
"1277";"frama";0;0;1780;;2;Unknown;"";NP-SL-7016;Width;false
"1278";"frama";0;0;2850;;2;Unknown;"";NP-SL-7016;Width;false
"1279";"frama";0;0;790;;5;Unknown;"";NP-SL-7016;Width;false
"1280";"frama";0;0;1630;;4;Unknown;"";NP-SL-7016;Width;false
"1281";"frama";0;0;1670;;10;Unknown;"";NP-SL-7016;Width;false
"1282";"frama";0;0;1210;;2;Unknown;"";NP-SL-7016;Width;false
"1283";"frama";0;0;1100;;1;Unknown;"";NP-SL-7016;Width;false
"1284";"frama";0;0;1910;;1;Unknown;"";NP-SL-7016;Width;false
"1285";"frama";0;0;860;;2;Unknown;"";NP-SL-7016;Width;false
"1286";"frama";0;0;860;;2;Unknown;"";NP-SL-7016;Width;false
"1287";"frama";0;0;1430;;1;Unknown;"";NP-SL-7016;Width;false
"1288";"frama";0;0;1430;;1;Unknown;"";NP-SL-7016;Width;false
"1289";"frama";0;0;1430;;1;Unknown;"";NP-SL-7016;Width;false
"1290";"frama";0;0;1430;;1;Unknown;"";NP-SL-7016;Width;false
