materialBarCode;availableLength_mm;source;optimizationId;barcode;storageBarcode;createdAt;lastSeenAt;status;notFoundCount
TE-H-32;2190;Manual;;RSM-171;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-H-32;1234;Manual;;RSM-012;WH04;2026-06-23T20:01:22;2026-07-14T21:41:41;good;0
TE-R-23;3150;Manual;;RSM-170;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-H-32;3500;Manual;;RSM-172;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-H-18;2000;Manual;;RSM-173;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-H-18;5500;Manual;;RSM-174;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-S-18;2000;Manual;;RSM-175;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-H-38;410;Manual;;RSM-176;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-H-32;2090;Manual;;RSM-177;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-R-23;1780;Manual;;RSM-179;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-R-23;1290;Manual;;RSM-180;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-R-23;1220;Manual;;RSM-181;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
TE-R-23;1220;Manual;;RSM-182;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
ROL-P;1200;Manual;;RSM-184;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;1
ROL-P;1200;Manual;;RSM-185;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;1
ROL-P;630;Manual;;RSM-187;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;1
ROL-P;1750;Manual;;RSM-188;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-CLT-9010;1753;Manual;;RSM-152;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-SL-9010;2500;Manual;;RSM-156;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;1
NP-SL-9010;2500;Manual;;RSM-157;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-SL-9010;1400;Manual;;RSM-158;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-SL-9010;1320;Manual;;RSM-162;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-CZ-9010;1430;Manual;;RSM-164;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;1
NP-CZ-9010;950;Manual;;RSM-167;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-CL-7016;1570;Manual;;RSM-141;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-CLT-7016;1570;Manual;;RSM-142;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;2
NP-CLB;573;Manual;;RSM-143;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-CZ-7016;1230;Manual;;RSM-115;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-CZ-7016;750;Manual;;RSM-120;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-TF-7016;1325;Manual;;RSM-014;RACK66;2026-06-23T20:01:22;2026-07-14T21:41:54;good;0
NP-CZ-9010;2175;Manual;;RSM-018;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;1
NP-T-9010;900;Manual;;RSM-101;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-T-9010;900;Manual;;RSM-102;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
NP-TF-9010;875;Manual;;RSM-103;RACK66;2026-06-23T20:01:22;2026-06-23T20:01:22;good;0
