productType;productSubtype;family;groupKey
NP;CIP;Tok;RNP-T
NP;CIP;TokFed;RNP-TF
NP;CIP;Zaro;RNP-CZ
NP;CIP;Lab;RNP-CL2+CLT2+CLB2
NP;CIP;Tengely;RNP-ROLL
NP;CIP;Suly;RNP-CBAR

NP;SIN;Tok;RNP-T
NP;SIN;TokFed;RNP-TF
NP;SIN;Zaro;RNP-SZ
NP;SIN;Lab;RNP-SL2
NP;SIN;Tengely;RNP-ROLL
NP;SIN;Suly;RNP-SBAR

NP;BOW;Tok;RNP-T
NP;BOW;TokFed;RNP-TF
NP;BOW;Zaro;RNP-SZ
NP;BOW;Bowden;RNP-B
NP;BOW;Tengely;RNP-ROLL
NP;BOW;Suly;RNP-SBAR

ROL;ALAP;Tengely;RTE-R-23
ROL;ALAP;Palca;RROL-P

ROL;RUG;Tengely;RTE-R-23
ROL;RUG;Palca;RROL-P

ROL;TET;Tengely;RTE-R-23
ROL;TET;Palca;RROL-P

ROL;TET_NAGY;Tengely;RTE-R-23
ROL;TET_NAGY;Palca;RROL-P

ROL;UJGY;Tengely;RTE-H-32
ROL;UJGY;Zaro;RROL-GYZ

ROL;TSIN;Tok;RMT-T
ROL;TSIN;Tengely;RTE-H-18
ROL;TSIN;Zaro;RMT-Z
ROL;TSIN;Lab;RMT-L

SR;T;Tok;RSR-T
SR;T;Tengely;RTE-H-32
SR;T;Zaro;RSR-ZP

SR;TN;FelsoSin;RSR-FSN
SR;TN;Tengely;RTE-H-32
SR;TN;Zaro;RSR-ZP

SR;MINIT;Tok;RMT-T
SR;MINIT;Tengely;RTE-H-18
SR;MINIT;Zaro;RMT-ZP
SR;MINIT;Lab;RMT-L

SR;MOT;Tok;RSR-T
SR;MOT;Tengely;RTE-B-47
SR;MOT;Zaro;RSR-ZP
