#VERSION 2
#CUTPLANS
{2119fb2c-f84b-4470-b995-c507dcfeda72};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-478;11314788;;RSM-478;2195
{e5ef1d05-94e0-4625-b526-05fecaec8dbd};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;STOCK;;3;;;3000
{2e1f6ebb-81dc-4701-888c-d64237e9860b};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;STOCK;;32;;;3000
{f12af142-2d95-4f41-8d18-67a68786e25b};3;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;STOCK;MAT-M-717;1;;MAT-M-717;6000
{24417955-64a1-4c69-981e-e08c5d749996};4;NOT_STARTED;Rod-H;NP-T-7016;CM2;3.2;STOCK;MAT-M-720;1;;MAT-M-720;6000
{7d930f2f-7371-480d-a51a-cb8be6a93dba};5;NOT_STARTED;Rod-J;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;1;;RSM-341;2400
{0e6626fd-495c-41a3-8121-2b9742109b2c};6;NOT_STARTED;Rod-K;NP-CLB;CM2;3.2;REUSABLE;RSM-766;1;;RSM-766;2875
{b1e4d6a5-e93a-44e9-a3d2-030af4247bb4};7;NOT_STARTED;Rod-M;NP-CZ-7016;CM2;3.2;REUSABLE;RSM-703;1;;RSM-703;3075
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};8;NOT_STARTED;Rod-N;NP-CLT-7016;CM2;3.2;STOCK;MAT-M-730;1;;MAT-M-730;7000
{13ee490f-bc75-4ca2-a4ff-497d8e9bec01};9;NOT_STARTED;Rod-N;NP-CLT-7016;CM2;3.2;STOCK;MAT-M-733;1;;MAT-M-733;7000
{552446f5-8f75-4a90-8f60-a632d9c6c662};10;NOT_STARTED;Rod-P;NP-TF-7016;CM2;3.2;REUSABLE;RSM-704;1;;RSM-704;2950
{2966d3cf-8d23-4a6c-8fef-725ddef92ebf};11;NOT_STARTED;Rod-Q;NP-BAR22-3000;CM1;2;REUSABLE;RSM-623;1;TOLDAS_TOLDAT;RSM-623;1000
{9dc19689-d987-4319-accd-6c67fb87e501};12;NOT_STARTED;Rod-R;NP-CL-7016;CM2;3.2;REUSABLE;RSM-716;1;;RSM-716;4150
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};13;NOT_STARTED;Rod-R;NP-CL-7016;CM2;3.2;STOCK;MAT-M-741;1;;MAT-M-741;7000
{1a80f129-97b5-44d2-88ce-a9614a42e01d};14;NOT_STARTED;Rod-S;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-733;1;;RSM-733;3016
{0f2ce7ab-8876-4d92-9cda-d242a24378ac};15;NOT_STARTED;Rod-T;NP-CLB;CM2;3.2;REUSABLE;RSM-767;1;;RSM-767;3380
{4665f971-4d9c-4261-b887-54903f85fa3b};16;NOT_STARTED;Rod-U;NP-CZ-7016;CM2;3.2;STOCK;MAT-M-749;1;;MAT-M-749;7000
{4c4ccc84-c238-4dfb-bdba-2d2a6a06c480};17;NOT_STARTED;Rod-U;NP-CZ-7016;CM2;3.2;STOCK;MAT-M-751;1;;MAT-M-751;7000
{59c25a7f-d3a5-44b4-a71a-be0fe84f3fc1};18;NOT_STARTED;Rod-V;NP-T-7016;CM2;3.2;STOCK;MAT-M-754;1;;MAT-M-754;6000
{bfabce8c-10a0-4412-9517-69b41c38c33a};19;NOT_STARTED;Rod-W;NP-TF-7016;CM2;3.2;STOCK;MAT-M-757;1;;MAT-M-757;6000
{09c8d8aa-e2d7-4a52-9937-2462bbeb8ca2};20;NOT_STARTED;Rod-X;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{cce8d9f8-5e32-4f6f-80e7-75badaa926a5};21;NOT_STARTED;Rod-Y;NP-ROLL70-5000;CM1;2;STOCK;MAT-M-762;1;;MAT-M-762;5000
{dc577dd0-503f-481d-b817-3f81f72fd263};22;NOT_STARTED;Rod-AA;NP-CLB;CM2;3.2;STOCK;MAT-M-765;1;;MAT-M-765;6000
{182a2cc8-5cc1-4306-aa81-3a3fb333522e};23;NOT_STARTED;Rod-AB;NP-SZ-7016;CM2;3.2;STOCK;MAT-M-768;1;;MAT-M-768;7000
{db9fb201-1b2f-4714-9b20-6002cb32bc6f};24;NOT_STARTED;Rod-AC;NP-T-7016;CM2;3.2;STOCK;MAT-M-771;1;;MAT-M-771;6000
{0dafb529-3214-48f8-91f5-e027892d6a50};25;NOT_STARTED;Rod-AD;NP-TF-7016;CM2;3.2;STOCK;MAT-M-774;1;;MAT-M-774;6000
{0a448b5e-79b4-4936-a524-f3dc695fee0e};26;NOT_STARTED;Rod-AE;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{326e3fc5-66d7-4c72-af5f-dcf39ffd01d5};27;NOT_STARTED;Rod-AF;NP-BAR22-3000;CM1;2;STOCK;MAT-M-779;1;;MAT-M-779;3000
{310c91de-8976-480a-980f-ff8aad141b1a};28;NOT_STARTED;Rod-AG;NP-SL-7016;CM2;3.2;REUSABLE;RSM-765;1;;RSM-765;3225
#SEGMENTS
{2119fb2c-f84b-4470-b995-c507dcfeda72};0;P;2195;MAT-M-714;{3968a447-4dc7-487b-b171-e6678966b574};133
{e5ef1d05-94e0-4625-b526-05fecaec8dbd};0;P;3000;MAT-M-715;{b266adb0-cd14-47d0-8b77-19d36735e208};127
{2e1f6ebb-81dc-4701-888c-d64237e9860b};0;P;3000;MAT-M-716;{f6554935-c965-4c7a-9814-efb7363490b9};139
{f12af142-2d95-4f41-8d18-67a68786e25b};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{f12af142-2d95-4f41-8d18-67a68786e25b};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{f12af142-2d95-4f41-8d18-67a68786e25b};2;P;3739;MAT-M-718;{879910d9-146b-4701-981b-69a3c11a56ac};127
{f12af142-2d95-4f41-8d18-67a68786e25b};3;K;2;KERF;{879910d9-146b-4701-981b-69a3c11a56ac};127
{f12af142-2d95-4f41-8d18-67a68786e25b};4;P;2189;MAT-M-719;{20ccf92c-8e82-4deb-a485-abae5dc87351};148
{f12af142-2d95-4f41-8d18-67a68786e25b};5;K;2;KERF;{20ccf92c-8e82-4deb-a485-abae5dc87351};148
{24417955-64a1-4c69-981e-e08c5d749996};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{24417955-64a1-4c69-981e-e08c5d749996};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{24417955-64a1-4c69-981e-e08c5d749996};2;P;2515;MAT-M-721;{d67e8795-297a-4b47-aba9-0613b97e29a8};133
{24417955-64a1-4c69-981e-e08c5d749996};3;K;3.2;KERF;{d67e8795-297a-4b47-aba9-0613b97e29a8};133
{24417955-64a1-4c69-981e-e08c5d749996};4;P;2270;MAT-M-722;{ad0f6c4c-91b6-49a3-82d1-68e7b34617d8};148
{24417955-64a1-4c69-981e-e08c5d749996};5;K;3.2;KERF;{ad0f6c4c-91b6-49a3-82d1-68e7b34617d8};148
{7d930f2f-7371-480d-a51a-cb8be6a93dba};0;P;2295;MAT-M-724;{b5b18b49-8939-4570-825a-7d0abd27ef0f};148
{7d930f2f-7371-480d-a51a-cb8be6a93dba};1;K;3.2;KERF;{b5b18b49-8939-4570-825a-7d0abd27ef0f};148
{0e6626fd-495c-41a3-8121-2b9742109b2c};0;P;2597;MAT-M-726;{3b1970f0-b247-4e32-93bf-82d486d922ad};148
{0e6626fd-495c-41a3-8121-2b9742109b2c};1;K;3.2;KERF;{3b1970f0-b247-4e32-93bf-82d486d922ad};148
{b1e4d6a5-e93a-44e9-a3d2-030af4247bb4};0;P;2177;MAT-M-728;{6c3198b9-ce69-4bd3-884f-06ec2870094c};148
{b1e4d6a5-e93a-44e9-a3d2-030af4247bb4};1;K;3.2;KERF;{6c3198b9-ce69-4bd3-884f-06ec2870094c};148
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};2;P;2497;MAT-M-731;{d778b93e-59b8-4fc2-bd98-445ca390ca3a};127
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};3;K;3.2;KERF;{d778b93e-59b8-4fc2-bd98-445ca390ca3a};127
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};4;P;2597;MAT-M-732;{f9d33cd9-a268-4157-ac48-1445fc6077ee};148
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};5;K;3.2;KERF;{f9d33cd9-a268-4157-ac48-1445fc6077ee};148
{13ee490f-bc75-4ca2-a4ff-497d8e9bec01};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{13ee490f-bc75-4ca2-a4ff-497d8e9bec01};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{13ee490f-bc75-4ca2-a4ff-497d8e9bec01};2;P;2497;MAT-M-734;{014d3451-16cf-4f96-adfd-551c0a1c1b6f};139
{13ee490f-bc75-4ca2-a4ff-497d8e9bec01};3;K;3.2;KERF;{014d3451-16cf-4f96-adfd-551c0a1c1b6f};139
{552446f5-8f75-4a90-8f60-a632d9c6c662};0;P;2515;MAT-M-736;{169ac8dd-7976-47f9-ae46-9160503423cd};133
{552446f5-8f75-4a90-8f60-a632d9c6c662};1;K;3.2;KERF;{169ac8dd-7976-47f9-ae46-9160503423cd};133
{2966d3cf-8d23-4a6c-8fef-725ddef92ebf};0;P;675;MAT-M-738;{7721dead-71ea-43d2-897c-9178235c0104};127
{2966d3cf-8d23-4a6c-8fef-725ddef92ebf};1;K;2;KERF;{7721dead-71ea-43d2-897c-9178235c0104};127
{9dc19689-d987-4319-accd-6c67fb87e501};0;P;2597;MAT-M-740;{0fccdc31-c2ba-4a9c-b510-b1d84d29cef9};148
{9dc19689-d987-4319-accd-6c67fb87e501};1;K;3.2;KERF;{0fccdc31-c2ba-4a9c-b510-b1d84d29cef9};148
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};2;P;2497;MAT-M-742;{c72fc505-7fd8-4e8e-b5db-aeb6ad33c6ae};127
