#VERSION 2
#CUTPLANS
{67368562-0b20-4091-bfc1-60994ceb5454};29;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-478;12475764;;RSM-478;2195
{f649d8b5-8677-4a1f-b65a-23d336a7542a};30;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;STOCK;;3;;;3000
{4471cedf-ce33-44fc-985f-6b0222fe218d};31;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;STOCK;;32;;;3000
{3a21e3fc-8c2a-4470-b841-451153a2348b};32;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;STOCK;MAT-M-787;2;;MAT-M-787;6000
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};33;NOT_STARTED;Rod-H;NP-T-7016;CM2;3.2;STOCK;MAT-M-790;2;;MAT-M-790;6000
{2b0b31f7-0535-47f6-a169-acf194a49771};34;NOT_STARTED;Rod-J;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;2;;RSM-341;2400
{7a82f9db-7752-4587-b835-3ffda5459a83};35;NOT_STARTED;Rod-K;NP-CLB;CM2;3.2;REUSABLE;RSM-766;2;;RSM-766;2875
{d373453a-83d4-4558-9bbd-48c95817377f};36;NOT_STARTED;Rod-M;NP-CZ-7016;CM2;3.2;REUSABLE;RSM-703;2;;RSM-703;3075
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};37;NOT_STARTED;Rod-N;NP-CLT-7016;CM2;3.2;STOCK;MAT-M-800;2;;MAT-M-800;7000
{46d7f140-fd36-453a-9dbf-8dc7646bd086};38;NOT_STARTED;Rod-N;NP-CLT-7016;CM2;3.2;STOCK;MAT-M-803;2;;MAT-M-803;7000
{c12c4892-7843-43cf-9a27-dc399a6e885d};39;NOT_STARTED;Rod-P;NP-TF-7016;CM2;3.2;REUSABLE;RSM-704;2;;RSM-704;2950
{2b213e3a-1a7c-4d43-927a-99210e84c549};40;NOT_STARTED;Rod-Q;NP-BAR22-3000;CM1;2;REUSABLE;RSM-623;2;TOLDAS_TOLDAT;RSM-623;1000
{11ff4bde-445c-47bd-a76b-032d5f35afae};41;NOT_STARTED;Rod-R;NP-CL-7016;CM2;3.2;REUSABLE;RSM-716;2;;RSM-716;4150
{1fa32f08-98be-4c28-b495-e02b7cd25c04};42;NOT_STARTED;Rod-R;NP-CL-7016;CM2;3.2;STOCK;MAT-M-811;2;;MAT-M-811;7000
{d090e5e8-8de8-4cbb-9b89-668ed1faa227};43;NOT_STARTED;Rod-S;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-733;2;;RSM-733;3016
{f84af646-608b-4c28-a173-8bde4c9b1743};44;NOT_STARTED;Rod-T;NP-CLB;CM2;3.2;REUSABLE;RSM-767;2;;RSM-767;3380
{48b49ebf-5494-4b74-87aa-5a0a07fe6b78};45;NOT_STARTED;Rod-U;NP-CZ-7016;CM2;3.2;STOCK;MAT-M-819;2;;MAT-M-819;7000
{ce8fe2a5-e87d-40e6-84db-cb6a95e6c764};46;NOT_STARTED;Rod-U;NP-CZ-7016;CM2;3.2;STOCK;MAT-M-821;2;;MAT-M-821;7000
{786378c7-b7c8-4486-9719-a70ed49e85cd};47;NOT_STARTED;Rod-V;NP-T-7016;CM2;3.2;STOCK;MAT-M-824;2;;MAT-M-824;6000
{667693ca-52be-48f0-89f9-88ac5cd90732};48;NOT_STARTED;Rod-W;NP-TF-7016;CM2;3.2;STOCK;MAT-M-827;2;;MAT-M-827;6000
{6c7ac836-46af-45dd-ba6f-608393d3ae60};49;NOT_STARTED;Rod-X;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;2;TOLDAS_TOLDAT;RSM-740;1050
{56ab11aa-f256-4556-a127-cfeab3feabde};50;NOT_STARTED;Rod-Y;NP-ROLL70-5000;CM1;2;STOCK;MAT-M-832;2;;MAT-M-832;5000
{c052cb20-c129-481a-9c60-cf7389ff93e0};51;NOT_STARTED;Rod-AA;NP-CLB;CM2;3.2;STOCK;MAT-M-835;2;;MAT-M-835;6000
{f429ecbd-2a81-4865-8910-133fe2b71480};52;NOT_STARTED;Rod-AB;NP-SZ-7016;CM2;3.2;STOCK;MAT-M-838;2;;MAT-M-838;7000
{8dc91b0f-164a-4216-9f89-14fc0172a779};53;NOT_STARTED;Rod-AC;NP-T-7016;CM2;3.2;STOCK;MAT-M-841;2;;MAT-M-841;6000
{5643df16-4954-4b38-8ab2-11c3efb45a33};54;NOT_STARTED;Rod-AD;NP-TF-7016;CM2;3.2;STOCK;MAT-M-844;2;;MAT-M-844;6000
{d436f83f-18fc-4ffa-acc0-31e79c771434};55;NOT_STARTED;Rod-AE;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;2;TOLDAS_TOLDAT;RSM-569;1085
{da6fedfe-3139-445d-8997-54745b25cea4};56;NOT_STARTED;Rod-AF;NP-BAR22-3000;CM1;2;STOCK;MAT-M-849;2;;MAT-M-849;3000
{6a14fa6b-323a-4d8d-8a0b-95c23ab4424a};57;NOT_STARTED;Rod-AG;NP-SL-7016;CM2;3.2;REUSABLE;RSM-765;2;;RSM-765;3225
#SEGMENTS
{67368562-0b20-4091-bfc1-60994ceb5454};0;P;2195;MAT-M-784;{c540893d-1807-4dee-8a94-35fcac7925a3};133
{f649d8b5-8677-4a1f-b65a-23d336a7542a};0;P;3000;MAT-M-785;{5139fddd-4c97-459d-b5d6-831d546e87f3};127
{4471cedf-ce33-44fc-985f-6b0222fe218d};0;P;3000;MAT-M-786;{8a94af57-80f7-4f06-bfac-89558ab4e7f5};139
{3a21e3fc-8c2a-4470-b841-451153a2348b};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3a21e3fc-8c2a-4470-b841-451153a2348b};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3a21e3fc-8c2a-4470-b841-451153a2348b};2;P;3739;MAT-M-788;{af5e69ba-f5ae-4518-9511-7abe05021f83};127
{3a21e3fc-8c2a-4470-b841-451153a2348b};3;K;2;KERF;{af5e69ba-f5ae-4518-9511-7abe05021f83};127
{3a21e3fc-8c2a-4470-b841-451153a2348b};4;P;2189;MAT-M-789;{e10cb21b-f39b-4b2e-b86d-86d151a21e2d};148
{3a21e3fc-8c2a-4470-b841-451153a2348b};5;K;2;KERF;{e10cb21b-f39b-4b2e-b86d-86d151a21e2d};148
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};2;P;2515;MAT-M-791;{eb647512-bce2-442a-924f-cbbff18a66ee};133
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};3;K;3.2;KERF;{eb647512-bce2-442a-924f-cbbff18a66ee};133
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};4;P;2270;MAT-M-792;{4160fede-ce9e-4e4b-8a5c-50e4166d8085};148
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};5;K;3.2;KERF;{4160fede-ce9e-4e4b-8a5c-50e4166d8085};148
{2b0b31f7-0535-47f6-a169-acf194a49771};0;P;2295;MAT-M-794;{759a6aa5-cee0-4826-8917-51866e0161b7};148
{2b0b31f7-0535-47f6-a169-acf194a49771};1;K;3.2;KERF;{759a6aa5-cee0-4826-8917-51866e0161b7};148
{7a82f9db-7752-4587-b835-3ffda5459a83};0;P;2597;MAT-M-796;{a64e60c5-58f8-423d-9743-62e66882537b};148
{7a82f9db-7752-4587-b835-3ffda5459a83};1;K;3.2;KERF;{a64e60c5-58f8-423d-9743-62e66882537b};148
{d373453a-83d4-4558-9bbd-48c95817377f};0;P;2177;MAT-M-798;{d6e73a7b-ed85-4336-a8fe-165d4b8dfe4d};148
{d373453a-83d4-4558-9bbd-48c95817377f};1;K;3.2;KERF;{d6e73a7b-ed85-4336-a8fe-165d4b8dfe4d};148
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};2;P;2497;MAT-M-801;{0baa31be-efe9-476a-b101-57175352627d};127
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};3;K;3.2;KERF;{0baa31be-efe9-476a-b101-57175352627d};127
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};4;P;2597;MAT-M-802;{10629b55-814e-4d07-ad4e-c2a9e85cb2c3};148
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};5;K;3.2;KERF;{10629b55-814e-4d07-ad4e-c2a9e85cb2c3};148
{46d7f140-fd36-453a-9dbf-8dc7646bd086};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{46d7f140-fd36-453a-9dbf-8dc7646bd086};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{46d7f140-fd36-453a-9dbf-8dc7646bd086};2;P;2497;MAT-M-804;{b56be258-9b0f-4ded-80d0-fd3d9bfa3f9b};139
{46d7f140-fd36-453a-9dbf-8dc7646bd086};3;K;3.2;KERF;{b56be258-9b0f-4ded-80d0-fd3d9bfa3f9b};139
{c12c4892-7843-43cf-9a27-dc399a6e885d};0;P;2515;MAT-M-806;{d09ba442-d77e-4515-bb4b-2bc5d0b693cd};133
{c12c4892-7843-43cf-9a27-dc399a6e885d};1;K;3.2;KERF;{d09ba442-d77e-4515-bb4b-2bc5d0b693cd};133
{2b213e3a-1a7c-4d43-927a-99210e84c549};0;P;675;MAT-M-808;{5354a987-628d-4b03-b77c-875f23318a6c};127
{2b213e3a-1a7c-4d43-927a-99210e84c549};1;K;2;KERF;{5354a987-628d-4b03-b77c-875f23318a6c};127
{11ff4bde-445c-47bd-a76b-032d5f35afae};0;P;2597;MAT-M-810;{4abd15c4-f50e-424b-a5f3-3680a4dad7f9};148
{11ff4bde-445c-47bd-a76b-032d5f35afae};1;K;3.2;KERF;{4abd15c4-f50e-424b-a5f3-3680a4dad7f9};148
{1fa32f08-98be-4c28-b495-e02b7cd25c04};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1fa32f08-98be-4c28-b495-e02b7cd25c04};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
