#VERSION 2
#CUTPLANS
{235176a3-cb04-4d4b-8610-d73b398d6495};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-478;35709620;;RSM-478;2195
{95b37652-add3-4325-ae66-6d2a32535969};1;NOT_STARTED;Rod-C;NP-ROLL70-6000;CM1;2;STOCK;MAT-M-925;1;TOLDAS_TOLDAT;MAT-M-925;6000
{9e151fa1-b7a6-404c-9cc4-7a2134a8e2d3};2;NOT_STARTED;Rod-D;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;1;TOLDAS_TOLDAT;RSM-341;2400
{122a2802-0efa-4ba6-958e-d77af180e162};3;NOT_STARTED;Rod-E;NP-T-7016;CM2;3.2;STOCK;MAT-M-930;1;TOLDAS_TOLDAT;MAT-M-930;6000
{a7c6d7a4-5a41-42a2-9b30-6b9f5f409c62};4;NOT_STARTED;Rod-F;NP-CLB;CM2;3.2;REUSABLE;RSM-766;1;TOLDAS_TOLDAT;RSM-766;2875
{5a92809f-9099-4308-b833-52162dd88fca};5;NOT_STARTED;Rod-G;NP-TF-7016;CM2;3.2;REUSABLE;RSM-704;1;TOLDAS_TOLDAT;RSM-704;2950
{e9fda37c-68a6-469b-9628-b34abb7d3c22};6;NOT_STARTED;Rod-H;NP-BAR22-3000;CM1;2;STOCK;MAT-M-938;1;;MAT-M-938;3000
{dea975fa-8cb6-4b4c-8ffb-330169276bca};7;NOT_STARTED;Rod-J;NP-CZ-7016;CM2;3.2;REUSABLE;RSM-703;1;TOLDAS_TOLDAT;RSM-703;3075
{ef07dad1-2a63-400d-912d-7a76e12615cf};8;NOT_STARTED;Rod-K;NP-CLT-7016;CM2;3.2;STOCK;MAT-M-943;1;TOLDAS_TOLDAT;MAT-M-943;7000
{94bde72a-2fee-485a-9fb8-a5bd821afce1};9;NOT_STARTED;Rod-K;NP-CLT-7016;CM2;3.2;STOCK;MAT-M-946;1;TOLDAS_TOLDAT;MAT-M-946;7000
{d8af2c31-d05d-4fdf-b4cc-5b5b0b9f5078};10;NOT_STARTED;Rod-M;NP-CL-7016;CM2;3.2;REUSABLE;RSM-716;1;TOLDAS_TOLDAT;RSM-716;4150
{c01cd306-b607-46b2-bc36-917abf910fe0};11;NOT_STARTED;Rod-M;NP-CL-7016;CM2;3.2;STOCK;MAT-M-950;1;TOLDAS_TOLDAT;MAT-M-950;7000
{d3f4b5de-46b1-4e9c-8b6b-4e93ae85b2c6};12;NOT_STARTED;Rod-N;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-733;1;TOLDAS_TOLDAT;RSM-733;3016
{96688c5e-5863-457b-901d-0697fc6159ff};13;NOT_STARTED;Rod-P;NP-CLB;CM2;3.2;REUSABLE;RSM-767;1;TOLDAS_TOLDAT;RSM-767;3380
{6dcd6f98-b4f4-4798-ac77-3cec27e47d57};14;NOT_STARTED;Rod-Q;NP-TF-7016;CM2;3.2;STOCK;MAT-M-958;1;TOLDAS_TOLDAT;MAT-M-958;6000
{f0ad6d77-e51e-4f7d-87d4-78515e826ea6};15;NOT_STARTED;Rod-R;NP-CZ-7016;CM2;3.2;STOCK;MAT-M-961;1;TOLDAS_TOLDAT;MAT-M-961;7000
{b8ed713e-9a64-42ab-a085-effb304f21fd};16;NOT_STARTED;Rod-R;NP-CZ-7016;CM2;3.2;STOCK;MAT-M-963;1;TOLDAS_TOLDAT;MAT-M-963;7000
{faadee4c-e140-4761-866b-9daea500f2b1};17;NOT_STARTED;Rod-S;NP-T-7016;CM2;3.2;STOCK;MAT-M-966;1;TOLDAS_TOLDAT;MAT-M-966;6000
{bb52c8b0-62ad-4a95-b61b-91c816fdc336};18;NOT_STARTED;Rod-T;NP-ROLL70-5000;CM1;2;STOCK;MAT-M-969;1;TOLDAS_TOLDAT;MAT-M-969;5000
{fb966942-a60b-4e65-994d-5ddf7bc8195c};19;NOT_STARTED;Rod-U;NP-SZ-7016;CM2;3.2;STOCK;MAT-M-972;1;TOLDAS_TOLDAT;MAT-M-972;7000
{2870cfb5-bcc5-4aea-b954-ce4985bb9b32};20;NOT_STARTED;Rod-V;NP-CLB;CM2;3.2;STOCK;MAT-M-975;1;TOLDAS_TOLDAT;MAT-M-975;6000
{84ee44cb-fed1-457f-8a4d-48183851dfc9};21;NOT_STARTED;Rod-W;NP-TF-7016;CM2;3.2;STOCK;MAT-M-978;1;TOLDAS_TOLDAT;MAT-M-978;6000
{3042fff2-8120-4c0b-91b8-b472e88532e7};22;NOT_STARTED;Rod-X;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{2d3fe983-6b0e-4dad-8abb-f6132807232c};23;NOT_STARTED;Rod-Y;NP-SL-7016;CM2;3.2;REUSABLE;RSM-765;1;TOLDAS_TOLDAT;RSM-765;3225
{273a4f49-3afa-4478-9dad-9e4769d97261};24;NOT_STARTED;Rod-AA;NP-T-7016;CM2;3.2;STOCK;MAT-M-985;1;TOLDAS_TOLDAT;MAT-M-985;6000
#SEGMENTS
{235176a3-cb04-4d4b-8610-d73b398d6495};0;P;2195;MAT-M-924;{1917589b-302c-4938-b9e6-48e969cbb2ec};133
{95b37652-add3-4325-ae66-6d2a32535969};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{95b37652-add3-4325-ae66-6d2a32535969};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{95b37652-add3-4325-ae66-6d2a32535969};2;P;3739;MAT-M-926;{9d0b4a63-bcbb-44f8-af0a-7fce5abf416c};127
{95b37652-add3-4325-ae66-6d2a32535969};3;K;2;KERF;{9d0b4a63-bcbb-44f8-af0a-7fce5abf416c};127
{95b37652-add3-4325-ae66-6d2a32535969};4;P;2189;MAT-M-927;{13cbc8c6-bae6-475e-9e4b-c2908f3752e2};148
{95b37652-add3-4325-ae66-6d2a32535969};5;K;2;KERF;{13cbc8c6-bae6-475e-9e4b-c2908f3752e2};148
{9e151fa1-b7a6-404c-9cc4-7a2134a8e2d3};0;P;2295;MAT-M-928;{75589214-8e0d-433b-9010-db348e8370ef};148
{9e151fa1-b7a6-404c-9cc4-7a2134a8e2d3};1;K;3.2;KERF;{75589214-8e0d-433b-9010-db348e8370ef};148
{122a2802-0efa-4ba6-958e-d77af180e162};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{122a2802-0efa-4ba6-958e-d77af180e162};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{122a2802-0efa-4ba6-958e-d77af180e162};2;P;2515;MAT-M-931;{26d7dc3d-8261-4617-b93b-0de613ea79a4};133
{122a2802-0efa-4ba6-958e-d77af180e162};3;K;3.2;KERF;{26d7dc3d-8261-4617-b93b-0de613ea79a4};133
{122a2802-0efa-4ba6-958e-d77af180e162};4;P;2270;MAT-M-932;{24adba24-6e02-427c-af0e-bf34f25b1dc6};148
{122a2802-0efa-4ba6-958e-d77af180e162};5;K;3.2;KERF;{24adba24-6e02-427c-af0e-bf34f25b1dc6};148
{a7c6d7a4-5a41-42a2-9b30-6b9f5f409c62};0;P;2597;MAT-M-934;{610138f7-8b6d-4f11-b325-6702a1ab20d7};148
{a7c6d7a4-5a41-42a2-9b30-6b9f5f409c62};1;K;3.2;KERF;{610138f7-8b6d-4f11-b325-6702a1ab20d7};148
{5a92809f-9099-4308-b833-52162dd88fca};0;P;2515;MAT-M-936;{d0b57741-b382-47f1-ab45-f1efb1c9c263};133
{5a92809f-9099-4308-b833-52162dd88fca};1;K;3.2;KERF;{d0b57741-b382-47f1-ab45-f1efb1c9c263};133
{e9fda37c-68a6-469b-9628-b34abb7d3c22};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{e9fda37c-68a6-469b-9628-b34abb7d3c22};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{e9fda37c-68a6-469b-9628-b34abb7d3c22};2;P;2125;MAT-M-939;{6ea6b96e-fa8e-468d-aef9-f4a50669a71e};148
{e9fda37c-68a6-469b-9628-b34abb7d3c22};3;K;2;KERF;{6ea6b96e-fa8e-468d-aef9-f4a50669a71e};148
{dea975fa-8cb6-4b4c-8ffb-330169276bca};0;P;2177;MAT-M-941;{9da7e89c-a478-49a4-8955-3fa890bf7515};148
{dea975fa-8cb6-4b4c-8ffb-330169276bca};1;K;3.2;KERF;{9da7e89c-a478-49a4-8955-3fa890bf7515};148
{ef07dad1-2a63-400d-912d-7a76e12615cf};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ef07dad1-2a63-400d-912d-7a76e12615cf};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ef07dad1-2a63-400d-912d-7a76e12615cf};2;P;2497;MAT-M-944;{d36aa118-3af6-491d-a805-d64a65870e78};127
{ef07dad1-2a63-400d-912d-7a76e12615cf};3;K;3.2;KERF;{d36aa118-3af6-491d-a805-d64a65870e78};127
{ef07dad1-2a63-400d-912d-7a76e12615cf};4;P;2597;MAT-M-945;{0b3f7510-7231-48b4-ba7a-3f44f4f9ab7e};148
{ef07dad1-2a63-400d-912d-7a76e12615cf};5;K;3.2;KERF;{0b3f7510-7231-48b4-ba7a-3f44f4f9ab7e};148
{94bde72a-2fee-485a-9fb8-a5bd821afce1};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{94bde72a-2fee-485a-9fb8-a5bd821afce1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{94bde72a-2fee-485a-9fb8-a5bd821afce1};2;P;2497;MAT-M-947;{94096005-bf64-4cc1-9be0-e61ac8ea821b};139
{94bde72a-2fee-485a-9fb8-a5bd821afce1};3;K;3.2;KERF;{94096005-bf64-4cc1-9be0-e61ac8ea821b};139
{d8af2c31-d05d-4fdf-b4cc-5b5b0b9f5078};0;P;2597;MAT-M-949;{1942f685-a01e-40ac-ba86-a4a3d57382fc};148
{d8af2c31-d05d-4fdf-b4cc-5b5b0b9f5078};1;K;3.2;KERF;{1942f685-a01e-40ac-ba86-a4a3d57382fc};148
{c01cd306-b607-46b2-bc36-917abf910fe0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c01cd306-b607-46b2-bc36-917abf910fe0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c01cd306-b607-46b2-bc36-917abf910fe0};2;P;2497;MAT-M-951;{afb59ec6-61ba-4178-9e97-96df9afb9d71};127
