#VERSION 2
#CUTPLANS
{bd1c01ef-7f3b-4913-b709-d41f554f3b67};25;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-478;35895364;;RSM-478;2195
{5161c3f7-4b87-4d81-b817-53c25406b9cb};26;NOT_STARTED;Rod-C;NP-ROLL70-6000;CM1;2;STOCK;MAT-M-989;2;;MAT-M-989;6000
{1fc6b37a-62ef-403f-b209-5fdc91f83537};27;NOT_STARTED;Rod-D;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;2;;RSM-341;2400
{56324734-c612-49d2-8c5a-658825ca1f31};28;NOT_STARTED;Rod-E;NP-T-7016;CM2;3.2;STOCK;MAT-M-994;2;;MAT-M-994;6000
{3e6d8b60-012e-4a2b-bb94-d4e9f67ac359};29;NOT_STARTED;Rod-F;NP-CLB;CM2;3.2;REUSABLE;RSM-766;2;;RSM-766;2875
{ffce6f68-ea39-4640-8960-0bbcab9c34f8};30;NOT_STARTED;Rod-G;NP-TF-7016;CM2;3.2;REUSABLE;RSM-704;2;;RSM-704;2950
{b9ba2546-2d80-403c-9429-b263978cc622};31;NOT_STARTED;Rod-H;NP-BAR22-4000;CM1;2;STOCK;MAT-N-002;2;;MAT-N-002;4000
{8d1fa7b5-c383-40d7-9c9f-9dd1f4881254};32;NOT_STARTED;Rod-J;NP-CZ-7016;CM2;3.2;REUSABLE;RSM-703;2;;RSM-703;3075
{4a768426-f009-4e30-a6ee-5a725eac10fa};33;NOT_STARTED;Rod-K;NP-CLT-7016;CM2;3.2;STOCK;MAT-N-007;2;;MAT-N-007;7000
{48329238-ceae-4d61-8963-8a9c75f4c4c5};34;NOT_STARTED;Rod-K;NP-CLT-7016;CM2;3.2;STOCK;MAT-N-010;2;;MAT-N-010;7000
{3df1af38-33f2-4739-8cb1-0018a001c204};35;NOT_STARTED;Rod-M;NP-CL-7016;CM2;3.2;REUSABLE;RSM-716;2;;RSM-716;4150
{8506feed-c793-497f-be7b-f94358b2eb73};36;NOT_STARTED;Rod-M;NP-CL-7016;CM2;3.2;STOCK;MAT-N-014;2;;MAT-N-014;7000
{216f9478-a671-4307-befb-cd4c0360da53};37;NOT_STARTED;Rod-N;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-733;2;;RSM-733;3016
{723f3362-d057-4f92-868e-9b33b00fa4a9};38;NOT_STARTED;Rod-P;NP-CLB;CM2;3.2;REUSABLE;RSM-767;2;;RSM-767;3380
{ba8a9207-39b7-46ad-9d09-0bd46650539e};39;NOT_STARTED;Rod-Q;NP-TF-7016;CM2;3.2;STOCK;MAT-N-022;2;;MAT-N-022;6000
{bc6b7cf4-9514-4968-afbb-2f16908bb607};40;NOT_STARTED;Rod-R;NP-BAR22-4000;CM1;2;STOCK;MAT-N-025;2;;MAT-N-025;4000
{3f99b4c6-2fab-4661-ae87-153ae4948a8a};41;NOT_STARTED;Rod-S;NP-CZ-7016;CM2;3.2;STOCK;MAT-N-028;2;;MAT-N-028;7000
{da4fba50-638a-457a-81c6-15751d254c4b};42;NOT_STARTED;Rod-S;NP-CZ-7016;CM2;3.2;STOCK;MAT-N-030;2;;MAT-N-030;7000
{41a3516a-7e37-4612-8426-3c5a9d96e5cf};43;NOT_STARTED;Rod-T;NP-T-7016;CM2;3.2;STOCK;MAT-N-033;2;;MAT-N-033;6000
{5508f92b-a260-446e-8222-9c0ebde14f96};44;NOT_STARTED;Rod-U;NP-ROLL70-5000;CM1;2;STOCK;MAT-N-036;2;;MAT-N-036;5000
{add3ea70-8841-4cb9-b13b-1c458c632543};45;NOT_STARTED;Rod-V;NP-SZ-7016;CM2;3.2;STOCK;MAT-N-039;2;;MAT-N-039;7000
{e467be92-19e3-4070-b2db-6db400483d1b};46;NOT_STARTED;Rod-W;NP-CLB;CM2;3.2;STOCK;MAT-N-042;2;;MAT-N-042;6000
{ab1cf741-796f-4831-863c-35dc8cfa01ac};47;NOT_STARTED;Rod-X;NP-TF-7016;CM2;3.2;STOCK;MAT-N-045;2;;MAT-N-045;6000
{b7a17679-ff32-4d4c-a24b-a300b6593512};48;NOT_STARTED;Rod-Y;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;2;TOLDAS_TOLDAT;RSM-569;1085
{5b9e169c-1d5f-4e8b-9919-4fd5903635cb};49;NOT_STARTED;Rod-AA;NP-BAR22-3000;CM1;2;STOCK;MAT-N-050;2;;MAT-N-050;3000
{23f421ae-bbe7-4bae-a049-199236a21c56};50;NOT_STARTED;Rod-AB;NP-SL-7016;CM2;3.2;REUSABLE;RSM-765;2;;RSM-765;3225
{bb9a9d46-0e95-40a0-b5ba-1d54f17bb3bc};51;NOT_STARTED;Rod-AC;NP-T-7016;CM2;3.2;STOCK;MAT-N-055;2;;MAT-N-055;6000
#SEGMENTS
{bd1c01ef-7f3b-4913-b709-d41f554f3b67};0;P;2195;MAT-M-988;{b69847e1-ab41-4ea1-b7c3-4867d1e1dd82};133
{5161c3f7-4b87-4d81-b817-53c25406b9cb};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{5161c3f7-4b87-4d81-b817-53c25406b9cb};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{5161c3f7-4b87-4d81-b817-53c25406b9cb};2;P;3739;MAT-M-990;{fb09afc0-ea5c-4123-ac25-882c2bd8680b};127
{5161c3f7-4b87-4d81-b817-53c25406b9cb};3;K;2;KERF;{fb09afc0-ea5c-4123-ac25-882c2bd8680b};127
{5161c3f7-4b87-4d81-b817-53c25406b9cb};4;P;2189;MAT-M-991;{05a5bd35-3bdd-4c88-9a99-32c0aa93506c};148
{5161c3f7-4b87-4d81-b817-53c25406b9cb};5;K;2;KERF;{05a5bd35-3bdd-4c88-9a99-32c0aa93506c};148
{1fc6b37a-62ef-403f-b209-5fdc91f83537};0;P;2295;MAT-M-992;{842e3157-3465-48ea-9f77-5bae43c3edc9};148
{1fc6b37a-62ef-403f-b209-5fdc91f83537};1;K;3.2;KERF;{842e3157-3465-48ea-9f77-5bae43c3edc9};148
{56324734-c612-49d2-8c5a-658825ca1f31};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{56324734-c612-49d2-8c5a-658825ca1f31};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{56324734-c612-49d2-8c5a-658825ca1f31};2;P;2515;MAT-M-995;{77c6ad1f-9aca-4480-9eb5-b8b01c74edd8};133
{56324734-c612-49d2-8c5a-658825ca1f31};3;K;3.2;KERF;{77c6ad1f-9aca-4480-9eb5-b8b01c74edd8};133
{56324734-c612-49d2-8c5a-658825ca1f31};4;P;2270;MAT-M-996;{c044dc89-abf1-4d4e-bdc2-0e55aa850001};148
{56324734-c612-49d2-8c5a-658825ca1f31};5;K;3.2;KERF;{c044dc89-abf1-4d4e-bdc2-0e55aa850001};148
{3e6d8b60-012e-4a2b-bb94-d4e9f67ac359};0;P;2597;MAT-M-998;{b0b91d47-dff6-4110-917f-3ab0cd76b617};148
{3e6d8b60-012e-4a2b-bb94-d4e9f67ac359};1;K;3.2;KERF;{b0b91d47-dff6-4110-917f-3ab0cd76b617};148
{ffce6f68-ea39-4640-8960-0bbcab9c34f8};0;P;2515;MAT-N-000;{0fcf1a05-2b0d-496d-b5de-46a6ca718246};133
{ffce6f68-ea39-4640-8960-0bbcab9c34f8};1;K;3.2;KERF;{0fcf1a05-2b0d-496d-b5de-46a6ca718246};133
{b9ba2546-2d80-403c-9429-b263978cc622};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{b9ba2546-2d80-403c-9429-b263978cc622};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{b9ba2546-2d80-403c-9429-b263978cc622};2;P;3675;MAT-N-003;{0816765d-58bf-4709-9ac0-b02dc75cba6f};127
{b9ba2546-2d80-403c-9429-b263978cc622};3;K;2;KERF;{0816765d-58bf-4709-9ac0-b02dc75cba6f};127
{8d1fa7b5-c383-40d7-9c9f-9dd1f4881254};0;P;2177;MAT-N-005;{4ce52465-2cc6-49ee-8741-383ac86643cf};148
{8d1fa7b5-c383-40d7-9c9f-9dd1f4881254};1;K;3.2;KERF;{4ce52465-2cc6-49ee-8741-383ac86643cf};148
{4a768426-f009-4e30-a6ee-5a725eac10fa};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4a768426-f009-4e30-a6ee-5a725eac10fa};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4a768426-f009-4e30-a6ee-5a725eac10fa};2;P;2497;MAT-N-008;{a24cfa4f-595b-4968-9d1f-867e5f32998a};127
{4a768426-f009-4e30-a6ee-5a725eac10fa};3;K;3.2;KERF;{a24cfa4f-595b-4968-9d1f-867e5f32998a};127
{4a768426-f009-4e30-a6ee-5a725eac10fa};4;P;2597;MAT-N-009;{3291b89d-3805-4ee8-ba67-a9c16013e8cf};148
{4a768426-f009-4e30-a6ee-5a725eac10fa};5;K;3.2;KERF;{3291b89d-3805-4ee8-ba67-a9c16013e8cf};148
{48329238-ceae-4d61-8963-8a9c75f4c4c5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{48329238-ceae-4d61-8963-8a9c75f4c4c5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{48329238-ceae-4d61-8963-8a9c75f4c4c5};2;P;2497;MAT-N-011;{03306719-55f6-408c-a325-be32d103feb6};139
{48329238-ceae-4d61-8963-8a9c75f4c4c5};3;K;3.2;KERF;{03306719-55f6-408c-a325-be32d103feb6};139
{3df1af38-33f2-4739-8cb1-0018a001c204};0;P;2597;MAT-N-013;{3b450bdc-7d80-4613-8d5b-2b35ec205b8d};148
{3df1af38-33f2-4739-8cb1-0018a001c204};1;K;3.2;KERF;{3b450bdc-7d80-4613-8d5b-2b35ec205b8d};148
{8506feed-c793-497f-be7b-f94358b2eb73};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
