#VERSION 2
#CUTPLANS
{92566fa7-907b-40c1-83a0-b9e91a9ad0e2};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-478;35842804;;RSM-478;2195
{0a9b0cc5-e714-4ced-9828-e4e31cf55a44};1;NOT_STARTED;Rod-C;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;1;TOLDAS_TOLDAT;RSM-341;2400
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};2;NOT_STARTED;Rod-D;NP-ROLL70-6000;CM1;2;STOCK;MAT-N-061;1;TOLDAS_TOLDAT;MAT-N-061;6000
{4f23f80a-224f-4f7a-b666-21c0658693c8};3;NOT_STARTED;Rod-E;NP-T-7016;CM2;3.2;STOCK;MAT-N-064;1;TOLDAS_TOLDAT;MAT-N-064;6000
{d8cc4d8a-5df1-449e-8b62-59ac6018a142};4;NOT_STARTED;Rod-F;NP-TF-7016;CM2;3.2;REUSABLE;RSM-704;1;TOLDAS_TOLDAT;RSM-704;2950
{30ce2a61-002c-4d1d-9d72-4bd07229e485};5;NOT_STARTED;Rod-G;NP-CLB;CM2;3.2;REUSABLE;RSM-766;1;TOLDAS_TOLDAT;RSM-766;2875
{12ed8344-049d-4840-ac80-fa455e7d1a96};6;NOT_STARTED;Rod-H;NP-CZ-7016;CM2;3.2;REUSABLE;RSM-703;1;TOLDAS_TOLDAT;RSM-703;3075
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};7;NOT_STARTED;Rod-J;NP-CLT-7016;CM2;3.2;STOCK;MAT-N-074;1;TOLDAS_TOLDAT;MAT-N-074;7000
{389cc838-bd51-422d-9421-d3accd5dc490};8;NOT_STARTED;Rod-J;NP-CLT-7016;CM2;3.2;STOCK;MAT-N-077;1;TOLDAS_TOLDAT;MAT-N-077;7000
{2dac33fd-e55b-422f-8515-ace9da9c0ff0};9;NOT_STARTED;Rod-K;NP-CL-7016;CM2;3.2;REUSABLE;RSM-716;1;TOLDAS_TOLDAT;RSM-716;4150
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};10;NOT_STARTED;Rod-K;NP-CL-7016;CM2;3.2;STOCK;MAT-N-081;1;TOLDAS_TOLDAT;MAT-N-081;7000
{d11b1457-fc30-47e9-92a6-f20f18f4414a};11;NOT_STARTED;Rod-M;NP-BAR22-4000;CM1;2;STOCK;MAT-N-085;1;;MAT-N-085;4000
{18b8e033-a472-4488-8d16-96f0c8d9908e};12;NOT_STARTED;Rod-N;NP-TF-7016;CM2;3.2;STOCK;MAT-N-088;1;TOLDAS_TOLDAT;MAT-N-088;6000
{7601660c-61ed-4b1f-9fb1-29960596ee43};13;NOT_STARTED;Rod-P;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-733;1;TOLDAS_TOLDAT;RSM-733;3016
{7a6296e7-90fb-4917-bead-ef43d3de7dab};14;NOT_STARTED;Rod-Q;NP-CLB;CM2;3.2;REUSABLE;RSM-767;1;TOLDAS_TOLDAT;RSM-767;3380
{57c9e9ab-2610-4785-afe1-d21218aeabd6};15;NOT_STARTED;Rod-R;NP-CZ-7016;CM2;3.2;STOCK;MAT-N-095;1;TOLDAS_TOLDAT;MAT-N-095;7000
{024985f8-720c-4287-89e3-43342ffe9141};16;NOT_STARTED;Rod-R;NP-CZ-7016;CM2;3.2;STOCK;MAT-N-097;1;TOLDAS_TOLDAT;MAT-N-097;7000
{67b2e930-f48e-41a6-9078-7da8db6405bc};17;NOT_STARTED;Rod-S;NP-BAR22-4000;CM1;2;STOCK;MAT-N-100;1;;MAT-N-100;4000
{887814c1-ecd2-4816-9c99-3ebe0d4d6ce5};18;NOT_STARTED;Rod-T;NP-T-7016;CM2;3.2;STOCK;MAT-N-103;1;TOLDAS_TOLDAT;MAT-N-103;6000
{eca06882-d182-49ed-a159-0f3f7a53be6e};19;NOT_STARTED;Rod-U;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{96dc94f6-9d63-4eb8-beca-eb4dbb05f7fc};20;NOT_STARTED;Rod-V;NP-TF-7016;CM2;3.2;STOCK;MAT-N-108;1;TOLDAS_TOLDAT;MAT-N-108;6000
{6eecbb60-30fa-4064-886a-9cf91898750c};21;NOT_STARTED;Rod-W;NP-ROLL70-5000;CM1;2;STOCK;MAT-N-111;1;TOLDAS_TOLDAT;MAT-N-111;5000
{4ee30cb2-75f5-4cb1-be3f-b045f9bb91dc};22;NOT_STARTED;Rod-X;NP-CLB;CM2;3.2;STOCK;MAT-N-114;1;TOLDAS_TOLDAT;MAT-N-114;6000
{b2682b19-b603-49d0-9df2-f0c97d921919};23;NOT_STARTED;Rod-Y;NP-SZ-7016;CM2;3.2;STOCK;MAT-N-117;1;TOLDAS_TOLDAT;MAT-N-117;7000
{f6d75af3-c9c0-4bc3-89f6-269268471984};24;NOT_STARTED;Rod-AA;NP-SL-7016;CM2;3.2;REUSABLE;RSM-765;1;TOLDAS_TOLDAT;RSM-765;3225
{48ff33ce-4f44-4e48-8a51-6e584bef0ed7};25;NOT_STARTED;Rod-AB;NP-BAR22-3000;CM1;2;STOCK;MAT-N-122;1;;MAT-N-122;3000
{9662d621-f195-4599-8654-b09395de1199};26;NOT_STARTED;Rod-AC;NP-T-7016;CM2;3.2;STOCK;MAT-N-125;1;TOLDAS_TOLDAT;MAT-N-125;6000
#SEGMENTS
{92566fa7-907b-40c1-83a0-b9e91a9ad0e2};0;P;2195;MAT-N-058;{9a9b536e-8668-4d04-8022-82d86f955c8c};133
{0a9b0cc5-e714-4ced-9828-e4e31cf55a44};0;P;2295;MAT-N-059;{85341b76-bde9-451d-98be-8794b02bd290};148
{0a9b0cc5-e714-4ced-9828-e4e31cf55a44};1;K;3.2;KERF;{85341b76-bde9-451d-98be-8794b02bd290};148
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};2;P;3739;MAT-N-062;{1aaabef2-8068-44ee-9475-09c6e85ef80d};127
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};3;K;2;KERF;{1aaabef2-8068-44ee-9475-09c6e85ef80d};127
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};4;P;2189;MAT-N-063;{4bc58257-17de-47ba-aff3-5a169799050e};148
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};5;K;2;KERF;{4bc58257-17de-47ba-aff3-5a169799050e};148
{4f23f80a-224f-4f7a-b666-21c0658693c8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4f23f80a-224f-4f7a-b666-21c0658693c8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4f23f80a-224f-4f7a-b666-21c0658693c8};2;P;2515;MAT-N-065;{7e803ad0-7b4c-42b0-b9c6-e842e1c2625b};133
{4f23f80a-224f-4f7a-b666-21c0658693c8};3;K;3.2;KERF;{7e803ad0-7b4c-42b0-b9c6-e842e1c2625b};133
{4f23f80a-224f-4f7a-b666-21c0658693c8};4;P;2270;MAT-N-066;{b366ab84-d74a-42f2-9790-cb16932864b0};148
{4f23f80a-224f-4f7a-b666-21c0658693c8};5;K;3.2;KERF;{b366ab84-d74a-42f2-9790-cb16932864b0};148
{d8cc4d8a-5df1-449e-8b62-59ac6018a142};0;P;2515;MAT-N-068;{4cf65033-9e6d-40c0-a596-ab81f806d27b};133
{d8cc4d8a-5df1-449e-8b62-59ac6018a142};1;K;3.2;KERF;{4cf65033-9e6d-40c0-a596-ab81f806d27b};133
{30ce2a61-002c-4d1d-9d72-4bd07229e485};0;P;2597;MAT-N-070;{addcbdc4-13e5-4555-8c8d-6099af46c566};148
{30ce2a61-002c-4d1d-9d72-4bd07229e485};1;K;3.2;KERF;{addcbdc4-13e5-4555-8c8d-6099af46c566};148
{12ed8344-049d-4840-ac80-fa455e7d1a96};0;P;2177;MAT-N-072;{d0db1106-ccb6-4307-acab-a4d0100361ae};148
{12ed8344-049d-4840-ac80-fa455e7d1a96};1;K;3.2;KERF;{d0db1106-ccb6-4307-acab-a4d0100361ae};148
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};2;P;2497;MAT-N-075;{4e70d223-089a-405f-9f03-c7f354f4ad3b};127
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};3;K;3.2;KERF;{4e70d223-089a-405f-9f03-c7f354f4ad3b};127
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};4;P;2597;MAT-N-076;{9e9d6d6d-225c-46e0-8554-ad53552f06eb};148
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};5;K;3.2;KERF;{9e9d6d6d-225c-46e0-8554-ad53552f06eb};148
{389cc838-bd51-422d-9421-d3accd5dc490};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{389cc838-bd51-422d-9421-d3accd5dc490};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{389cc838-bd51-422d-9421-d3accd5dc490};2;P;2497;MAT-N-078;{9f8ca385-9e97-4778-8d7b-a98f55fc72ff};139
{389cc838-bd51-422d-9421-d3accd5dc490};3;K;3.2;KERF;{9f8ca385-9e97-4778-8d7b-a98f55fc72ff};139
{2dac33fd-e55b-422f-8515-ace9da9c0ff0};0;P;2597;MAT-N-080;{74d0cc94-af62-4119-8928-b7754a6a9819};148
{2dac33fd-e55b-422f-8515-ace9da9c0ff0};1;K;3.2;KERF;{74d0cc94-af62-4119-8928-b7754a6a9819};148
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};2;P;2497;MAT-N-082;{8bfaa7a7-7358-41cf-9f76-e4075dc7b883};127
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};3;K;3.2;KERF;{8bfaa7a7-7358-41cf-9f76-e4075dc7b883};127
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};4;P;2497;MAT-N-083;{eed6354a-2eba-4524-8eeb-ed5b907db1c0};139
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};5;K;3.2;KERF;{eed6354a-2eba-4524-8eeb-ed5b907db1c0};139
{d11b1457-fc30-47e9-92a6-f20f18f4414a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{d11b1457-fc30-47e9-92a6-f20f18f4414a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{d11b1457-fc30-47e9-92a6-f20f18f4414a};2;P;3675;MAT-N-086;{18d4dae3-f981-4492-a58d-1777f60883e4};127
