#VERSION 2
#CUTPLANS
{e9f5681f-9ef9-4690-93f0-fc036f5df0ae};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-478;19673380;;RSM-478;2195
{d00fc2a9-50a7-499a-a7e4-9517756f7240};1;NOT_STARTED;Rod-C;NP-ROLL70-6000;CM1;2;STOCK;MAT-N-129;1;;MAT-N-129;6000
{375d4b1d-ef32-4d98-a9dc-67db732f527a};2;NOT_STARTED;Rod-D;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;1;;RSM-341;2400
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};3;NOT_STARTED;Rod-E;NP-T-7016;CM2;3.2;STOCK;MAT-N-134;1;;MAT-N-134;6000
{2604821c-06c6-4888-8c0b-5967c013b7b7};4;NOT_STARTED;Rod-F;NP-CZ-7016;CM2;3.2;REUSABLE;RSM-703;1;;RSM-703;3075
{d14417c5-75a9-4931-a13b-b9052f5674b1};5;NOT_STARTED;Rod-G;NP-BAR20-6000;CM1;2;STOCK;MAT-N-140;1;;MAT-N-140;6150
{8ba24ba1-2b83-4389-b81f-c1c317a58dda};6;NOT_STARTED;Rod-H;NP-TF-7016;CM2;3.2;REUSABLE;RSM-704;1;;RSM-704;2950
{7e89edb1-37c7-428b-9ef1-aef6f2060182};7;NOT_STARTED;Rod-J;NP-CLB;CM2;3.2;REUSABLE;RSM-766;1;;RSM-766;2875
{b5bb782c-c72f-403a-a45f-ff371285628c};8;NOT_STARTED;Rod-K;NP-CLT-7016;CM2;3.2;STOCK;MAT-N-148;1;;MAT-N-148;7000
{fd73c444-1598-45e9-b481-575bab32770b};9;NOT_STARTED;Rod-K;NP-CLT-7016;CM2;3.2;STOCK;MAT-N-151;1;;MAT-N-151;7000
{c7d4122e-088a-4ad3-9855-8dafdd597744};10;NOT_STARTED;Rod-M;NP-CL-7016;CM2;3.2;REUSABLE;RSM-716;1;;RSM-716;4150
{19b600ce-18a1-46fa-9134-18543303f34d};11;NOT_STARTED;Rod-M;NP-CL-7016;CM2;3.2;STOCK;MAT-N-155;1;;MAT-N-155;7000
{c6709b40-130b-4fc4-b5f7-5d52d3dfe008};12;NOT_STARTED;Rod-N;NP-CZ-7016;CM2;3.2;STOCK;MAT-N-159;1;;MAT-N-159;7000
{48e416b0-2a05-4c2f-b6e7-89b629f3218a};13;NOT_STARTED;Rod-N;NP-CZ-7016;CM2;3.2;STOCK;MAT-N-161;1;;MAT-N-161;7000
{fc5d77c2-3949-49f1-919c-66a231546aac};14;NOT_STARTED;Rod-P;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-733;1;;RSM-733;3016
{f8876efc-41a4-4012-a867-7fbaebbf0aa7};15;NOT_STARTED;Rod-Q;NP-TF-7016;CM2;3.2;STOCK;MAT-N-166;1;;MAT-N-166;6000
{7012afec-3bf4-4ddd-be58-ddde01ca3a80};16;NOT_STARTED;Rod-R;NP-CLB;CM2;3.2;REUSABLE;RSM-767;1;;RSM-767;3380
{c558f981-f606-45ef-9b33-d6a45637e536};17;NOT_STARTED;Rod-S;NP-T-7016;CM2;3.2;STOCK;MAT-N-171;1;;MAT-N-171;6000
{96e343bf-0d25-4f39-804d-a2a9301589f3};18;NOT_STARTED;Rod-T;NP-SL-7016;CM2;3.2;REUSABLE;RSM-765;1;;RSM-765;3225
{67d219a5-fa92-4922-a997-12ec455d12e9};19;NOT_STARTED;Rod-U;NP-ROLL70-5000;CM1;2;STOCK;MAT-N-176;1;;MAT-N-176;5000
{4d7438e7-226e-497d-b5e9-6d74f47b335f};20;NOT_STARTED;Rod-V;NP-BAR20-6000;CM1;2;STOCK;MAT-N-179;1;;MAT-N-179;6150
{aacb9889-d99f-4dcb-a8dd-0e466d84da22};21;NOT_STARTED;Rod-W;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{967579eb-4809-43e9-aee6-2bc330e5b511};22;NOT_STARTED;Rod-X;NP-TF-7016;CM2;3.2;STOCK;MAT-N-184;1;;MAT-N-184;6000
{2ed781f8-7f24-426f-946e-18698eaf26af};23;NOT_STARTED;Rod-Y;NP-CLB;CM2;3.2;STOCK;MAT-N-187;1;;MAT-N-187;6000
{f6901d76-13b0-4bb9-8d02-8f9d5992d3bc};24;NOT_STARTED;Rod-AA;NP-SZ-7016;CM2;3.2;STOCK;MAT-N-190;1;;MAT-N-190;7000
{982ebe8f-fff8-4df2-ac06-b1a8a676a555};25;NOT_STARTED;Rod-AB;NP-T-7016;CM2;3.2;STOCK;MAT-N-193;1;;MAT-N-193;6000
#SEGMENTS
{e9f5681f-9ef9-4690-93f0-fc036f5df0ae};0;P;2195;MAT-N-128;{a359ac45-8d1d-4d2d-be5c-7c304a6fe681};133
{d00fc2a9-50a7-499a-a7e4-9517756f7240};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{d00fc2a9-50a7-499a-a7e4-9517756f7240};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{d00fc2a9-50a7-499a-a7e4-9517756f7240};2;P;3739;MAT-N-130;{a8051e33-dd11-491f-bd7e-29bc708085d1};127
{d00fc2a9-50a7-499a-a7e4-9517756f7240};3;K;2;KERF;{a8051e33-dd11-491f-bd7e-29bc708085d1};127
{d00fc2a9-50a7-499a-a7e4-9517756f7240};4;P;2189;MAT-N-131;{4457da94-61cb-4a77-80d5-55848e99eb9d};148
{d00fc2a9-50a7-499a-a7e4-9517756f7240};5;K;2;KERF;{4457da94-61cb-4a77-80d5-55848e99eb9d};148
{375d4b1d-ef32-4d98-a9dc-67db732f527a};0;P;2295;MAT-N-132;{22832675-38b1-46e1-a2cd-d4a35d9c6d44};148
{375d4b1d-ef32-4d98-a9dc-67db732f527a};1;K;3.2;KERF;{22832675-38b1-46e1-a2cd-d4a35d9c6d44};148
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};2;P;2515;MAT-N-135;{97edf557-1019-4bf8-b591-1b1b351b20b6};133
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};3;K;3.2;KERF;{97edf557-1019-4bf8-b591-1b1b351b20b6};133
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};4;P;2270;MAT-N-136;{f154d90e-25be-44fd-ad81-6cf81be1195a};148
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};5;K;3.2;KERF;{f154d90e-25be-44fd-ad81-6cf81be1195a};148
{2604821c-06c6-4888-8c0b-5967c013b7b7};0;P;2177;MAT-N-138;{6ae9f0b5-d228-42d1-ba27-5955a5c4f20e};148
{2604821c-06c6-4888-8c0b-5967c013b7b7};1;K;3.2;KERF;{6ae9f0b5-d228-42d1-ba27-5955a5c4f20e};148
{d14417c5-75a9-4931-a13b-b9052f5674b1};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{d14417c5-75a9-4931-a13b-b9052f5674b1};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{d14417c5-75a9-4931-a13b-b9052f5674b1};2;P;3675;MAT-N-141;{c17ce7a8-6826-4c06-9a76-c47387bccd76};127
{d14417c5-75a9-4931-a13b-b9052f5674b1};3;K;2;KERF;{c17ce7a8-6826-4c06-9a76-c47387bccd76};127
{d14417c5-75a9-4931-a13b-b9052f5674b1};4;P;2125;MAT-N-142;{9aea49fe-7929-4678-8385-53e30d08fe85};148
{d14417c5-75a9-4931-a13b-b9052f5674b1};5;K;2;KERF;{9aea49fe-7929-4678-8385-53e30d08fe85};148
{8ba24ba1-2b83-4389-b81f-c1c317a58dda};0;P;2515;MAT-N-144;{404ba8d4-01e4-42cf-a055-20aa51751e0b};133
{8ba24ba1-2b83-4389-b81f-c1c317a58dda};1;K;3.2;KERF;{404ba8d4-01e4-42cf-a055-20aa51751e0b};133
{7e89edb1-37c7-428b-9ef1-aef6f2060182};0;P;2597;MAT-N-146;{c03618fc-6f6e-4a7a-96f1-fea841c8f5c7};148
{7e89edb1-37c7-428b-9ef1-aef6f2060182};1;K;3.2;KERF;{c03618fc-6f6e-4a7a-96f1-fea841c8f5c7};148
{b5bb782c-c72f-403a-a45f-ff371285628c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b5bb782c-c72f-403a-a45f-ff371285628c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b5bb782c-c72f-403a-a45f-ff371285628c};2;P;2497;MAT-N-149;{4ecc9826-ab8f-4cbe-969a-c04d7043f088};127
{b5bb782c-c72f-403a-a45f-ff371285628c};3;K;3.2;KERF;{4ecc9826-ab8f-4cbe-969a-c04d7043f088};127
{b5bb782c-c72f-403a-a45f-ff371285628c};4;P;2597;MAT-N-150;{00a8ec15-2272-4497-84f1-46491515bc05};148
{b5bb782c-c72f-403a-a45f-ff371285628c};5;K;3.2;KERF;{00a8ec15-2272-4497-84f1-46491515bc05};148
{fd73c444-1598-45e9-b481-575bab32770b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fd73c444-1598-45e9-b481-575bab32770b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fd73c444-1598-45e9-b481-575bab32770b};2;P;2497;MAT-N-152;{1b438d50-63a7-4db3-9cf6-ac98116e5ae2};139
