#VERSION 2
#CUTPLANS
{facf46fc-aa28-4a71-bd8d-19fcdf57db4f};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;19712564;;RSM-561;1305
{89785965-5793-4017-9ccc-cb074dcde04b};1;NOT_STARTED;Rod-C;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{e290cae4-1fb2-440e-885e-1e508411f4aa};2;NOT_STARTED;Rod-D;NP-BAR12-4000;CM1;2;REUSABLE;RSM-479;1;TOLDAS_TOLDAT;RSM-479;1680
{fe149947-fc17-4e07-bf35-2e1f6ac2c8b7};3;NOT_STARTED;Rod-E;NP-T;CM2;3.2;REUSABLE;RST-A-587;1;;RST-A-587;2000
{2f489bdb-c020-4f97-a386-d453c7159751};4;NOT_STARTED;Rod-F;NP-SZ;CM2;3.2;REUSABLE;RSM-492;1;;RSM-492;1575
{70815426-6c60-43d0-939b-7384c350b08f};5;NOT_STARTED;Rod-G;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};6;NOT_STARTED;Rod-H;NP-TF;CM2;3.2;STOCK;MAT-N-971;1;;MAT-N-971;6000
{9fe54aca-d72c-49aa-888e-24157b4f7af8};7;NOT_STARTED;Rod-J;NP-T;CM2;3.2;STOCK;MAT-N-976;1;;MAT-N-976;6000
{4d07e314-665f-4668-a356-24b40be4e664};8;NOT_STARTED;Rod-K;NP-SZ;CM2;3.2;REUSABLE;RSM-392;1;;RSM-392;1980
{162da5fa-e96f-474e-a8c7-4fa489d043b8};9;NOT_STARTED;Rod-M;NP-ROLL70-5000;CM1;2;STOCK;MAT-N-982;1;;MAT-N-982;5000
{233a4762-d9de-4be5-a743-0aec5b7c069d};10;NOT_STARTED;Rod-N;NP-TF-9010;CM2;3.2;REUSABLE;RST-B-644;1;;RST-B-644;3550
{bc85a9a7-595d-4662-bfb3-14ab15c7d63e};11;NOT_STARTED;Rod-P;NP-BAR12-4000;CM1;2;REUSABLE;RSM-484;1;;RSM-484;1640
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};12;NOT_STARTED;Rod-Q;NP-T-9010;CM2;3.2;STOCK;MAT-N-989;1;;MAT-N-989;6000
{08cb46d0-17e5-413d-af02-8d48d51ac59f};13;NOT_STARTED;Rod-R;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-738;1;;RST-B-738;4825
{a303ad86-78e4-48b8-821f-3000329798d9};14;NOT_STARTED;Rod-S;NP-BAR20-6000;CM1;2;STOCK;MAT-N-995;1;;MAT-N-995;6150
{d137a3d2-dcd2-4dea-8198-cd9a77efcfda};15;NOT_STARTED;Rod-T;NP-SZ;CM2;3.2;REUSABLE;RSM-450;1;;RSM-450;2025
{9da87a32-5f24-4634-9ed6-adb16c007eed};16;NOT_STARTED;Rod-U;NP-CLT-9010;CM2;3.2;STOCK;MAT-P-000;1;;MAT-P-000;7000
{d531f997-4a88-4069-a1f9-74e9ec14f88d};17;NOT_STARTED;Rod-V;NP-ROLL70-5000;CM1;2;STOCK;MAT-P-003;1;;MAT-P-003;5000
{f1679a76-509d-46bc-9d05-ab4f6f91a62a};18;NOT_STARTED;Rod-W;NP-TF-9010;CM2;3.2;STOCK;MAT-P-006;1;;MAT-P-006;6000
{4d52364c-6ae9-48c7-b67b-bc2c08fc2714};19;NOT_STARTED;Rod-X;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-780;1;;RSM-780;2675
{7104239d-965b-4262-bcc3-e2465e4fcb57};20;NOT_STARTED;Rod-Y;NP-CL-9010;CM2;3.2;STOCK;MAT-P-011;1;;MAT-P-011;7000
{80a49b34-e14f-4f5a-be09-db61f0fb27fc};21;NOT_STARTED;Rod-AA;NP-BAR12-4000;CM1;2;STOCK;MAT-P-014;1;;MAT-P-014;4000
{9d58a895-aafe-4278-ac9d-f899562fbf1c};22;NOT_STARTED;Rod-AB;NP-CLB;CM2;3.2;STOCK;MAT-P-017;1;;MAT-P-017;6000
#SEGMENTS
{facf46fc-aa28-4a71-bd8d-19fcdf57db4f};0;P;1305;MAT-N-958;{8ee49c33-c1bf-4ef3-967f-7f84501db5c4};206
{89785965-5793-4017-9ccc-cb074dcde04b};0;P;1588;MAT-N-959;{3f8ad74f-744b-469a-b51f-354ae45507c7};204
{89785965-5793-4017-9ccc-cb074dcde04b};1;K;2;KERF;{3f8ad74f-744b-469a-b51f-354ae45507c7};204
{89785965-5793-4017-9ccc-cb074dcde04b};2;P;1598;MAT-N-960;{2f9d3eda-dc3b-4032-84a5-11da03dd3052};205
{89785965-5793-4017-9ccc-cb074dcde04b};3;K;2;KERF;{2f9d3eda-dc3b-4032-84a5-11da03dd3052};205
{e290cae4-1fb2-440e-885e-1e508411f4aa};0;P;1570;MAT-N-962;{941c888a-3420-4d1c-a67f-1a7f5566d2a1};205
{e290cae4-1fb2-440e-885e-1e508411f4aa};1;K;2;KERF;{941c888a-3420-4d1c-a67f-1a7f5566d2a1};205
{e290cae4-1fb2-440e-885e-1e508411f4aa};2;P;100;MAT-N-963;{a8be290c-9d02-453f-a3e0-f41256a4e7d2};206
{e290cae4-1fb2-440e-885e-1e508411f4aa};3;K;2;KERF;{a8be290c-9d02-453f-a3e0-f41256a4e7d2};206
{fe149947-fc17-4e07-bf35-2e1f6ac2c8b7};0;P;1650;MAT-N-965;{32193e19-d8fd-48d1-8e2d-050cf9b377f5};205
{fe149947-fc17-4e07-bf35-2e1f6ac2c8b7};1;K;3.2;KERF;{32193e19-d8fd-48d1-8e2d-050cf9b377f5};205
{2f489bdb-c020-4f97-a386-d453c7159751};0;P;1475;MAT-N-967;{e7196a73-7d87-4ef9-b8e9-b997f8eb0e75};206
{2f489bdb-c020-4f97-a386-d453c7159751};1;K;3.2;KERF;{e7196a73-7d87-4ef9-b8e9-b997f8eb0e75};206
{70815426-6c60-43d0-939b-7384c350b08f};0;P;1458;MAT-N-969;{b144208a-8948-4527-85bc-2d1b67af65cf};206
{70815426-6c60-43d0-939b-7384c350b08f};1;K;2;KERF;{b144208a-8948-4527-85bc-2d1b67af65cf};206
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};2;P;1640;MAT-N-972;{3f3766a6-bcbd-4363-85b4-abeb1510290d};204
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};3;K;3.2;KERF;{3f3766a6-bcbd-4363-85b4-abeb1510290d};204
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};4;P;1650;MAT-N-973;{294d0839-ee21-4cfe-aab0-dd82520b6672};205
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};5;K;3.2;KERF;{294d0839-ee21-4cfe-aab0-dd82520b6672};205
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};6;P;1510;MAT-N-974;{ebe43f47-2ccd-489d-9023-65a0ffceeafe};206
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};7;K;3.2;KERF;{ebe43f47-2ccd-489d-9023-65a0ffceeafe};206
{9fe54aca-d72c-49aa-888e-24157b4f7af8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9fe54aca-d72c-49aa-888e-24157b4f7af8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9fe54aca-d72c-49aa-888e-24157b4f7af8};2;P;1640;MAT-N-977;{f65a33db-48de-4fd8-88fb-197350cd7aa9};204
{9fe54aca-d72c-49aa-888e-24157b4f7af8};3;K;3.2;KERF;{f65a33db-48de-4fd8-88fb-197350cd7aa9};204
{9fe54aca-d72c-49aa-888e-24157b4f7af8};4;P;1510;MAT-N-978;{f2a08e63-6e49-49ac-9be5-96974849eb34};206
{9fe54aca-d72c-49aa-888e-24157b4f7af8};5;K;3.2;KERF;{f2a08e63-6e49-49ac-9be5-96974849eb34};206
{4d07e314-665f-4668-a356-24b40be4e664};0;P;1615;MAT-N-980;{3f1e1631-6ce6-4063-9b42-dd868d310a75};205
{4d07e314-665f-4668-a356-24b40be4e664};1;K;3.2;KERF;{3f1e1631-6ce6-4063-9b42-dd868d310a75};205
{162da5fa-e96f-474e-a8c7-4fa489d043b8};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
