#VERSION 2
#CUTPLANS
{757395d6-b93b-45d1-ab30-f362d42ab0f4};23;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;37287716;;RSM-561;1305
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};24;NOT_STARTED;Rod-C;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;2;;RSM-794;3650
{37e2b26e-42a7-4e94-81b6-57f07af8f207};25;NOT_STARTED;Rod-D;NP-BAR12-4000;CM1;2;REUSABLE;RSM-479;2;TOLDAS_TOLDAT;RSM-479;1680
{8e054b5a-2e0d-432b-ae89-18132e297f14};26;NOT_STARTED;Rod-E;NP-T;CM2;3.2;REUSABLE;RSM-798;2;;RSM-798;3900
{fe37d94b-634c-4266-85d7-9f93a6d975db};27;NOT_STARTED;Rod-F;NP-SZ;CM2;3.2;REUSABLE;RSM-492;2;;RSM-492;1575
{681eb00a-b8c3-4a20-bd23-b1fa86826f9d};28;NOT_STARTED;Rod-G;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;2;;RSM-793;2020
{b873602b-b7ff-4366-b199-a291b9d57ca4};29;NOT_STARTED;Rod-H;NP-TF;CM2;3.2;REUSABLE;RSM-799;2;;RSM-799;2200
{dd5f6d55-854e-4540-a2fd-a078d914b696};30;NOT_STARTED;Rod-J;NP-SZ;CM2;3.2;REUSABLE;RSM-392;2;;RSM-392;1980
{a1d9d5ab-1607-410b-a6ba-14dcd7feec56};31;NOT_STARTED;Rod-K;NP-ROLL70-5000;CM1;2;STOCK;MAT-P-038;2;;MAT-P-038;5000
{8bc3ea16-34b9-47da-80f7-b159cccb7409};32;NOT_STARTED;Rod-M;NP-TF-9010;CM2;3.2;REUSABLE;RST-B-644;2;;RST-B-644;3550
{56fdc259-2a98-488a-b5d4-6bee963efad0};33;NOT_STARTED;Rod-N;NP-BAR12-4000;CM1;2;REUSABLE;RSM-484;2;;RSM-484;1640
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};34;NOT_STARTED;Rod-P;NP-T-9010;CM2;3.2;STOCK;MAT-P-045;2;;MAT-P-045;6000
{a9d391ab-9473-4730-946e-ae941b51409a};35;NOT_STARTED;Rod-Q;NP-TF;CM2;3.2;STOCK;MAT-P-049;2;;MAT-P-049;6000
{4c0a1252-539b-4056-a293-6a7c21c4a82e};36;NOT_STARTED;Rod-R;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-738;2;;RST-B-738;4825
{3200dd3c-0fb3-482e-9fd9-6935185fc758};37;NOT_STARTED;Rod-S;NP-BAR20-6000;CM1;2;STOCK;MAT-P-055;2;;MAT-P-055;6150
{4b8ec267-f28c-4de7-9389-ac15ec9b637a};38;NOT_STARTED;Rod-T;NP-T;CM2;3.2;REUSABLE;RST-A-587;2;;RST-A-587;2000
{e0e8f80f-d040-41b6-a27d-4e265b2f5b25};39;NOT_STARTED;Rod-U;NP-SZ;CM2;3.2;REUSABLE;RSM-450;2;;RSM-450;2025
{5464ca81-41d0-48c4-9176-56f307c87f32};40;NOT_STARTED;Rod-V;NP-CLT-9010;CM2;3.2;STOCK;MAT-P-062;2;;MAT-P-062;7000
{838ec82d-07e0-40f2-aef1-4ffa4d39f261};41;NOT_STARTED;Rod-W;NP-ROLL70-5000;CM1;2;STOCK;MAT-P-065;2;;MAT-P-065;5000
{958bea64-4660-449d-b7cf-0ddd81bca5f0};42;NOT_STARTED;Rod-X;NP-TF-9010;CM2;3.2;STOCK;MAT-P-068;2;;MAT-P-068;6000
{465ff1af-efb2-425c-a9fd-55b1958ec0d3};43;NOT_STARTED;Rod-Y;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-780;2;;RSM-780;2675
{c0dbdd1d-f324-4947-8be8-525a01686e55};44;NOT_STARTED;Rod-AA;NP-CL-9010;CM2;3.2;STOCK;MAT-P-073;2;;MAT-P-073;7000
{c67fe23e-752c-4c40-b9ed-f3e226ec90aa};45;NOT_STARTED;Rod-AB;NP-BAR12-4000;CM1;2;STOCK;MAT-P-076;2;;MAT-P-076;4000
{37d94171-7f41-42cb-8afd-17c6e8004883};46;NOT_STARTED;Rod-AC;NP-CLB;CM2;3.2;STOCK;MAT-P-079;2;;MAT-P-079;6000
#SEGMENTS
{757395d6-b93b-45d1-ab30-f362d42ab0f4};0;P;1305;MAT-P-020;{31452603-9339-489c-973e-e2b3d366cdf1};206
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};0;P;1588;MAT-P-021;{4fe4cabe-2abe-4ff4-a8a7-be49e235cbe0};204
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};1;K;2;KERF;{4fe4cabe-2abe-4ff4-a8a7-be49e235cbe0};204
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};2;P;1598;MAT-P-022;{e2c5a7e7-de98-407d-8f51-407538348f62};205
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};3;K;2;KERF;{e2c5a7e7-de98-407d-8f51-407538348f62};205
{37e2b26e-42a7-4e94-81b6-57f07af8f207};0;P;1570;MAT-P-024;{056702a9-f2fe-4da6-a9f9-69c186aa6268};205
{37e2b26e-42a7-4e94-81b6-57f07af8f207};1;K;2;KERF;{056702a9-f2fe-4da6-a9f9-69c186aa6268};205
{37e2b26e-42a7-4e94-81b6-57f07af8f207};2;P;100;MAT-P-025;{63498a93-afb8-4bc6-8588-92add8834022};206
{37e2b26e-42a7-4e94-81b6-57f07af8f207};3;K;2;KERF;{63498a93-afb8-4bc6-8588-92add8834022};206
{8e054b5a-2e0d-432b-ae89-18132e297f14};0;P;1640;MAT-P-027;{c4e4a219-5189-4d19-9fc0-172be6d7f24d};204
{8e054b5a-2e0d-432b-ae89-18132e297f14};1;K;3.2;KERF;{c4e4a219-5189-4d19-9fc0-172be6d7f24d};204
{8e054b5a-2e0d-432b-ae89-18132e297f14};2;P;1650;MAT-P-028;{142583e9-59df-4c2c-abf7-ff23310aa664};205
{8e054b5a-2e0d-432b-ae89-18132e297f14};3;K;3.2;KERF;{142583e9-59df-4c2c-abf7-ff23310aa664};205
{fe37d94b-634c-4266-85d7-9f93a6d975db};0;P;1475;MAT-P-030;{0eb75682-903a-4db8-b5cd-a9d69eaca9a6};206
{fe37d94b-634c-4266-85d7-9f93a6d975db};1;K;3.2;KERF;{0eb75682-903a-4db8-b5cd-a9d69eaca9a6};206
{681eb00a-b8c3-4a20-bd23-b1fa86826f9d};0;P;1458;MAT-P-032;{4df1779f-339c-476c-8b73-d9c323686b9b};206
{681eb00a-b8c3-4a20-bd23-b1fa86826f9d};1;K;2;KERF;{4df1779f-339c-476c-8b73-d9c323686b9b};206
{b873602b-b7ff-4366-b199-a291b9d57ca4};0;P;1650;MAT-P-034;{e5a47b30-143d-479d-a949-1d46bb31c96d};205
{b873602b-b7ff-4366-b199-a291b9d57ca4};1;K;3.2;KERF;{e5a47b30-143d-479d-a949-1d46bb31c96d};205
{dd5f6d55-854e-4540-a2fd-a078d914b696};0;P;1615;MAT-P-036;{17ce4a45-74aa-4e91-92f9-abdf5c9b7b97};205
{dd5f6d55-854e-4540-a2fd-a078d914b696};1;K;3.2;KERF;{17ce4a45-74aa-4e91-92f9-abdf5c9b7b97};205
{a1d9d5ab-1607-410b-a6ba-14dcd7feec56};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{a1d9d5ab-1607-410b-a6ba-14dcd7feec56};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{a1d9d5ab-1607-410b-a6ba-14dcd7feec56};2;P;2834;MAT-P-039;{2556182c-a056-42ef-9df8-ed569e178448};209
{a1d9d5ab-1607-410b-a6ba-14dcd7feec56};3;K;2;KERF;{2556182c-a056-42ef-9df8-ed569e178448};209
{8bc3ea16-34b9-47da-80f7-b159cccb7409};0;P;2940;MAT-P-041;{70b4d626-baec-43e8-8229-7a33f25abcc2};209
{8bc3ea16-34b9-47da-80f7-b159cccb7409};1;K;3.2;KERF;{70b4d626-baec-43e8-8229-7a33f25abcc2};209
{56fdc259-2a98-488a-b5d4-6bee963efad0};0;P;1560;MAT-P-043;{3df08453-8e07-46c5-b48e-4ea03eda161a};204
{56fdc259-2a98-488a-b5d4-6bee963efad0};1;K;2;KERF;{3df08453-8e07-46c5-b48e-4ea03eda161a};204
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};2;P;2495;MAT-P-046;{6db77ee7-9c44-4d72-be63-4d2bc06c5c24};192
