#VERSION 2
#CUTPLANS
{06f2f4ec-e812-4a7b-921c-9031517fd566};47;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;39163732;;RSM-561;1305
{ed222363-4537-4949-8077-296711c767f1};48;NOT_STARTED;Rod-C;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;3;;RSM-794;3650
{b99b7d0f-55da-45e3-9a39-db63952480e6};49;NOT_STARTED;Rod-D;NP-BAR12-4000;CM1;2;REUSABLE;RSM-479;3;TOLDAS_TOLDAT;RSM-479;1680
{64091e06-6e0d-474e-922b-0fcc49717fa3};50;NOT_STARTED;Rod-E;NP-T;CM2;3.2;REUSABLE;RSM-798;3;;RSM-798;3900
{4905f1ce-14b9-4f22-8130-724cf6995456};51;NOT_STARTED;Rod-F;NP-SZ;CM2;3.2;REUSABLE;RSM-392;3;;RSM-392;1980
{166bd218-48fc-4179-ae36-a15fa9363c24};52;NOT_STARTED;Rod-G;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;3;;RSM-793;2020
{abe7b06e-317b-41bb-89a6-a3f5b6f676d9};53;NOT_STARTED;Rod-H;NP-TF;CM2;3.2;REUSABLE;RSM-799;3;;RSM-799;2200
{72eced10-14e5-4cac-9b43-27f2d1a3dd51};54;NOT_STARTED;Rod-J;NP-SZ;CM2;3.2;REUSABLE;RSM-450;3;;RSM-450;2025
{2a2397ee-f796-4b55-b405-7b1d1ef9bd4a};55;NOT_STARTED;Rod-K;NP-ROLL70-5000;CM1;2;STOCK;MAT-P-100;3;;MAT-P-100;5000
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};56;NOT_STARTED;Rod-M;NP-TF-9010;CM2;3.2;STOCK;MAT-P-103;3;;MAT-P-103;6000
{0079e28e-b09f-4797-9363-02b46a987cb2};57;NOT_STARTED;Rod-N;NP-BAR12-4000;CM1;2;REUSABLE;RSM-484;3;;RSM-484;1640
{d01c01b4-6153-4981-b8fd-7a8e47347f86};58;NOT_STARTED;Rod-P;NP-T-9010;CM2;3.2;STOCK;MAT-P-109;3;;MAT-P-109;6000
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};59;NOT_STARTED;Rod-Q;NP-TF;CM2;3.2;STOCK;MAT-P-113;3;;MAT-P-113;6000
{234cd429-7039-4386-b036-a3b084cac1f3};60;NOT_STARTED;Rod-R;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-738;3;;RST-B-738;4825
{ec142f58-5c99-4a84-97bc-b6255b240102};61;NOT_STARTED;Rod-S;NP-BAR20-6000;CM1;2;STOCK;MAT-P-119;3;;MAT-P-119;6150
{6bd1b0e9-6d95-4dc9-9ccc-97bd42b4a442};62;NOT_STARTED;Rod-T;NP-T;CM2;3.2;REUSABLE;RST-A-587;3;;RST-A-587;2000
{a700079b-3355-4ccc-87a2-54dbf5a2aaaa};63;NOT_STARTED;Rod-U;NP-SZ;CM2;3.2;STOCK;MAT-P-124;3;;MAT-P-124;6000
{0ff9fe2c-8bd5-4f25-98d2-e348ffc62e1b};64;NOT_STARTED;Rod-V;NP-CLT-9010;CM2;3.2;STOCK;MAT-P-127;3;;MAT-P-127;7000
{d3d57835-5ee3-4d66-b269-013cafcbf823};65;NOT_STARTED;Rod-W;NP-ROLL70-5000;CM1;2;STOCK;MAT-P-130;3;;MAT-P-130;5000
{e6c0ee41-bedb-4b0f-bd94-f0eef624966f};66;NOT_STARTED;Rod-X;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-780;3;;RSM-780;2675
{663055c7-553f-48c2-9f4d-eed2c4c59c1f};67;NOT_STARTED;Rod-Y;NP-CL-9010;CM2;3.2;STOCK;MAT-P-135;3;;MAT-P-135;7000
{ccb7890a-2bdb-4158-95d1-03733bf233c7};68;NOT_STARTED;Rod-AA;NP-BAR12-4000;CM1;2;STOCK;MAT-P-138;3;;MAT-P-138;4000
{93ebae55-43fe-4523-97b0-fe9c6dc8a681};69;NOT_STARTED;Rod-AB;NP-CLB;CM2;3.2;STOCK;MAT-P-141;3;;MAT-P-141;6000
#SEGMENTS
{06f2f4ec-e812-4a7b-921c-9031517fd566};0;P;1305;MAT-P-082;{58606ce5-7a31-4bb8-a898-47db2dfd0268};206
{ed222363-4537-4949-8077-296711c767f1};0;P;1588;MAT-P-083;{03d38cc1-0a04-4502-a062-601eaabe7f7f};204
{ed222363-4537-4949-8077-296711c767f1};1;K;2;KERF;{03d38cc1-0a04-4502-a062-601eaabe7f7f};204
{ed222363-4537-4949-8077-296711c767f1};2;P;1598;MAT-P-084;{cd4545e1-225e-40b6-b5ed-2b88e39bded3};205
{ed222363-4537-4949-8077-296711c767f1};3;K;2;KERF;{cd4545e1-225e-40b6-b5ed-2b88e39bded3};205
{b99b7d0f-55da-45e3-9a39-db63952480e6};0;P;1570;MAT-P-086;{d7ec7b84-2bd1-4001-b4c5-c41ee68629a8};205
{b99b7d0f-55da-45e3-9a39-db63952480e6};1;K;2;KERF;{d7ec7b84-2bd1-4001-b4c5-c41ee68629a8};205
{b99b7d0f-55da-45e3-9a39-db63952480e6};2;P;100;MAT-P-087;{6b471189-c76d-493c-af67-2cea3e8ac3da};206
{b99b7d0f-55da-45e3-9a39-db63952480e6};3;K;2;KERF;{6b471189-c76d-493c-af67-2cea3e8ac3da};206
{64091e06-6e0d-474e-922b-0fcc49717fa3};0;P;1640;MAT-P-089;{fe583711-8f22-461d-8823-18e97ccebe76};204
{64091e06-6e0d-474e-922b-0fcc49717fa3};1;K;3.2;KERF;{fe583711-8f22-461d-8823-18e97ccebe76};204
{64091e06-6e0d-474e-922b-0fcc49717fa3};2;P;1650;MAT-P-090;{dcbb98d4-7f9c-4443-bcb6-9f5f57c2f6dc};205
{64091e06-6e0d-474e-922b-0fcc49717fa3};3;K;3.2;KERF;{dcbb98d4-7f9c-4443-bcb6-9f5f57c2f6dc};205
{4905f1ce-14b9-4f22-8130-724cf6995456};0;P;1615;MAT-P-092;{5d1e8dbb-8e33-4baf-9c68-a47f3f88a968};205
{4905f1ce-14b9-4f22-8130-724cf6995456};1;K;3.2;KERF;{5d1e8dbb-8e33-4baf-9c68-a47f3f88a968};205
{166bd218-48fc-4179-ae36-a15fa9363c24};0;P;1458;MAT-P-094;{b0eb9d1b-a9e8-48a9-abe2-be84fe740ff3};206
{166bd218-48fc-4179-ae36-a15fa9363c24};1;K;2;KERF;{b0eb9d1b-a9e8-48a9-abe2-be84fe740ff3};206
{abe7b06e-317b-41bb-89a6-a3f5b6f676d9};0;P;1650;MAT-P-096;{ac69897a-6678-45c7-a2ca-36a2e02036c1};205
{abe7b06e-317b-41bb-89a6-a3f5b6f676d9};1;K;3.2;KERF;{ac69897a-6678-45c7-a2ca-36a2e02036c1};205
{72eced10-14e5-4cac-9b43-27f2d1a3dd51};0;P;1605;MAT-P-098;{b3a3b669-4cbf-4602-8b09-a1659acccbf9};204
{72eced10-14e5-4cac-9b43-27f2d1a3dd51};1;K;3.2;KERF;{b3a3b669-4cbf-4602-8b09-a1659acccbf9};204
{2a2397ee-f796-4b55-b405-7b1d1ef9bd4a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{2a2397ee-f796-4b55-b405-7b1d1ef9bd4a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{2a2397ee-f796-4b55-b405-7b1d1ef9bd4a};2;P;2834;MAT-P-101;{8dc9417c-eb1e-42bd-8800-96c6a0cee770};209
{2a2397ee-f796-4b55-b405-7b1d1ef9bd4a};3;K;2;KERF;{8dc9417c-eb1e-42bd-8800-96c6a0cee770};209
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};2;P;2495;MAT-P-104;{ddad82df-182b-4438-a3fe-09b67254d28e};192
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};3;K;3.2;KERF;{ddad82df-182b-4438-a3fe-09b67254d28e};192
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};4;P;2940;MAT-P-105;{751d04b9-a32f-4bcc-8bef-75c477ddad51};209
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};5;K;3.2;KERF;{751d04b9-a32f-4bcc-8bef-75c477ddad51};209
