#VERSION 2
#CUTPLANS
{c14996a3-5e88-4b74-977f-8ae69cb841fd};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{38b47c53-f5af-4082-940e-e765928e078c};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15760;;RSM-623;1000
{22d567b5-3025-495d-8f68-4ae202d677fb};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15760;;RSM-471;1330
{66aeff05-edd4-4c38-b5f8-58f08f8d0aa8};3;NOT_STARTED;Rod-G;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};4;NOT_STARTED;Rod-H;NP-T;CM2;3.2;STOCK;MAT-CM-057;1;;MAT-CM-057;6000
{0d3a33fb-40ce-4258-aa95-da71c357ec00};5;NOT_STARTED;Rod-J;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{30f789fc-4b8e-446c-a562-15e78463f430};6;NOT_STARTED;Rod-K;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};7;NOT_STARTED;Rod-M;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{ec88148f-49e7-421c-9e58-444304776398};8;NOT_STARTED;Rod-N;NP-TF;CM2;3.2;STOCK;MAT-CM-070;1;;MAT-CM-070;6000
{74b60e79-c364-493a-b506-86be59ddfdf8};9;NOT_STARTED;Rod-P;NP-CL;CM2;3.2;REUSABLE;RSM-745;1;;RSM-745;2500
{ea639618-fa72-4a41-a696-74040f9c6dd0};10;NOT_STARTED;Rod-Q;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{db26de2e-ad04-4759-a20f-fe34b0052dd8};11;NOT_STARTED;Rod-R;NP-CLB;CM2;3.2;STOCK;MAT-CM-081;1;;MAT-CM-081;6000
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};12;NOT_STARTED;Rod-S;NP-CLT;CM2;3.2;STOCK;MAT-CM-085;1;;MAT-CM-085;7000
{8c59833c-b45a-42d1-8a6d-51b1c8291bbd};13;NOT_STARTED;Rod-T;NP-CLT;CM2;3.2;STOCK;MAT-CM-088;1;;MAT-CM-088;7000
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};14;NOT_STARTED;Rod-U;NP-CL;CM2;3.2;STOCK;MAT-CM-091;1;;MAT-CM-091;7000
{ded7d963-f144-41dc-8a2d-503b5e9fb9b4};15;NOT_STARTED;Rod-V;NP-CL;CM2;3.2;STOCK;MAT-CM-094;1;;MAT-CM-094;7000
{7159241d-7fbd-4817-865f-358f6b541f9a};16;NOT_STARTED;Rod-W;NP-CZ;CM2;3.2;REUSABLE;RSM-674;1;;RSM-674;1775
{de6bbe98-e5e9-430b-974d-0df9533fdd26};17;NOT_STARTED;Rod-X;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{04eeb4a6-19b1-4e4b-90c8-01f0b34a9017};18;NOT_STARTED;Rod-Y;NP-CLB;CM2;3.2;STOCK;MAT-CM-101;1;;MAT-CM-101;6000
{f04a9291-9eef-490f-af91-f1f69abdefa6};19;NOT_STARTED;Rod-AA;NP-T;CM2;3.2;STOCK;MAT-CM-104;1;;MAT-CM-104;6000
{e714429f-1e9c-4ade-970f-be7b87449a7f};20;NOT_STARTED;Rod-AB;NP-CZ;CM2;3.2;STOCK;MAT-CM-107;1;;MAT-CM-107;7000
{05e16243-c5ce-47c0-9353-2c5f41016fe5};21;NOT_STARTED;Rod-AC;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-110;1;;MAT-CM-110;5000
{82beaebf-e674-4518-8ef6-337589f7ea1d};22;NOT_STARTED;Rod-AD;NP-TF;CM2;3.2;STOCK;MAT-CM-113;1;;MAT-CM-113;6000
{5efa4593-3c76-42d8-b1ef-c5ef67bee9e7};23;NOT_STARTED;Rod-AE;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
#SEGMENTS
{c14996a3-5e88-4b74-977f-8ae69cb841fd};0;P;3000;MAT-CM-052;{20a72bf5-b686-4589-a2e9-73dad1abdf6e};223
{38b47c53-f5af-4082-940e-e765928e078c};0;P;1000;MAT-CM-053;{8aab2e3b-8892-4083-9c27-5e260859717a};231
{22d567b5-3025-495d-8f68-4ae202d677fb};0;P;1330;MAT-CM-054;{a7cf2f26-ee90-4a6b-a9d4-22b3878a5cfc};232
{66aeff05-edd4-4c38-b5f8-58f08f8d0aa8};0;P;1647;MAT-CM-055;{6ec56444-6f0c-4af8-9bb1-69d2fbc8c82a};223
{66aeff05-edd4-4c38-b5f8-58f08f8d0aa8};1;K;3.2;KERF;{6ec56444-6f0c-4af8-9bb1-69d2fbc8c82a};223
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};2;P;3190;MAT-CM-058;{9e20e12e-1bbc-43b9-96d6-0ca532b9a0b7};223
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};3;K;3.2;KERF;{9e20e12e-1bbc-43b9-96d6-0ca532b9a0b7};223
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};4;P;1325;MAT-CM-059;{14a6eb8c-cfbf-4ef6-8904-1a4643a5795e};230
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};5;K;3.2;KERF;{14a6eb8c-cfbf-4ef6-8904-1a4643a5795e};230
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};6;P;1275;MAT-CM-060;{8a288736-f692-4cc9-a893-07ad4df20ed9};231
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};7;K;3.2;KERF;{8a288736-f692-4cc9-a893-07ad4df20ed9};231
{0d3a33fb-40ce-4258-aa95-da71c357ec00};0;P;1232;MAT-CM-062;{5169348f-876d-4f5c-a751-957b006cb3f8};230
{0d3a33fb-40ce-4258-aa95-da71c357ec00};1;K;3.2;KERF;{5169348f-876d-4f5c-a751-957b006cb3f8};230
{0d3a33fb-40ce-4258-aa95-da71c357ec00};2;P;1557;MAT-CM-063;{e5689085-cad1-4926-8f2d-8f15b08711d3};232
{0d3a33fb-40ce-4258-aa95-da71c357ec00};3;K;3.2;KERF;{e5689085-cad1-4926-8f2d-8f15b08711d3};232
{30f789fc-4b8e-446c-a562-15e78463f430};0;P;1647;MAT-CM-065;{ecd12051-4c2b-4e78-b0b0-4ae5fc1caedb};223
{30f789fc-4b8e-446c-a562-15e78463f430};1;K;3.2;KERF;{ecd12051-4c2b-4e78-b0b0-4ae5fc1caedb};223
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};0;P;1244;MAT-CM-067;{18c70fcf-dab0-4176-b4ff-1d7bba81ffd9};230
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};1;K;2;KERF;{18c70fcf-dab0-4176-b4ff-1d7bba81ffd9};230
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};2;P;1569;MAT-CM-068;{b31a102a-00f4-4410-b84a-dad932a3b128};232
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};3;K;2;KERF;{b31a102a-00f4-4410-b84a-dad932a3b128};232
{ec88148f-49e7-421c-9e58-444304776398};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ec88148f-49e7-421c-9e58-444304776398};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ec88148f-49e7-421c-9e58-444304776398};2;P;3215;MAT-CM-071;{2bef52fe-f99d-4a04-bf23-65d3a39bc0b4};223
{ec88148f-49e7-421c-9e58-444304776398};3;K;3.2;KERF;{2bef52fe-f99d-4a04-bf23-65d3a39bc0b4};223
{ec88148f-49e7-421c-9e58-444304776398};4;P;1350;MAT-CM-072;{0bf4d5e2-ea8d-4b8c-b341-7d3c4c1f08f3};230
{ec88148f-49e7-421c-9e58-444304776398};5;K;3.2;KERF;{0bf4d5e2-ea8d-4b8c-b341-7d3c4c1f08f3};230
{ec88148f-49e7-421c-9e58-444304776398};6;P;1300;MAT-CM-073;{52c578ed-6f4f-4ebd-8d4f-14fd6c0718fc};231
{ec88148f-49e7-421c-9e58-444304776398};7;K;3.2;KERF;{52c578ed-6f4f-4ebd-8d4f-14fd6c0718fc};231
{74b60e79-c364-493a-b506-86be59ddfdf8};0;P;1647;MAT-CM-075;{3b5a7fec-4ba5-44fd-a763-ce11936482d3};223
{74b60e79-c364-493a-b506-86be59ddfdf8};1;K;3.2;KERF;{3b5a7fec-4ba5-44fd-a763-ce11936482d3};223
{ea639618-fa72-4a41-a696-74040f9c6dd0};0;P;45;MAT-CM-077;{4028f343-8d28-44b9-8071-ecc23b6d6e91};223
{ea639618-fa72-4a41-a696-74040f9c6dd0};1;K;2;KERF;{4028f343-8d28-44b9-8071-ecc23b6d6e91};223
{ea639618-fa72-4a41-a696-74040f9c6dd0};2;P;100;MAT-CM-078;{dc18bb3b-b782-4374-8d73-198fe0c0a24c};231
{ea639618-fa72-4a41-a696-74040f9c6dd0};3;K;2;KERF;{dc18bb3b-b782-4374-8d73-198fe0c0a24c};231
{ea639618-fa72-4a41-a696-74040f9c6dd0};4;P;145;MAT-CM-079;{988cd8e8-c598-4848-ac2a-fd8558ccd36f};232
{ea639618-fa72-4a41-a696-74040f9c6dd0};5;K;2;KERF;{988cd8e8-c598-4848-ac2a-fd8558ccd36f};232
{db26de2e-ad04-4759-a20f-fe34b0052dd8};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{db26de2e-ad04-4759-a20f-fe34b0052dd8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{db26de2e-ad04-4759-a20f-fe34b0052dd8};2;P;2462;MAT-CM-082;{2c1a7730-a476-4973-ad2d-e95b8ff1eecc};230
{db26de2e-ad04-4759-a20f-fe34b0052dd8};3;K;3.2;KERF;{2c1a7730-a476-4973-ad2d-e95b8ff1eecc};230
