#VERSION 2
#CUTPLANS
{8be0064c-bc3a-4138-bc89-b910de8a806d};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{f4abd294-3b6a-4790-9145-29be75db9a61};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15760;;RSM-623;1000
{56afe5b1-9475-41af-a1fa-5e3edd4d6b28};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15760;;RSM-471;1330
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};3;NOT_STARTED;Rod-G;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{0106fa31-f9c6-4d79-9360-38b3c43244c3};4;NOT_STARTED;Rod-H;NP-T;CM2;3.2;STOCK;MAT-CM-256;1;;MAT-CM-256;6000
{eb67a502-dab1-46a6-8179-27fb02679ccb};5;NOT_STARTED;Rod-J;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{07cebc1c-8de0-46de-b985-ff181f22e918};6;NOT_STARTED;Rod-K;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{c2659c2e-c10d-4093-affb-afe455ba8067};7;NOT_STARTED;Rod-M;NP-TF;CM2;3.2;STOCK;MAT-CM-266;1;;MAT-CM-266;6000
{e2f932ab-ebe5-42e4-8b2c-4b6b9e9c4c3d};8;NOT_STARTED;Rod-N;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{4636ed15-1b56-4284-8344-63e1a712845e};9;NOT_STARTED;Rod-P;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{a2bda0a5-b014-4aee-ac64-e92a4edb3377};10;NOT_STARTED;Rod-Q;NP-CL;CM2;3.2;REUSABLE;RSM-745;1;;RSM-745;2500
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};11;NOT_STARTED;Rod-R;NP-CLB;CM2;3.2;STOCK;MAT-CM-279;1;;MAT-CM-279;6000
{9a648c8f-e771-4d28-b313-5f6a9d292d17};12;NOT_STARTED;Rod-S;NP-CLT;CM2;3.2;STOCK;MAT-CM-283;1;;MAT-CM-283;7000
{84946a27-72b0-41f2-b0c9-7af60d6bca69};13;NOT_STARTED;Rod-T;NP-CLT;CM2;3.2;STOCK;MAT-CM-286;1;;MAT-CM-286;7000
{153fbaba-f330-4900-99b0-02000188dd20};14;NOT_STARTED;Rod-U;NP-CL;CM2;3.2;STOCK;MAT-CM-289;1;;MAT-CM-289;7000
{cc77e7a3-bf84-467d-a02c-da64fe88bd1f};15;NOT_STARTED;Rod-V;NP-CL;CM2;3.2;STOCK;MAT-CM-292;1;;MAT-CM-292;7000
{97358684-775e-45f7-92e8-9a78202f197f};16;NOT_STARTED;Rod-W;NP-CZ;CM2;3.2;REUSABLE;RSM-674;1;;RSM-674;1775
{717a2204-b5d9-454b-836a-eb9ad9b7b536};17;NOT_STARTED;Rod-X;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{6df21bd8-e25a-47db-bcee-46817802daab};18;NOT_STARTED;Rod-Y;NP-CZ;CM2;3.2;STOCK;MAT-CM-299;1;;MAT-CM-299;7000
{a475f3f7-b65f-4c25-90ea-e9d3c9f7a41d};19;NOT_STARTED;Rod-AA;NP-T;CM2;3.2;STOCK;MAT-CM-302;1;;MAT-CM-302;6000
{dbe2fbd8-02a6-42e9-a9cc-b93046e0070d};20;NOT_STARTED;Rod-AB;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-305;1;;MAT-CM-305;5000
{6408836c-8b00-4b3c-918f-9a83698cc3c6};21;NOT_STARTED;Rod-AC;NP-CLB;CM2;3.2;STOCK;MAT-CM-308;1;;MAT-CM-308;6000
{f1e110da-34bf-463a-b552-d8b2ba9ffe01};22;NOT_STARTED;Rod-AD;NP-TF;CM2;3.2;STOCK;MAT-CM-311;1;;MAT-CM-311;6000
{baeb5cf0-2425-4e4c-96dc-8e94c16fd513};23;NOT_STARTED;Rod-AE;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
#SEGMENTS
{8be0064c-bc3a-4138-bc89-b910de8a806d};0;P;3000;MAT-CM-250;{4fa402e1-8870-47d1-97a2-949c9cc6e1bf};223
{f4abd294-3b6a-4790-9145-29be75db9a61};0;P;1000;MAT-CM-251;{a90c51ae-2171-4b0c-a6b2-c2f16615ee54};231
{56afe5b1-9475-41af-a1fa-5e3edd4d6b28};0;P;1330;MAT-CM-252;{477f2313-50ed-4287-9367-f172389ff71c};232
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};0;P;1232;MAT-CM-253;{fe0b2428-a865-4137-a19a-83d3888d0a0f};230
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};1;K;3.2;KERF;{fe0b2428-a865-4137-a19a-83d3888d0a0f};230
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};2;P;1557;MAT-CM-254;{8f010404-5504-4853-acdc-4b609e1618bd};232
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};3;K;3.2;KERF;{8f010404-5504-4853-acdc-4b609e1618bd};232
{0106fa31-f9c6-4d79-9360-38b3c43244c3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0106fa31-f9c6-4d79-9360-38b3c43244c3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0106fa31-f9c6-4d79-9360-38b3c43244c3};2;P;3190;MAT-CM-257;{60defe13-77b3-4880-b7ef-c34149f56f50};223
{0106fa31-f9c6-4d79-9360-38b3c43244c3};3;K;3.2;KERF;{60defe13-77b3-4880-b7ef-c34149f56f50};223
{0106fa31-f9c6-4d79-9360-38b3c43244c3};4;P;1325;MAT-CM-258;{ca0179f9-38dd-4e83-b0ac-39f0ae225d04};230
{0106fa31-f9c6-4d79-9360-38b3c43244c3};5;K;3.2;KERF;{ca0179f9-38dd-4e83-b0ac-39f0ae225d04};230
{0106fa31-f9c6-4d79-9360-38b3c43244c3};6;P;1275;MAT-CM-259;{9772f392-bc47-4b96-9561-154a9034e42e};231
{0106fa31-f9c6-4d79-9360-38b3c43244c3};7;K;3.2;KERF;{9772f392-bc47-4b96-9561-154a9034e42e};231
{eb67a502-dab1-46a6-8179-27fb02679ccb};0;P;1244;MAT-CM-261;{7268d760-7ce9-49fd-b218-ef6fc6314d90};230
{eb67a502-dab1-46a6-8179-27fb02679ccb};1;K;2;KERF;{7268d760-7ce9-49fd-b218-ef6fc6314d90};230
{eb67a502-dab1-46a6-8179-27fb02679ccb};2;P;1569;MAT-CM-262;{0141c897-dac6-4d5b-a99f-a7795016298a};232
{eb67a502-dab1-46a6-8179-27fb02679ccb};3;K;2;KERF;{0141c897-dac6-4d5b-a99f-a7795016298a};232
{07cebc1c-8de0-46de-b985-ff181f22e918};0;P;1647;MAT-CM-264;{09da6483-7891-4463-acb3-0a6eae71cc58};223
{07cebc1c-8de0-46de-b985-ff181f22e918};1;K;3.2;KERF;{09da6483-7891-4463-acb3-0a6eae71cc58};223
{c2659c2e-c10d-4093-affb-afe455ba8067};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c2659c2e-c10d-4093-affb-afe455ba8067};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c2659c2e-c10d-4093-affb-afe455ba8067};2;P;3215;MAT-CM-267;{4b6bd0cd-ee67-4649-beea-463f61f7716f};223
{c2659c2e-c10d-4093-affb-afe455ba8067};3;K;3.2;KERF;{4b6bd0cd-ee67-4649-beea-463f61f7716f};223
{c2659c2e-c10d-4093-affb-afe455ba8067};4;P;1350;MAT-CM-268;{c7b39126-ef15-4ff7-a247-6a6f1a5f81f0};230
{c2659c2e-c10d-4093-affb-afe455ba8067};5;K;3.2;KERF;{c7b39126-ef15-4ff7-a247-6a6f1a5f81f0};230
{c2659c2e-c10d-4093-affb-afe455ba8067};6;P;1300;MAT-CM-269;{033e2a24-27ba-471c-bf94-c4b922763706};231
{c2659c2e-c10d-4093-affb-afe455ba8067};7;K;3.2;KERF;{033e2a24-27ba-471c-bf94-c4b922763706};231
{e2f932ab-ebe5-42e4-8b2c-4b6b9e9c4c3d};0;P;1647;MAT-CM-271;{f51f0b3c-faf6-4c15-9471-eb760e776bb3};223
{e2f932ab-ebe5-42e4-8b2c-4b6b9e9c4c3d};1;K;3.2;KERF;{f51f0b3c-faf6-4c15-9471-eb760e776bb3};223
{4636ed15-1b56-4284-8344-63e1a712845e};0;P;45;MAT-CM-273;{ce3f9f6b-110d-47ae-8966-006558642bd8};223
{4636ed15-1b56-4284-8344-63e1a712845e};1;K;2;KERF;{ce3f9f6b-110d-47ae-8966-006558642bd8};223
