#VERSION 2
#CUTPLANS
{14cd3bc4-35a9-4051-8260-17388bb7cc92};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{b403d72b-84c1-49f6-bc12-f34d3ac98489};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15904;;RSM-623;1000
{1a0ed551-1456-487f-a353-99301ea3d788};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15904;;RSM-471;1330
{a650f7a2-db7f-47ea-9d5a-4f9116bb0ab7};3;NOT_STARTED;Rod-G;NP-CL;CM2;3.2;REUSABLE;RSM-745;1;;RSM-745;2500
{85c86869-e97a-419c-acba-94e0f8c81874};4;NOT_STARTED;Rod-H;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{d05df512-5aff-4ad8-b668-f259bad356eb};5;NOT_STARTED;Rod-J;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{b1be717d-22d0-4684-844c-ee65341d1b8c};6;NOT_STARTED;Rod-K;NP-T;CM2;3.2;STOCK;MAT-CM-392;1;;MAT-CM-392;6000
{1611e914-5cfd-456e-a3f5-ad1846843a85};7;NOT_STARTED;Rod-M;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{ad3f6503-0004-4baf-83dc-4132910b196b};8;NOT_STARTED;Rod-N;NP-TF;CM2;3.2;STOCK;MAT-CM-401;1;;MAT-CM-401;6000
{dd01f570-0fff-490e-85ff-59c542f91055};9;NOT_STARTED;Rod-P;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{7c555251-d66e-48fe-87cb-5904d2e4c32a};10;NOT_STARTED;Rod-Q;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{5eebc688-7c14-4ba5-85d6-eed33322f981};11;NOT_STARTED;Rod-R;NP-CL;CM2;3.2;STOCK;MAT-CM-411;1;;MAT-CM-411;7000
{e75dd485-e006-47c5-a7b8-b7e44f0de9f3};12;NOT_STARTED;Rod-S;NP-CL;CM2;3.2;STOCK;MAT-CM-414;1;;MAT-CM-414;7000
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};13;NOT_STARTED;Rod-T;NP-CLT;CM2;3.2;STOCK;MAT-CM-417;1;;MAT-CM-417;7000
{65e7968f-9d87-44e5-9d05-3e61db651e4b};14;NOT_STARTED;Rod-U;NP-CLT;CM2;3.2;STOCK;MAT-CM-420;1;;MAT-CM-420;7000
{35155aaf-ff70-4495-a4a4-3a085188b3b3};15;NOT_STARTED;Rod-V;NP-CLB;CM2;3.2;STOCK;MAT-CM-423;1;;MAT-CM-423;6000
{e888e048-2e63-49b2-bb7d-03374f74343d};16;NOT_STARTED;Rod-W;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{a9be11f2-2db5-443a-a986-649c007aa42b};17;NOT_STARTED;Rod-X;NP-CZ;CM2;3.2;REUSABLE;RSM-674;1;;RSM-674;1775
{f0fd17e2-1a89-4604-a1a8-f9f9a9df739d};18;NOT_STARTED;Rod-Y;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-431;1;;MAT-CM-431;5000
{9f82365a-0ebc-46d3-8f45-16dcb33ca82c};19;NOT_STARTED;Rod-AA;NP-T;CM2;3.2;STOCK;MAT-CM-434;1;;MAT-CM-434;6000
{8820219c-8fdd-4dc3-9121-0d600e5834ce};20;NOT_STARTED;Rod-AB;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
{e5b3dfd4-610e-43d3-973e-cc62158e0455};21;NOT_STARTED;Rod-AC;NP-TF;CM2;3.2;STOCK;MAT-CM-439;1;;MAT-CM-439;6000
{ccb1ce06-c9fe-4b1b-ad5c-dcd4c46bf082};22;NOT_STARTED;Rod-AD;NP-CZ;CM2;3.2;STOCK;MAT-CM-442;1;;MAT-CM-442;7000
{eae36a37-fef3-48ce-bfc0-68cae5ee3b2a};23;NOT_STARTED;Rod-AE;NP-CLB;CM2;3.2;STOCK;MAT-CM-445;1;;MAT-CM-445;6000
#SEGMENTS
{14cd3bc4-35a9-4051-8260-17388bb7cc92};0;P;3000;MAT-CM-382;{fc6c4738-ac8a-475d-96b4-0afd71cf9230};223
{b403d72b-84c1-49f6-bc12-f34d3ac98489};0;P;1000;MAT-CM-383;{789533d3-3077-40ca-a33a-6b439325e4e0};231
{1a0ed551-1456-487f-a353-99301ea3d788};0;P;1330;MAT-CM-384;{20cdf17d-2666-4a92-8977-9574e5611b06};232
{a650f7a2-db7f-47ea-9d5a-4f9116bb0ab7};0;P;1647;MAT-CM-385;{66223ec1-5125-487b-aeb5-28505e7c7221};223
{a650f7a2-db7f-47ea-9d5a-4f9116bb0ab7};1;K;3.2;KERF;{66223ec1-5125-487b-aeb5-28505e7c7221};223
{85c86869-e97a-419c-acba-94e0f8c81874};0;P;1244;MAT-CM-387;{445ce1c1-66ff-48f9-a254-1a11e888bfd9};230
{85c86869-e97a-419c-acba-94e0f8c81874};1;K;2;KERF;{445ce1c1-66ff-48f9-a254-1a11e888bfd9};230
{85c86869-e97a-419c-acba-94e0f8c81874};2;P;1569;MAT-CM-388;{3dd117c7-7e40-4090-aae2-bbcffd48c81c};232
{85c86869-e97a-419c-acba-94e0f8c81874};3;K;2;KERF;{3dd117c7-7e40-4090-aae2-bbcffd48c81c};232
{d05df512-5aff-4ad8-b668-f259bad356eb};0;P;1647;MAT-CM-390;{637854c8-842e-4351-aedd-c05e4cf958d8};223
{d05df512-5aff-4ad8-b668-f259bad356eb};1;K;3.2;KERF;{637854c8-842e-4351-aedd-c05e4cf958d8};223
{b1be717d-22d0-4684-844c-ee65341d1b8c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b1be717d-22d0-4684-844c-ee65341d1b8c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b1be717d-22d0-4684-844c-ee65341d1b8c};2;P;3190;MAT-CM-393;{4adcfde6-1a48-40c2-90d9-67255798b1ee};223
{b1be717d-22d0-4684-844c-ee65341d1b8c};3;K;3.2;KERF;{4adcfde6-1a48-40c2-90d9-67255798b1ee};223
{b1be717d-22d0-4684-844c-ee65341d1b8c};4;P;1325;MAT-CM-394;{4a0a742e-1570-4dbd-80d9-a18dc68aab02};230
{b1be717d-22d0-4684-844c-ee65341d1b8c};5;K;3.2;KERF;{4a0a742e-1570-4dbd-80d9-a18dc68aab02};230
{b1be717d-22d0-4684-844c-ee65341d1b8c};6;P;1275;MAT-CM-395;{17bb8633-e459-43d4-86d1-65c888593190};231
{b1be717d-22d0-4684-844c-ee65341d1b8c};7;K;3.2;KERF;{17bb8633-e459-43d4-86d1-65c888593190};231
{1611e914-5cfd-456e-a3f5-ad1846843a85};0;P;45;MAT-CM-397;{3648182d-4d88-4d6a-8434-c81113a0f7bf};223
{1611e914-5cfd-456e-a3f5-ad1846843a85};1;K;2;KERF;{3648182d-4d88-4d6a-8434-c81113a0f7bf};223
{1611e914-5cfd-456e-a3f5-ad1846843a85};2;P;100;MAT-CM-398;{e8582fe3-65b9-4eee-9e48-e7ed77a13068};231
{1611e914-5cfd-456e-a3f5-ad1846843a85};3;K;2;KERF;{e8582fe3-65b9-4eee-9e48-e7ed77a13068};231
{1611e914-5cfd-456e-a3f5-ad1846843a85};4;P;145;MAT-CM-399;{e59e1810-f175-4907-b49d-cda2bede57ff};232
{1611e914-5cfd-456e-a3f5-ad1846843a85};5;K;2;KERF;{e59e1810-f175-4907-b49d-cda2bede57ff};232
{ad3f6503-0004-4baf-83dc-4132910b196b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ad3f6503-0004-4baf-83dc-4132910b196b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ad3f6503-0004-4baf-83dc-4132910b196b};2;P;3215;MAT-CM-402;{55030381-1725-4e7b-8127-009f86761ce7};223
{ad3f6503-0004-4baf-83dc-4132910b196b};3;K;3.2;KERF;{55030381-1725-4e7b-8127-009f86761ce7};223
{ad3f6503-0004-4baf-83dc-4132910b196b};4;P;1350;MAT-CM-403;{d84d95aa-43c8-4378-b753-7408b25d3e15};230
{ad3f6503-0004-4baf-83dc-4132910b196b};5;K;3.2;KERF;{d84d95aa-43c8-4378-b753-7408b25d3e15};230
{ad3f6503-0004-4baf-83dc-4132910b196b};6;P;1300;MAT-CM-404;{14a00460-6184-4199-85fe-06aaec41a6c4};231
{ad3f6503-0004-4baf-83dc-4132910b196b};7;K;3.2;KERF;{14a00460-6184-4199-85fe-06aaec41a6c4};231
{dd01f570-0fff-490e-85ff-59c542f91055};0;P;1232;MAT-CM-406;{df204d36-8b00-49c1-b623-d1ab6eda0279};230
{dd01f570-0fff-490e-85ff-59c542f91055};1;K;3.2;KERF;{df204d36-8b00-49c1-b623-d1ab6eda0279};230
{dd01f570-0fff-490e-85ff-59c542f91055};2;P;1557;MAT-CM-407;{c66024fd-6fa2-42fe-bbe4-a12617e9aebb};232
{dd01f570-0fff-490e-85ff-59c542f91055};3;K;3.2;KERF;{c66024fd-6fa2-42fe-bbe4-a12617e9aebb};232
{7c555251-d66e-48fe-87cb-5904d2e4c32a};0;P;1647;MAT-CM-409;{485fed45-d953-4b86-951b-49e68cc09ab2};223
{7c555251-d66e-48fe-87cb-5904d2e4c32a};1;K;3.2;KERF;{485fed45-d953-4b86-951b-49e68cc09ab2};223
{5eebc688-7c14-4ba5-85d6-eed33322f981};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5eebc688-7c14-4ba5-85d6-eed33322f981};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5eebc688-7c14-4ba5-85d6-eed33322f981};2;P;2462;MAT-CM-412;{97ccbb4c-508f-4d79-903e-6dc54b08ee2b};230
{5eebc688-7c14-4ba5-85d6-eed33322f981};3;K;3.2;KERF;{97ccbb4c-508f-4d79-903e-6dc54b08ee2b};230
{5eebc688-7c14-4ba5-85d6-eed33322f981};4;P;2462;MAT-CM-413;{2e8c0db5-f132-4fd4-a8ec-2ca7220a31a3};231
{5eebc688-7c14-4ba5-85d6-eed33322f981};5;K;3.2;KERF;{2e8c0db5-f132-4fd4-a8ec-2ca7220a31a3};231
{e75dd485-e006-47c5-a7b8-b7e44f0de9f3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e75dd485-e006-47c5-a7b8-b7e44f0de9f3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e75dd485-e006-47c5-a7b8-b7e44f0de9f3};2;P;2462;MAT-CM-415;{b3d99dd8-6a2f-4491-b730-d60eb826cc4b};232
{e75dd485-e006-47c5-a7b8-b7e44f0de9f3};3;K;3.2;KERF;{b3d99dd8-6a2f-4491-b730-d60eb826cc4b};232
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};2;P;2462;MAT-CM-418;{f9f0fb61-b759-4103-a198-a153b258dc92};230
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};3;K;3.2;KERF;{f9f0fb61-b759-4103-a198-a153b258dc92};230
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};4;P;2462;MAT-CM-419;{7508f691-9b03-47e2-a96f-e2f1ab321c56};231
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};5;K;3.2;KERF;{7508f691-9b03-47e2-a96f-e2f1ab321c56};231
{65e7968f-9d87-44e5-9d05-3e61db651e4b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{65e7968f-9d87-44e5-9d05-3e61db651e4b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{65e7968f-9d87-44e5-9d05-3e61db651e4b};2;P;2462;MAT-CM-421;{b16fa250-fd16-4e43-82e2-157304a3d13b};232
{65e7968f-9d87-44e5-9d05-3e61db651e4b};3;K;3.2;KERF;{b16fa250-fd16-4e43-82e2-157304a3d13b};232
{35155aaf-ff70-4495-a4a4-3a085188b3b3};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{35155aaf-ff70-4495-a4a4-3a085188b3b3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{35155aaf-ff70-4495-a4a4-3a085188b3b3};2;P;2462;MAT-CM-424;{6f845692-eb55-4baf-9de0-2a4716d2aec1};230
{35155aaf-ff70-4495-a4a4-3a085188b3b3};3;K;3.2;KERF;{6f845692-eb55-4baf-9de0-2a4716d2aec1};230
{35155aaf-ff70-4495-a4a4-3a085188b3b3};4;P;2462;MAT-CM-425;{e6b9fe0d-4fb8-46c0-97eb-d1c84e999902};231
{35155aaf-ff70-4495-a4a4-3a085188b3b3};5;K;3.2;KERF;{e6b9fe0d-4fb8-46c0-97eb-d1c84e999902};231
{e888e048-2e63-49b2-bb7d-03374f74343d};0;P;1194;MAT-CM-427;{2097a601-7903-47f4-bc9e-49a1b7208f0c};231
{e888e048-2e63-49b2-bb7d-03374f74343d};1;K;2;KERF;{2097a601-7903-47f4-bc9e-49a1b7208f0c};231
{a9be11f2-2db5-443a-a986-649c007aa42b};0;P;1182;MAT-CM-429;{5ee6f6d3-69f5-4d68-a925-043734afa2d5};231
{a9be11f2-2db5-443a-a986-649c007aa42b};1;K;3.2;KERF;{5ee6f6d3-69f5-4d68-a925-043734afa2d5};231
{f0fd17e2-1a89-4604-a1a8-f9f9a9df739d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{f0fd17e2-1a89-4604-a1a8-f9f9a9df739d};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{f0fd17e2-1a89-4604-a1a8-f9f9a9df739d};2;P;3109;MAT-CM-432;{f9aa13ce-b5ff-4ebb-bf34-8733d3f4906a};223
{f0fd17e2-1a89-4604-a1a8-f9f9a9df739d};3;K;2;KERF;{f9aa13ce-b5ff-4ebb-bf34-8733d3f4906a};223
{9f82365a-0ebc-46d3-8f45-16dcb33ca82c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9f82365a-0ebc-46d3-8f45-16dcb33ca82c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9f82365a-0ebc-46d3-8f45-16dcb33ca82c};2;P;1650;MAT-CM-435;{4e9c4345-5b08-4908-b009-4e67dd8bb510};232
{9f82365a-0ebc-46d3-8f45-16dcb33ca82c};3;K;3.2;KERF;{4e9c4345-5b08-4908-b009-4e67dd8bb510};232
{8820219c-8fdd-4dc3-9121-0d600e5834ce};0;P;1180;MAT-CM-437;{97b57f8a-7ce3-4622-a9c4-c4f5bcee8b16};230
{8820219c-8fdd-4dc3-9121-0d600e5834ce};1;K;2;KERF;{97b57f8a-7ce3-4622-a9c4-c4f5bcee8b16};230
{e5b3dfd4-610e-43d3-973e-cc62158e0455};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e5b3dfd4-610e-43d3-973e-cc62158e0455};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e5b3dfd4-610e-43d3-973e-cc62158e0455};2;P;1675;MAT-CM-440;{ce99c188-667d-46ba-a3d0-53e141f01589};232
{e5b3dfd4-610e-43d3-973e-cc62158e0455};3;K;3.2;KERF;{ce99c188-667d-46ba-a3d0-53e141f01589};232
{ccb1ce06-c9fe-4b1b-ad5c-dcd4c46bf082};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ccb1ce06-c9fe-4b1b-ad5c-dcd4c46bf082};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ccb1ce06-c9fe-4b1b-ad5c-dcd4c46bf082};2;P;3097;MAT-CM-443;{f5f45dde-03f2-4672-8c6a-f08f61140c47};223
{ccb1ce06-c9fe-4b1b-ad5c-dcd4c46bf082};3;K;3.2;KERF;{f5f45dde-03f2-4672-8c6a-f08f61140c47};223
{eae36a37-fef3-48ce-bfc0-68cae5ee3b2a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{eae36a37-fef3-48ce-bfc0-68cae5ee3b2a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{eae36a37-fef3-48ce-bfc0-68cae5ee3b2a};2;P;2462;MAT-CM-446;{377cb289-f75a-4e58-8ca0-e0a7c19f60fe};232
{eae36a37-fef3-48ce-bfc0-68cae5ee3b2a};3;K;3.2;KERF;{377cb289-f75a-4e58-8ca0-e0a7c19f60fe};232
#PIECES
{14cd3bc4-35a9-4051-8260-17388bb7cc92};{fc6c4738-ac8a-475d-96b4-0afd71cf9230};3000;NP-BAR22-3000;223
{b403d72b-84c1-49f6-bc12-f34d3ac98489};{789533d3-3077-40ca-a33a-6b439325e4e0};1000;NP-BAR22-3000;231
{1a0ed551-1456-487f-a353-99301ea3d788};{20cdf17d-2666-4a92-8977-9574e5611b06};1330;NP-BAR22-3000;232
{a650f7a2-db7f-47ea-9d5a-4f9116bb0ab7};{66223ec1-5125-487b-aeb5-28505e7c7221};1647;NP-CL;223
{85c86869-e97a-419c-acba-94e0f8c81874};{445ce1c1-66ff-48f9-a254-1a11e888bfd9};1244;NP-ROLL70-5000;230
{85c86869-e97a-419c-acba-94e0f8c81874};{3dd117c7-7e40-4090-aae2-bbcffd48c81c};1569;NP-ROLL70-5000;232
{d05df512-5aff-4ad8-b668-f259bad356eb};{637854c8-842e-4351-aedd-c05e4cf958d8};1647;NP-CLT;223
{b1be717d-22d0-4684-844c-ee65341d1b8c};{4adcfde6-1a48-40c2-90d9-67255798b1ee};3190;NP-T;223
{b1be717d-22d0-4684-844c-ee65341d1b8c};{4a0a742e-1570-4dbd-80d9-a18dc68aab02};1325;NP-T;230
{b1be717d-22d0-4684-844c-ee65341d1b8c};{17bb8633-e459-43d4-86d1-65c888593190};1275;NP-T;231
{1611e914-5cfd-456e-a3f5-ad1846843a85};{3648182d-4d88-4d6a-8434-c81113a0f7bf};45;NP-BAR22-3000;223
{1611e914-5cfd-456e-a3f5-ad1846843a85};{e8582fe3-65b9-4eee-9e48-e7ed77a13068};100;NP-BAR22-3000;231
{1611e914-5cfd-456e-a3f5-ad1846843a85};{e59e1810-f175-4907-b49d-cda2bede57ff};145;NP-BAR22-3000;232
{ad3f6503-0004-4baf-83dc-4132910b196b};{55030381-1725-4e7b-8127-009f86761ce7};3215;NP-TF;223
{ad3f6503-0004-4baf-83dc-4132910b196b};{d84d95aa-43c8-4378-b753-7408b25d3e15};1350;NP-TF;230
{ad3f6503-0004-4baf-83dc-4132910b196b};{14a00460-6184-4199-85fe-06aaec41a6c4};1300;NP-TF;231
{dd01f570-0fff-490e-85ff-59c542f91055};{df204d36-8b00-49c1-b623-d1ab6eda0279};1232;NP-CZ;230
{dd01f570-0fff-490e-85ff-59c542f91055};{c66024fd-6fa2-42fe-bbe4-a12617e9aebb};1557;NP-CZ;232
{7c555251-d66e-48fe-87cb-5904d2e4c32a};{485fed45-d953-4b86-951b-49e68cc09ab2};1647;NP-CLB;223
{5eebc688-7c14-4ba5-85d6-eed33322f981};{97ccbb4c-508f-4d79-903e-6dc54b08ee2b};2462;NP-CL;230
{5eebc688-7c14-4ba5-85d6-eed33322f981};{2e8c0db5-f132-4fd4-a8ec-2ca7220a31a3};2462;NP-CL;231
{e75dd485-e006-47c5-a7b8-b7e44f0de9f3};{b3d99dd8-6a2f-4491-b730-d60eb826cc4b};2462;NP-CL;232
