#VERSION 2
#CUTPLANS
{3693f373-becf-49c6-9f41-b2bf95c7921e};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{c1a6f5d2-76a0-451b-adc2-72ea2e3c8c72};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15952;;RSM-623;1000
{9258fc90-d05d-4e87-93c4-b8bd12d78d7f};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15952;;RSM-471;1330
{2b41b7ee-d657-4d26-beab-25acd0426968};3;NOT_STARTED;Rod-G;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{3573ed28-6db2-4974-9138-ccbfbc881c69};4;NOT_STARTED;Rod-H;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{9577846d-c714-4a04-a6ac-d81a681d60ea};5;NOT_STARTED;Rod-J;NP-TF;CM2;3.2;STOCK;MAT-CM-587;1;;MAT-CM-587;6000
{97624ad6-9eb8-482a-aee9-3f38dde11368};6;NOT_STARTED;Rod-K;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{68223729-8628-48b6-a9be-6cfa4005e053};7;NOT_STARTED;Rod-M;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{958aa7ed-070c-4384-a845-c899b42e8c52};8;NOT_STARTED;Rod-N;NP-T;CM2;3.2;STOCK;MAT-CM-599;1;;MAT-CM-599;6000
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};9;NOT_STARTED;Rod-P;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{416e0bc4-168a-4bb1-a1fc-996f209a9a05};10;NOT_STARTED;Rod-Q;NP-CL;CM2;3.2;REUSABLE;RSM-745;1;;RSM-745;2500
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};11;NOT_STARTED;Rod-R;NP-CLT;CM2;3.2;STOCK;MAT-CM-609;1;;MAT-CM-609;7000
{92afa54c-12af-4a9b-879a-9941c0b69739};12;NOT_STARTED;Rod-S;NP-CLT;CM2;3.2;STOCK;MAT-CM-612;1;;MAT-CM-612;7000
{76173041-e88e-4df3-93a5-7733e80432c4};13;NOT_STARTED;Rod-T;NP-CLB;CM2;3.2;STOCK;MAT-CM-615;1;;MAT-CM-615;6000
{b212db96-0a2d-4048-a7d5-8df7421178b9};14;NOT_STARTED;Rod-U;NP-CL;CM2;3.2;STOCK;MAT-CM-619;1;;MAT-CM-619;7000
{01a8ca7c-9c27-4a86-8e49-ca85639a667d};15;NOT_STARTED;Rod-V;NP-CL;CM2;3.2;STOCK;MAT-CM-622;1;;MAT-CM-622;7000
{5699d82a-f776-484d-bb40-1c61ff57ff28};16;NOT_STARTED;Rod-W;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{b8da3539-5401-40ee-a662-88ced08e7cd6};17;NOT_STARTED;Rod-X;NP-CZ;CM2;3.2;REUSABLE;RSM-674;1;;RSM-674;1775
{ff904587-af48-4eb0-879a-1600681eec1d};18;NOT_STARTED;Rod-Y;NP-CLB;CM2;3.2;STOCK;MAT-CM-629;1;;MAT-CM-629;6000
{2ca8b679-9f5d-4a76-b02f-b8eebc4ab8a6};19;NOT_STARTED;Rod-AA;NP-TF;CM2;3.2;STOCK;MAT-CM-632;1;;MAT-CM-632;6000
{0593b2bc-fc73-40db-8326-9b4b2f9488fb};20;NOT_STARTED;Rod-AB;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-635;1;;MAT-CM-635;5000
{108b26aa-d2d7-4c3d-8083-b6adeff7974f};21;NOT_STARTED;Rod-AC;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
{b05f707b-da19-4396-beb4-ea86367a4a3b};22;NOT_STARTED;Rod-AD;NP-T;CM2;3.2;STOCK;MAT-CM-640;1;;MAT-CM-640;6000
{a9b9c38c-48b6-4904-8635-f28d12c3dde0};23;NOT_STARTED;Rod-AE;NP-CZ;CM2;3.2;STOCK;MAT-CM-643;1;;MAT-CM-643;7000
#SEGMENTS
{3693f373-becf-49c6-9f41-b2bf95c7921e};0;P;3000;MAT-CM-580;{68251946-341b-454e-a35b-295ee69d532f};223
{c1a6f5d2-76a0-451b-adc2-72ea2e3c8c72};0;P;1000;MAT-CM-581;{629d59c1-82e0-486d-a0c0-11a05a4da541};231
{9258fc90-d05d-4e87-93c4-b8bd12d78d7f};0;P;1330;MAT-CM-582;{92a3aaa0-4137-4785-b546-372d52237f94};232
{2b41b7ee-d657-4d26-beab-25acd0426968};0;P;1647;MAT-CM-583;{cfb59657-9d4c-4247-8bd4-1c459f77f4ff};223
{2b41b7ee-d657-4d26-beab-25acd0426968};1;K;3.2;KERF;{cfb59657-9d4c-4247-8bd4-1c459f77f4ff};223
{3573ed28-6db2-4974-9138-ccbfbc881c69};0;P;1647;MAT-CM-585;{72a097e5-5ae0-4170-bd9f-075d8aff276a};223
{3573ed28-6db2-4974-9138-ccbfbc881c69};1;K;3.2;KERF;{72a097e5-5ae0-4170-bd9f-075d8aff276a};223
{9577846d-c714-4a04-a6ac-d81a681d60ea};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9577846d-c714-4a04-a6ac-d81a681d60ea};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9577846d-c714-4a04-a6ac-d81a681d60ea};2;P;3215;MAT-CM-588;{f471a4a7-1189-433e-b212-1afd23f68900};223
{9577846d-c714-4a04-a6ac-d81a681d60ea};3;K;3.2;KERF;{f471a4a7-1189-433e-b212-1afd23f68900};223
{9577846d-c714-4a04-a6ac-d81a681d60ea};4;P;1350;MAT-CM-589;{2201634b-f5e2-4641-98c0-61e33a5c3b58};230
{9577846d-c714-4a04-a6ac-d81a681d60ea};5;K;3.2;KERF;{2201634b-f5e2-4641-98c0-61e33a5c3b58};230
{9577846d-c714-4a04-a6ac-d81a681d60ea};6;P;1300;MAT-CM-590;{b1975d41-2606-4b28-9063-731940f8c40c};231
{9577846d-c714-4a04-a6ac-d81a681d60ea};7;K;3.2;KERF;{b1975d41-2606-4b28-9063-731940f8c40c};231
{97624ad6-9eb8-482a-aee9-3f38dde11368};0;P;1244;MAT-CM-592;{922987e4-58ed-49f7-b8ec-5544121116f1};230
{97624ad6-9eb8-482a-aee9-3f38dde11368};1;K;2;KERF;{922987e4-58ed-49f7-b8ec-5544121116f1};230
{97624ad6-9eb8-482a-aee9-3f38dde11368};2;P;1569;MAT-CM-593;{140eb6a7-3a22-446d-b409-6a18d8d53969};232
{97624ad6-9eb8-482a-aee9-3f38dde11368};3;K;2;KERF;{140eb6a7-3a22-446d-b409-6a18d8d53969};232
{68223729-8628-48b6-a9be-6cfa4005e053};0;P;45;MAT-CM-595;{a73c3122-38de-43ff-8aa6-53f2cc446c4d};223
{68223729-8628-48b6-a9be-6cfa4005e053};1;K;2;KERF;{a73c3122-38de-43ff-8aa6-53f2cc446c4d};223
{68223729-8628-48b6-a9be-6cfa4005e053};2;P;100;MAT-CM-596;{432c6a12-a27e-46f7-8573-96b6010dbce2};231
{68223729-8628-48b6-a9be-6cfa4005e053};3;K;2;KERF;{432c6a12-a27e-46f7-8573-96b6010dbce2};231
{68223729-8628-48b6-a9be-6cfa4005e053};4;P;145;MAT-CM-597;{bbbe246c-b505-45ae-b1dc-57b293ae7937};232
{68223729-8628-48b6-a9be-6cfa4005e053};5;K;2;KERF;{bbbe246c-b505-45ae-b1dc-57b293ae7937};232
{958aa7ed-070c-4384-a845-c899b42e8c52};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{958aa7ed-070c-4384-a845-c899b42e8c52};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{958aa7ed-070c-4384-a845-c899b42e8c52};2;P;3190;MAT-CM-600;{d8d7c53f-1395-4fde-83ad-893be925d9bd};223
{958aa7ed-070c-4384-a845-c899b42e8c52};3;K;3.2;KERF;{d8d7c53f-1395-4fde-83ad-893be925d9bd};223
{958aa7ed-070c-4384-a845-c899b42e8c52};4;P;1325;MAT-CM-601;{131b83da-795f-4ce6-b0ba-5527f3cbff86};230
{958aa7ed-070c-4384-a845-c899b42e8c52};5;K;3.2;KERF;{131b83da-795f-4ce6-b0ba-5527f3cbff86};230
{958aa7ed-070c-4384-a845-c899b42e8c52};6;P;1275;MAT-CM-602;{faff8038-b932-42a5-8350-1902809d5ecc};231
{958aa7ed-070c-4384-a845-c899b42e8c52};7;K;3.2;KERF;{faff8038-b932-42a5-8350-1902809d5ecc};231
