#VERSION 2
#CUTPLANS
{be183ab8-00df-4f98-9863-bf71a9e29700};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{7ac97af4-85a4-42a5-9ee3-2513a941ed1c};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15952;;RSM-623;1000
{4da89512-b98c-4924-b345-a4f7e6409db9};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15952;;RSM-471;1330
{fd18cde1-7f35-42a0-bedb-2a869aafce1c};3;NOT_STARTED;Rod-G;NP-CL;CM2;3.2;REUSABLE;RSM-745;1;;RSM-745;2500
{dcffcc7a-76a3-4231-8492-190346cdc4c2};4;NOT_STARTED;Rod-H;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{649e2f47-8439-4aed-8cfa-caa852569c52};5;NOT_STARTED;Rod-J;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{fdd61633-404f-4932-8313-a6ac105fe9dd};6;NOT_STARTED;Rod-K;NP-TF;CM2;3.2;STOCK;MAT-CM-724;1;;MAT-CM-724;6000
{b8286cbf-c696-4f99-9899-59a831793d83};7;NOT_STARTED;Rod-M;NP-T;CM2;3.2;STOCK;MAT-CM-729;1;;MAT-CM-729;6000
{8796d3eb-af57-4c41-b6d0-c4097b65b904};8;NOT_STARTED;Rod-N;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{bb9277a3-aa1d-4bb3-a6c1-43e4cddd2ef6};9;NOT_STARTED;Rod-P;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{e37a12a5-200b-4943-951e-3098ddee6353};10;NOT_STARTED;Rod-Q;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{d1d3c43f-f7c7-4ea6-b444-f705a5c8298d};11;NOT_STARTED;Rod-R;NP-CL;CM2;3.2;STOCK;MAT-CM-741;1;;MAT-CM-741;7000
{bc542a73-22ac-415d-a831-4b1db1e7d536};12;NOT_STARTED;Rod-S;NP-CL;CM2;3.2;STOCK;MAT-CM-744;1;;MAT-CM-744;7000
{708ab7d2-8633-4bd6-b9ce-6f8b6fb34d58};13;NOT_STARTED;Rod-T;NP-CLT;CM2;3.2;STOCK;MAT-CM-747;1;;MAT-CM-747;7000
{8997fa10-7cc0-4e46-b57e-113782c22696};14;NOT_STARTED;Rod-U;NP-CLT;CM2;3.2;STOCK;MAT-CM-750;1;;MAT-CM-750;7000
{b74f464c-7d3b-41ec-96c8-9208b8b67404};15;NOT_STARTED;Rod-V;NP-CLB;CM2;3.2;STOCK;MAT-CM-753;1;;MAT-CM-753;6000
{757ddbab-7db3-44b4-9508-81dc3879e055};16;NOT_STARTED;Rod-W;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{5084235e-49fa-49a9-881b-ee4eb6f1ba22};17;NOT_STARTED;Rod-X;NP-CZ;CM2;3.2;REUSABLE;RSM-674;1;;RSM-674;1775
{9f2a1641-5467-466b-a1ba-19404afbb6bc};18;NOT_STARTED;Rod-Y;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
{84e5805f-1b4d-4089-b9eb-6645c31fc30c};19;NOT_STARTED;Rod-AA;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-763;1;;MAT-CM-763;5000
{8226dabb-0e1b-43d3-9f4d-84dce64bad8b};20;NOT_STARTED;Rod-AB;NP-TF;CM2;3.2;STOCK;MAT-CM-766;1;;MAT-CM-766;6000
{5ef323e9-5595-4cc7-b89f-a380b7cd9274};21;NOT_STARTED;Rod-AC;NP-T;CM2;3.2;STOCK;MAT-CM-769;1;;MAT-CM-769;6000
{6f6668aa-4f36-445c-ae94-8d150df765e5};22;NOT_STARTED;Rod-AD;NP-CZ;CM2;3.2;STOCK;MAT-CM-772;1;;MAT-CM-772;7000
{6adc38a5-9ba2-4605-a2e0-4b4ddfb34fa1};23;NOT_STARTED;Rod-AE;NP-CLB;CM2;3.2;STOCK;MAT-CM-775;1;;MAT-CM-775;6000
#SEGMENTS
{be183ab8-00df-4f98-9863-bf71a9e29700};0;P;3000;MAT-CM-712;{d43adfc9-b60f-4c44-b6e4-d8d8dfd0c1b8};223
{7ac97af4-85a4-42a5-9ee3-2513a941ed1c};0;P;1000;MAT-CM-713;{6e222ecf-51c3-4fe2-8570-87ad6c5d43f2};231
{4da89512-b98c-4924-b345-a4f7e6409db9};0;P;1330;MAT-CM-714;{92c46751-d5b3-418e-8abe-65ac3f4f1cc2};232
{fd18cde1-7f35-42a0-bedb-2a869aafce1c};0;P;1647;MAT-CM-715;{496ede2f-ea09-417e-8534-dcfd3b8e1606};223
{fd18cde1-7f35-42a0-bedb-2a869aafce1c};1;K;3.2;KERF;{496ede2f-ea09-417e-8534-dcfd3b8e1606};223
{dcffcc7a-76a3-4231-8492-190346cdc4c2};0;P;45;MAT-CM-717;{c150c3d0-db71-4634-b2b5-af4d468d1f75};223
{dcffcc7a-76a3-4231-8492-190346cdc4c2};1;K;2;KERF;{c150c3d0-db71-4634-b2b5-af4d468d1f75};223
{dcffcc7a-76a3-4231-8492-190346cdc4c2};2;P;100;MAT-CM-718;{0e926fec-f191-4e77-b03b-e5e1e0ecd52b};231
{dcffcc7a-76a3-4231-8492-190346cdc4c2};3;K;2;KERF;{0e926fec-f191-4e77-b03b-e5e1e0ecd52b};231
{dcffcc7a-76a3-4231-8492-190346cdc4c2};4;P;145;MAT-CM-719;{db113b5e-ebb1-48b2-8f4e-570c65a386f1};232
{dcffcc7a-76a3-4231-8492-190346cdc4c2};5;K;2;KERF;{db113b5e-ebb1-48b2-8f4e-570c65a386f1};232
{649e2f47-8439-4aed-8cfa-caa852569c52};0;P;1244;MAT-CM-721;{2ba04905-d1e4-4664-a34f-49884fb7c695};230
{649e2f47-8439-4aed-8cfa-caa852569c52};1;K;2;KERF;{2ba04905-d1e4-4664-a34f-49884fb7c695};230
{649e2f47-8439-4aed-8cfa-caa852569c52};2;P;1569;MAT-CM-722;{12b3790d-1f33-4cb7-ae30-04bb751dd972};232
{649e2f47-8439-4aed-8cfa-caa852569c52};3;K;2;KERF;{12b3790d-1f33-4cb7-ae30-04bb751dd972};232
{fdd61633-404f-4932-8313-a6ac105fe9dd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fdd61633-404f-4932-8313-a6ac105fe9dd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fdd61633-404f-4932-8313-a6ac105fe9dd};2;P;3215;MAT-CM-725;{c961434c-8397-43d9-be20-0338697014df};223
{fdd61633-404f-4932-8313-a6ac105fe9dd};3;K;3.2;KERF;{c961434c-8397-43d9-be20-0338697014df};223
{fdd61633-404f-4932-8313-a6ac105fe9dd};4;P;1350;MAT-CM-726;{397f5d1b-605f-4a71-95d5-50dff14820d3};230
{fdd61633-404f-4932-8313-a6ac105fe9dd};5;K;3.2;KERF;{397f5d1b-605f-4a71-95d5-50dff14820d3};230
{fdd61633-404f-4932-8313-a6ac105fe9dd};6;P;1300;MAT-CM-727;{8dea88c8-d7e8-45bd-83b0-6f438586d91d};231
{fdd61633-404f-4932-8313-a6ac105fe9dd};7;K;3.2;KERF;{8dea88c8-d7e8-45bd-83b0-6f438586d91d};231
{b8286cbf-c696-4f99-9899-59a831793d83};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b8286cbf-c696-4f99-9899-59a831793d83};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b8286cbf-c696-4f99-9899-59a831793d83};2;P;3190;MAT-CM-730;{77859cc6-ddc8-4469-b97d-83bbcb1b1358};223
{b8286cbf-c696-4f99-9899-59a831793d83};3;K;3.2;KERF;{77859cc6-ddc8-4469-b97d-83bbcb1b1358};223
{b8286cbf-c696-4f99-9899-59a831793d83};4;P;1325;MAT-CM-731;{495f1731-8f56-4688-9dc1-68cca98a007c};230
{b8286cbf-c696-4f99-9899-59a831793d83};5;K;3.2;KERF;{495f1731-8f56-4688-9dc1-68cca98a007c};230
{b8286cbf-c696-4f99-9899-59a831793d83};6;P;1275;MAT-CM-732;{a8b52093-c7f4-417b-ae68-2fa53ceaa5e5};231
{b8286cbf-c696-4f99-9899-59a831793d83};7;K;3.2;KERF;{a8b52093-c7f4-417b-ae68-2fa53ceaa5e5};231
{8796d3eb-af57-4c41-b6d0-c4097b65b904};0;P;1647;MAT-CM-734;{176b63fc-3cee-4aec-a573-171cbb696031};223
{8796d3eb-af57-4c41-b6d0-c4097b65b904};1;K;3.2;KERF;{176b63fc-3cee-4aec-a573-171cbb696031};223
