#VERSION 2
#CUTPLANS
{c81f449a-8496-4f4d-986f-8640e587c8e8};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{a385f3ee-8c1a-4e84-a522-3f3379911e20};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15952;;RSM-623;1000
{b06db6ee-c2a0-412e-ad31-3aafd35945f9};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15952;;RSM-471;1330
{f5c27a12-1745-4b11-9ba9-62265a127ee6};3;NOT_STARTED;Rod-G;NP-T;CM2;3.2;STOCK;MAT-CM-781;1;;MAT-CM-781;6000
{eb1eb53d-b82b-4895-a9e5-9ee20b62791c};4;NOT_STARTED;Rod-H;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{338f577a-caad-43ae-86d4-cba04982b95b};5;NOT_STARTED;Rod-J;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{ad42fff2-dc15-414b-a89e-c783fc944d3b};6;NOT_STARTED;Rod-K;NP-CL;CM2;3.2;REUSABLE;RSM-747;1;;RSM-747;1800
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};7;NOT_STARTED;Rod-M;NP-TF;CM2;3.2;STOCK;MAT-CM-793;1;;MAT-CM-793;6000
{6b0da326-f20f-4d41-9094-1da8884ef200};8;NOT_STARTED;Rod-N;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};9;NOT_STARTED;Rod-P;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};10;NOT_STARTED;Rod-Q;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{bb3844bb-5ae0-4628-9cb8-74951aa5d4ac};11;NOT_STARTED;Rod-R;NP-CLB;CM2;3.2;REUSABLE;RST-B-849;1;;RST-B-849;3525
{9b918cd0-66e2-4699-9655-975da72f3d3a};12;NOT_STARTED;Rod-S;NP-CL;CM2;3.2;STOCK;MAT-CM-809;1;;MAT-CM-809;7000
{f7bac7d5-a013-412a-848b-4fa814acd8cb};13;NOT_STARTED;Rod-T;NP-CL;CM2;3.2;STOCK;MAT-CM-812;1;;MAT-CM-812;7000
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};14;NOT_STARTED;Rod-U;NP-CLT;CM2;3.2;STOCK;MAT-CM-815;1;;MAT-CM-815;7000
{bacf5b7a-a04c-4b30-869b-7589d44bf79b};15;NOT_STARTED;Rod-V;NP-CLT;CM2;3.2;STOCK;MAT-CM-818;1;;MAT-CM-818;7000
{a95ebe24-f835-461e-9518-fde4dd4af4be};16;NOT_STARTED;Rod-W;NP-CLB;CM2;3.2;STOCK;MAT-CM-821;1;;MAT-CM-821;6000
{0b206638-6359-47e5-b721-9f0087068c4b};17;NOT_STARTED;Rod-X;NP-CZ;CM2;3.2;STOCK;MAT-CM-825;1;;MAT-CM-825;7000
{56706446-8796-4f7b-8547-a39c04dfb473};18;NOT_STARTED;Rod-Y;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{51a24b26-bf99-4cab-a424-df3d24498ae3};19;NOT_STARTED;Rod-AA;NP-T;CM2;3.2;STOCK;MAT-CM-831;1;;MAT-CM-831;6000
{83c06448-e17b-46c8-8747-18374a4d96ab};20;NOT_STARTED;Rod-AB;NP-TF;CM2;3.2;STOCK;MAT-CM-834;1;;MAT-CM-834;6000
{45ca1739-90c7-47df-a2d1-e1f203f2d349};21;NOT_STARTED;Rod-AC;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-837;1;;MAT-CM-837;5000
{4f9dc357-9886-4d8e-b45d-b7e54e83510c};22;NOT_STARTED;Rod-AD;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
#SEGMENTS
{c81f449a-8496-4f4d-986f-8640e587c8e8};0;P;3000;MAT-CM-778;{d565b75f-fd91-449f-bf9e-1fb1248152d4};223
{a385f3ee-8c1a-4e84-a522-3f3379911e20};0;P;1000;MAT-CM-779;{b3175e9a-2d5e-4729-b51e-9895aa9ffa4b};231
{b06db6ee-c2a0-412e-ad31-3aafd35945f9};0;P;1330;MAT-CM-780;{c1396381-4ea3-4af3-8c68-59ce06a2e389};232
{f5c27a12-1745-4b11-9ba9-62265a127ee6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f5c27a12-1745-4b11-9ba9-62265a127ee6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f5c27a12-1745-4b11-9ba9-62265a127ee6};2;P;3190;MAT-CM-782;{d1f3d5d0-80fa-411a-80ff-7639cafaa4b9};223
{f5c27a12-1745-4b11-9ba9-62265a127ee6};3;K;3.2;KERF;{d1f3d5d0-80fa-411a-80ff-7639cafaa4b9};223
{f5c27a12-1745-4b11-9ba9-62265a127ee6};4;P;1325;MAT-CM-783;{3e773984-a920-4b23-8fbd-3ec69461fff0};230
{f5c27a12-1745-4b11-9ba9-62265a127ee6};5;K;3.2;KERF;{3e773984-a920-4b23-8fbd-3ec69461fff0};230
{f5c27a12-1745-4b11-9ba9-62265a127ee6};6;P;1275;MAT-CM-784;{542efb8c-e8e1-40bc-b15b-074b035daabc};231
{f5c27a12-1745-4b11-9ba9-62265a127ee6};7;K;3.2;KERF;{542efb8c-e8e1-40bc-b15b-074b035daabc};231
{eb1eb53d-b82b-4895-a9e5-9ee20b62791c};0;P;1647;MAT-CM-786;{3ca02769-645d-4e3b-bbc0-ed89f9e07135};223
{eb1eb53d-b82b-4895-a9e5-9ee20b62791c};1;K;3.2;KERF;{3ca02769-645d-4e3b-bbc0-ed89f9e07135};223
{338f577a-caad-43ae-86d4-cba04982b95b};0;P;1232;MAT-CM-788;{ed018229-d106-460f-9677-e8303e2bc883};230
{338f577a-caad-43ae-86d4-cba04982b95b};1;K;3.2;KERF;{ed018229-d106-460f-9677-e8303e2bc883};230
{338f577a-caad-43ae-86d4-cba04982b95b};2;P;1557;MAT-CM-789;{9b939a3c-c971-4869-bd62-42684168a439};232
{338f577a-caad-43ae-86d4-cba04982b95b};3;K;3.2;KERF;{9b939a3c-c971-4869-bd62-42684168a439};232
{ad42fff2-dc15-414b-a89e-c783fc944d3b};0;P;1647;MAT-CM-791;{639a73ec-296d-4741-892b-43e60b9a6ab1};223
{ad42fff2-dc15-414b-a89e-c783fc944d3b};1;K;3.2;KERF;{639a73ec-296d-4741-892b-43e60b9a6ab1};223
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};2;P;3215;MAT-CM-794;{b38ec6f5-367a-4e6d-aa93-e41dcde391d3};223
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};3;K;3.2;KERF;{b38ec6f5-367a-4e6d-aa93-e41dcde391d3};223
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};4;P;1350;MAT-CM-795;{10a881bb-2aad-43fb-a4a2-1beb2e5c9da7};230
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};5;K;3.2;KERF;{10a881bb-2aad-43fb-a4a2-1beb2e5c9da7};230
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};6;P;1300;MAT-CM-796;{89959e84-52c0-418c-8df7-f645876c74ac};231
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};7;K;3.2;KERF;{89959e84-52c0-418c-8df7-f645876c74ac};231
{6b0da326-f20f-4d41-9094-1da8884ef200};0;P;1647;MAT-CM-798;{db29e072-8249-46eb-84dc-2b2d2cad95ef};223
{6b0da326-f20f-4d41-9094-1da8884ef200};1;K;3.2;KERF;{db29e072-8249-46eb-84dc-2b2d2cad95ef};223
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};0;P;1244;MAT-CM-800;{62f8cbd6-0f8d-4f71-8b3c-1227c632a332};230
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};1;K;2;KERF;{62f8cbd6-0f8d-4f71-8b3c-1227c632a332};230
