#VERSION 2
#CUTPLANS
{04629b7b-4666-48ad-8a2c-d1c2a8be39c0};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{af0da386-1a2a-4525-8bd8-b835f67b0f9c};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15952;;RSM-623;1000
{1df325f8-7e87-478f-bed0-0b72a6cce2b4};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15952;;RSM-471;1330
{26362186-e775-4e99-a334-41eec2aa5067};3;NOT_STARTED;Rod-G;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};4;NOT_STARTED;Rod-H;NP-T;CM2;3.2;STOCK;MAT-CM-848;1;;MAT-CM-848;6000
{fd28a8ba-1b36-432b-a60f-f4fc39753619};5;NOT_STARTED;Rod-J;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{451f9fa2-743d-4a1b-865c-b52bfe0fabf1};6;NOT_STARTED;Rod-K;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{98ba4e51-9dfd-4add-ba95-d427a6165871};7;NOT_STARTED;Rod-M;NP-CL;CM2;3.2;REUSABLE;RSM-747;1;;RSM-747;1800
{2d2d2652-40cb-47b0-936a-a64216f54100};8;NOT_STARTED;Rod-N;NP-TF;CM2;3.2;STOCK;MAT-CM-860;1;;MAT-CM-860;6000
{18871e92-9d0c-4ca5-a7a9-63fc39613197};9;NOT_STARTED;Rod-P;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};10;NOT_STARTED;Rod-Q;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{f53798c3-4424-4ac5-96d9-20dab9332c19};11;NOT_STARTED;Rod-R;NP-CLT;CM2;3.2;STOCK;MAT-CM-871;1;;MAT-CM-871;7000
{64c725b1-791b-4545-8366-eab2a823ef6d};12;NOT_STARTED;Rod-S;NP-CLT;CM2;3.2;STOCK;MAT-CM-874;1;;MAT-CM-874;7000
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};13;NOT_STARTED;Rod-T;NP-CL;CM2;3.2;STOCK;MAT-CM-877;1;;MAT-CM-877;7000
{e5ecb6aa-f59c-4916-b4fa-cf7cdb38ece3};14;NOT_STARTED;Rod-U;NP-CL;CM2;3.2;STOCK;MAT-CM-880;1;;MAT-CM-880;7000
{a9978507-fb9a-4dfb-bfad-bb7dd52b1efe};15;NOT_STARTED;Rod-V;NP-CLB;CM2;3.2;REUSABLE;RST-B-849;1;;RST-B-849;3525
{761efbfa-b49c-4f15-97c7-052e0231fd8e};16;NOT_STARTED;Rod-W;NP-CZ;CM2;3.2;STOCK;MAT-CM-885;1;;MAT-CM-885;7000
{fa513286-89ea-4162-8336-dba0f7def7b3};17;NOT_STARTED;Rod-X;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{8cd9b964-c68c-4e14-8259-a99404567405};18;NOT_STARTED;Rod-Y;NP-CLB;CM2;3.2;STOCK;MAT-CM-891;1;;MAT-CM-891;6000
{33f85d73-3c46-4c1b-8e57-1dea8846264e};19;NOT_STARTED;Rod-AA;NP-T;CM2;3.2;STOCK;MAT-CM-895;1;;MAT-CM-895;6000
{a000730a-54c0-4594-83d1-faa9a932a6e0};20;NOT_STARTED;Rod-AB;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-898;1;;MAT-CM-898;5000
{9d199d18-bbe7-48c3-89ac-58e2c36d598b};21;NOT_STARTED;Rod-AC;NP-TF;CM2;3.2;STOCK;MAT-CM-901;1;;MAT-CM-901;6000
{1f465a2b-97aa-4ad7-8b2f-6a7b11a87e51};22;NOT_STARTED;Rod-AD;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
#SEGMENTS
{04629b7b-4666-48ad-8a2c-d1c2a8be39c0};0;P;3000;MAT-CM-842;{b41b78cb-a1f0-4eaf-b314-3b5d6900b519};223
{af0da386-1a2a-4525-8bd8-b835f67b0f9c};0;P;1000;MAT-CM-843;{41836110-220d-4619-9166-ec01184eeefc};231
{1df325f8-7e87-478f-bed0-0b72a6cce2b4};0;P;1330;MAT-CM-844;{96fccdbd-8fa3-459c-b4e1-36bb2dc64d03};232
{26362186-e775-4e99-a334-41eec2aa5067};0;P;1232;MAT-CM-845;{e9189f7b-a718-448a-b414-e7b603fb76a0};230
{26362186-e775-4e99-a334-41eec2aa5067};1;K;3.2;KERF;{e9189f7b-a718-448a-b414-e7b603fb76a0};230
{26362186-e775-4e99-a334-41eec2aa5067};2;P;1557;MAT-CM-846;{eb70e076-f445-44ec-ab8d-a960e863d3d2};232
{26362186-e775-4e99-a334-41eec2aa5067};3;K;3.2;KERF;{eb70e076-f445-44ec-ab8d-a960e863d3d2};232
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};2;P;3190;MAT-CM-849;{4670a90c-da55-4112-9abb-4fbcb77679aa};223
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};3;K;3.2;KERF;{4670a90c-da55-4112-9abb-4fbcb77679aa};223
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};4;P;1325;MAT-CM-850;{2d369abf-7550-47a2-bbd6-d5d026916257};230
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};5;K;3.2;KERF;{2d369abf-7550-47a2-bbd6-d5d026916257};230
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};6;P;1275;MAT-CM-851;{c501c9e3-f688-4996-a7dd-0e169b374e32};231
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};7;K;3.2;KERF;{c501c9e3-f688-4996-a7dd-0e169b374e32};231
{fd28a8ba-1b36-432b-a60f-f4fc39753619};0;P;1244;MAT-CM-853;{19f6d708-fa0e-4ce5-9b30-0321f70f4313};230
{fd28a8ba-1b36-432b-a60f-f4fc39753619};1;K;2;KERF;{19f6d708-fa0e-4ce5-9b30-0321f70f4313};230
{fd28a8ba-1b36-432b-a60f-f4fc39753619};2;P;1569;MAT-CM-854;{b9753d7a-feef-47e7-be84-230d81398043};232
{fd28a8ba-1b36-432b-a60f-f4fc39753619};3;K;2;KERF;{b9753d7a-feef-47e7-be84-230d81398043};232
{451f9fa2-743d-4a1b-865c-b52bfe0fabf1};0;P;1647;MAT-CM-856;{c5434398-4ac1-4ad4-a377-85e8cc4fbda1};223
{451f9fa2-743d-4a1b-865c-b52bfe0fabf1};1;K;3.2;KERF;{c5434398-4ac1-4ad4-a377-85e8cc4fbda1};223
{98ba4e51-9dfd-4add-ba95-d427a6165871};0;P;1647;MAT-CM-858;{801c631b-9605-45c8-bb4d-566ae0f6b013};223
{98ba4e51-9dfd-4add-ba95-d427a6165871};1;K;3.2;KERF;{801c631b-9605-45c8-bb4d-566ae0f6b013};223
{2d2d2652-40cb-47b0-936a-a64216f54100};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2d2d2652-40cb-47b0-936a-a64216f54100};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2d2d2652-40cb-47b0-936a-a64216f54100};2;P;3215;MAT-CM-861;{4a0af2fd-f3c3-4449-92ca-efb45e396705};223
{2d2d2652-40cb-47b0-936a-a64216f54100};3;K;3.2;KERF;{4a0af2fd-f3c3-4449-92ca-efb45e396705};223
{2d2d2652-40cb-47b0-936a-a64216f54100};4;P;1350;MAT-CM-862;{d2b0ebda-499d-472e-a86d-f826ee4ac368};230
{2d2d2652-40cb-47b0-936a-a64216f54100};5;K;3.2;KERF;{d2b0ebda-499d-472e-a86d-f826ee4ac368};230
{2d2d2652-40cb-47b0-936a-a64216f54100};6;P;1300;MAT-CM-863;{c3415459-9a1d-4e19-92b5-b7c2d44da7f8};231
{2d2d2652-40cb-47b0-936a-a64216f54100};7;K;3.2;KERF;{c3415459-9a1d-4e19-92b5-b7c2d44da7f8};231
