#VERSION 2
#CUTPLANS
{098328c5-4e23-4d5c-bc03-8d0ded0cad23};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{acfdb782-2ef7-4b50-99a4-de5fff23eed7};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-15952;;RSM-623;1000
{6628fd9c-d066-477b-b0cd-9444a12cb2ca};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-15952;;RSM-471;1330
{eedd49bf-e62c-47df-aca1-240533d05093};3;NOT_STARTED;Rod-G;NP-CLB;CM2;3.2;REUSABLE;RSM-764;1;;RSM-764;1775
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};4;NOT_STARTED;Rod-H;NP-TF;CM2;3.2;STOCK;MAT-CM-911;1;;MAT-CM-911;6000
{71e34fc5-2255-487b-9d43-cf3dbebfebef};5;NOT_STARTED;Rod-J;NP-CL;CM2;3.2;REUSABLE;RSM-747;1;;RSM-747;1800
{2654f9db-aca4-4594-9ee8-b287b79f3e80};6;NOT_STARTED;Rod-K;NP-T;CM2;3.2;STOCK;MAT-CM-918;1;;MAT-CM-918;6000
{df2d3c6a-804b-48a1-b174-4fb6367261e8};7;NOT_STARTED;Rod-M;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};8;NOT_STARTED;Rod-N;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{116604ed-248b-4c21-9f02-e42022b1cbbd};9;NOT_STARTED;Rod-P;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{ec20c857-d199-43c2-9b25-78e2fb7df0f7};10;NOT_STARTED;Rod-Q;NP-CLT;CM2;3.2;REUSABLE;RSM-769;1;;RSM-769;1750
{7a3de7ae-f30f-44e3-87eb-b807e0f5e6ca};11;NOT_STARTED;Rod-R;NP-CLB;CM2;3.2;REUSABLE;RST-B-849;1;;RST-B-849;3525
{da9f59f3-7511-47c9-93f5-366b6be10559};12;NOT_STARTED;Rod-S;NP-CL;CM2;3.2;STOCK;MAT-CM-937;1;;MAT-CM-937;7000
{6d2191d0-46b5-4254-80b1-9188dd41951a};13;NOT_STARTED;Rod-T;NP-CL;CM2;3.2;STOCK;MAT-CM-940;1;;MAT-CM-940;7000
{ca6f0648-676c-4269-8542-6b81609a30cb};14;NOT_STARTED;Rod-U;NP-CLT;CM2;3.2;STOCK;MAT-CM-943;1;;MAT-CM-943;7000
{7176c77b-4c65-4a63-ae26-a0c3de4f0b5c};15;NOT_STARTED;Rod-V;NP-CLT;CM2;3.2;STOCK;MAT-CM-946;1;;MAT-CM-946;7000
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};16;NOT_STARTED;Rod-W;NP-CLB;CM2;3.2;STOCK;MAT-CM-949;1;;MAT-CM-949;6000
{128bf27e-e405-4662-8ade-1efd52b430d2};17;NOT_STARTED;Rod-X;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{a0d34567-93a9-440c-adae-a02cd9a6c73a};18;NOT_STARTED;Rod-Y;NP-CZ;CM2;3.2;STOCK;MAT-CM-955;1;;MAT-CM-955;7000
{117168d3-daf5-4fd7-82fb-810533bf2ff9};19;NOT_STARTED;Rod-AA;NP-TF;CM2;3.2;STOCK;MAT-CM-959;1;;MAT-CM-959;6000
{69afe432-5fdb-4b5d-98a1-105cc2c1ab38};20;NOT_STARTED;Rod-AB;NP-T;CM2;3.2;STOCK;MAT-CM-962;1;;MAT-CM-962;6000
{e820a256-16f9-4f27-aa67-4d3adfeed567};21;NOT_STARTED;Rod-AC;NP-ROLL70-5000;CM1;2;STOCK;MAT-CM-965;1;;MAT-CM-965;5000
{6516064d-a66a-4d85-ab05-6603e7772529};22;NOT_STARTED;Rod-AD;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
#SEGMENTS
{098328c5-4e23-4d5c-bc03-8d0ded0cad23};0;P;3000;MAT-CM-906;{228b23c3-891d-4d72-ade5-d8753d2978d5};223
{acfdb782-2ef7-4b50-99a4-de5fff23eed7};0;P;1000;MAT-CM-907;{2c09d0ee-973f-4c97-9aed-4c81887e4261};231
{6628fd9c-d066-477b-b0cd-9444a12cb2ca};0;P;1330;MAT-CM-908;{367255b0-7870-43e8-9e32-7534045beec3};232
{eedd49bf-e62c-47df-aca1-240533d05093};0;P;1647;MAT-CM-909;{cc460ef3-8c77-4c34-8619-54945d627f61};223
{eedd49bf-e62c-47df-aca1-240533d05093};1;K;3.2;KERF;{cc460ef3-8c77-4c34-8619-54945d627f61};223
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};2;P;3215;MAT-CM-912;{58deb0c8-b29d-489c-aa54-e2103bc4beea};223
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};3;K;3.2;KERF;{58deb0c8-b29d-489c-aa54-e2103bc4beea};223
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};4;P;1350;MAT-CM-913;{ea3a08fd-3768-4a86-a44d-43a4cc784a28};230
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};5;K;3.2;KERF;{ea3a08fd-3768-4a86-a44d-43a4cc784a28};230
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};6;P;1300;MAT-CM-914;{8ee571f6-e9ed-4180-a7c3-2bf1a8e74dbe};231
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};7;K;3.2;KERF;{8ee571f6-e9ed-4180-a7c3-2bf1a8e74dbe};231
{71e34fc5-2255-487b-9d43-cf3dbebfebef};0;P;1647;MAT-CM-916;{1a834d38-03c7-4b29-90d9-cdb07536c14e};223
{71e34fc5-2255-487b-9d43-cf3dbebfebef};1;K;3.2;KERF;{1a834d38-03c7-4b29-90d9-cdb07536c14e};223
{2654f9db-aca4-4594-9ee8-b287b79f3e80};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2654f9db-aca4-4594-9ee8-b287b79f3e80};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2654f9db-aca4-4594-9ee8-b287b79f3e80};2;P;3190;MAT-CM-919;{ce8ac36f-be60-4f1e-8bd5-1b95d06cb485};223
{2654f9db-aca4-4594-9ee8-b287b79f3e80};3;K;3.2;KERF;{ce8ac36f-be60-4f1e-8bd5-1b95d06cb485};223
{2654f9db-aca4-4594-9ee8-b287b79f3e80};4;P;1325;MAT-CM-920;{1c41bb70-708f-45a9-a31c-80bf4bf10ecf};230
{2654f9db-aca4-4594-9ee8-b287b79f3e80};5;K;3.2;KERF;{1c41bb70-708f-45a9-a31c-80bf4bf10ecf};230
{2654f9db-aca4-4594-9ee8-b287b79f3e80};6;P;1275;MAT-CM-921;{c7c22299-e19c-4ca4-9347-732cab5e7e07};231
{2654f9db-aca4-4594-9ee8-b287b79f3e80};7;K;3.2;KERF;{c7c22299-e19c-4ca4-9347-732cab5e7e07};231
{df2d3c6a-804b-48a1-b174-4fb6367261e8};0;P;1244;MAT-CM-923;{a121e2dd-e920-456e-bb7c-5c6896441cc6};230
{df2d3c6a-804b-48a1-b174-4fb6367261e8};1;K;2;KERF;{a121e2dd-e920-456e-bb7c-5c6896441cc6};230
{df2d3c6a-804b-48a1-b174-4fb6367261e8};2;P;1569;MAT-CM-924;{33793969-e788-4432-ab1e-a39498299e2c};232
{df2d3c6a-804b-48a1-b174-4fb6367261e8};3;K;2;KERF;{33793969-e788-4432-ab1e-a39498299e2c};232
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};0;P;1232;MAT-CM-926;{c439b71b-601e-47c8-9c6c-dd2a2e542cec};230
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};1;K;3.2;KERF;{c439b71b-601e-47c8-9c6c-dd2a2e542cec};230
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};2;P;1557;MAT-CM-927;{b82498e3-38fb-4f55-8525-d09b042f8a93};232
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};3;K;3.2;KERF;{b82498e3-38fb-4f55-8525-d09b042f8a93};232
