#VERSION 2
#CUTPLANS
{6531c17d-ffac-4082-9930-95fb242f624e};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{4b56a37e-657d-4e71-a86c-ca4136528c59};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-16784;;RSM-623;1000
{4f9f92d2-ff07-475e-9a9c-1c16ba304e6e};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-16784;;RSM-471;1330
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};3;NOT_STARTED;Rod-G;NP-TF;CM2;3.2;STOCK;MAT-CN-149;1;;MAT-CN-149;6000
{11f44652-7415-4b40-9770-1dce877d1877};4;NOT_STARTED;Rod-H;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{03d31a3b-062d-45df-8b92-0422e7023bd8};5;NOT_STARTED;Rod-J;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};6;NOT_STARTED;Rod-K;NP-T;CM2;3.2;STOCK;MAT-CN-161;1;;MAT-CN-161;6000
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};7;NOT_STARTED;Rod-M;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};8;NOT_STARTED;Rod-N;NP-CL2+CLT2+CLB2;CM2;3.2;STOCK;MAT-CN-169;1;;MAT-CN-169;7000
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};9;NOT_STARTED;Rod-P;NP-CZ;CM2;3.2;STOCK;MAT-CN-174;1;;MAT-CN-174;7000
{66b0c1d8-852f-4701-80a7-cbef669ac26f};10;NOT_STARTED;Rod-Q;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{8b8258b8-9b87-40b7-bb86-f6b296f7db2e};11;NOT_STARTED;Rod-R;NP-TF;CM2;3.2;STOCK;MAT-CN-180;1;;MAT-CN-180;6000
{065b4d05-512d-4dff-ad29-f59dbf411b6f};12;NOT_STARTED;Rod-S;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
{f7ebc4af-f7d3-4713-87ac-3483b4a13922};13;NOT_STARTED;Rod-T;NP-T;CM2;3.2;STOCK;MAT-CN-185;1;;MAT-CN-185;6000
{99ec6aab-9db3-4ad6-b65a-f17f5de12bde};14;NOT_STARTED;Rod-U;NP-ROLL70-5000;CM1;2;STOCK;MAT-CN-188;1;;MAT-CN-188;5000
{a535e25c-6044-4ce6-8c3e-c72cee7a3de6};15;NOT_STARTED;Rod-V;NP-CL2+CLT2+CLB2;CM2;3.2;STOCK;MAT-CN-191;1;;MAT-CN-191;7000
#SEGMENTS
{6531c17d-ffac-4082-9930-95fb242f624e};0;P;3000;MAT-CN-146;{51414d60-0cb0-4a4e-b19a-c8ac63a7e1a3};223
{4b56a37e-657d-4e71-a86c-ca4136528c59};0;P;1000;MAT-CN-147;{71993b81-be4d-4f2a-8669-1309511cd1c8};231
{4f9f92d2-ff07-475e-9a9c-1c16ba304e6e};0;P;1330;MAT-CN-148;{5f42bf38-acaa-4639-86dd-4d5216330705};232
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};2;P;3215;MAT-CN-150;{c2b89715-e9a0-40a6-8c02-84c81320e3a9};223
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};3;K;3.2;KERF;{c2b89715-e9a0-40a6-8c02-84c81320e3a9};223
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};4;P;1350;MAT-CN-151;{a47a122a-c0b9-4b6e-b54b-4340bf670f80};230
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};5;K;3.2;KERF;{a47a122a-c0b9-4b6e-b54b-4340bf670f80};230
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};6;P;1300;MAT-CN-152;{48c8161b-b402-4466-9159-f21a973a3764};231
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};7;K;3.2;KERF;{48c8161b-b402-4466-9159-f21a973a3764};231
{11f44652-7415-4b40-9770-1dce877d1877};0;P;1232;MAT-CN-154;{bd8686d8-423a-4ed0-af6f-e2f01fe21691};230
{11f44652-7415-4b40-9770-1dce877d1877};1;K;3.2;KERF;{bd8686d8-423a-4ed0-af6f-e2f01fe21691};230
{11f44652-7415-4b40-9770-1dce877d1877};2;P;1557;MAT-CN-155;{30efa977-71e1-4672-a7cf-45fd9f9e24ba};232
{11f44652-7415-4b40-9770-1dce877d1877};3;K;3.2;KERF;{30efa977-71e1-4672-a7cf-45fd9f9e24ba};232
{03d31a3b-062d-45df-8b92-0422e7023bd8};0;P;45;MAT-CN-157;{246b1455-f3b5-4cf5-929f-c66fab8742d8};223
{03d31a3b-062d-45df-8b92-0422e7023bd8};1;K;2;KERF;{246b1455-f3b5-4cf5-929f-c66fab8742d8};223
{03d31a3b-062d-45df-8b92-0422e7023bd8};2;P;100;MAT-CN-158;{0088736e-c150-45ab-8cc3-10c11630c9dc};231
{03d31a3b-062d-45df-8b92-0422e7023bd8};3;K;2;KERF;{0088736e-c150-45ab-8cc3-10c11630c9dc};231
{03d31a3b-062d-45df-8b92-0422e7023bd8};4;P;145;MAT-CN-159;{194ff9e7-f3ff-4c29-ad5c-3a9187f2e9b0};232
{03d31a3b-062d-45df-8b92-0422e7023bd8};5;K;2;KERF;{194ff9e7-f3ff-4c29-ad5c-3a9187f2e9b0};232
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
