#VERSION 2
#CUTPLANS
{7a5ab4a5-71ac-4c8d-b916-8d16aec85d40};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;11;;;3000
{5ad40946-d44a-4b27-ac7f-4dd8749cd72f};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;REUSABLE;RSM-623;-16784;;RSM-623;1000
{a21efa7e-aae7-471d-a99c-b29e8e14fd41};2;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-16784;;RSM-471;1330
{0e383db7-9c2b-4389-9082-939211130a8d};3;NOT_STARTED;Rod-G;NP-T;CM2;3.2;STOCK;MAT-CN-197;1;;MAT-CN-197;6000
{7c933236-8f05-4ba3-9745-781028cf18c2};4;NOT_STARTED;Rod-H;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-794;1;;RSM-794;3650
{946c49b8-8a54-4091-92a5-68aef411a124};5;NOT_STARTED;Rod-J;NP-TF;CM2;3.2;STOCK;MAT-CN-205;1;;MAT-CN-205;6000
{a433c4b4-8718-4204-9894-28ce9ef5d457};6;NOT_STARTED;Rod-K;NP-CZ;CM2;3.2;REUSABLE;RSM-797;1;;RSM-797;3900
{640d4ea1-27d5-444c-a769-e9708a5febde};7;NOT_STARTED;Rod-M;NP-BAR22-3000;CM1;2;REUSABLE;RSM-740;1;TOLDAS_TOLDAT;RSM-740;1050
{161e4b44-c484-4aad-9964-3ddca564c79a};8;NOT_STARTED;Rod-N;NP-CL2+CLT2+CLB2;CM2;3.2;REUSABLE;RSM-747;1;;RSM-747;1800
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};9;NOT_STARTED;Rod-P;NP-CL2+CLT2+CLB2;CM2;3.2;STOCK;MAT-CN-219;1;;MAT-CN-219;7000
{ef5adf00-bba2-494d-a341-540466ee2490};10;NOT_STARTED;Rod-Q;NP-CL2+CLT2+CLB2;CM2;3.2;STOCK;MAT-CN-222;1;;MAT-CN-222;7000
{1e12caa1-2bf7-4644-a9a8-fef3b8af1a6f};11;NOT_STARTED;Rod-R;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};12;NOT_STARTED;Rod-S;NP-CZ;CM2;3.2;STOCK;MAT-CN-227;1;;MAT-CN-227;7000
{0236b34f-6cce-4521-90c2-b1574f003ce4};13;NOT_STARTED;Rod-T;NP-T;CM2;3.2;STOCK;MAT-CN-231;1;;MAT-CN-231;6000
{2c75440b-cea0-41c1-8e99-893ee249da70};14;NOT_STARTED;Rod-U;NP-ROLL70-5000;CM1;2;STOCK;MAT-CN-234;1;;MAT-CN-234;5000
{1301904d-b67f-4500-9ca6-c48603fefb7f};15;NOT_STARTED;Rod-V;NP-TF;CM2;3.2;STOCK;MAT-CN-237;1;;MAT-CN-237;6000
{7105a060-93b1-4c8d-8105-6df29e03a6c5};16;NOT_STARTED;Rod-W;NP-BAR22-3000;CM1;2;REUSABLE;RSM-627;1;;RSM-627;1185
#SEGMENTS
{7a5ab4a5-71ac-4c8d-b916-8d16aec85d40};0;P;3000;MAT-CN-194;{0969204a-fab1-41a9-929e-656d01a46d1c};223
{5ad40946-d44a-4b27-ac7f-4dd8749cd72f};0;P;1000;MAT-CN-195;{2191c488-630d-48c9-841e-0e2fffeeb053};231
{a21efa7e-aae7-471d-a99c-b29e8e14fd41};0;P;1330;MAT-CN-196;{353646df-aac2-416f-b1b4-f890140c12a2};232
{0e383db7-9c2b-4389-9082-939211130a8d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0e383db7-9c2b-4389-9082-939211130a8d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0e383db7-9c2b-4389-9082-939211130a8d};2;P;3190;MAT-CN-198;{3f1981ea-68f6-43ff-9b95-03f51111576b};223
{0e383db7-9c2b-4389-9082-939211130a8d};3;K;3.2;KERF;{3f1981ea-68f6-43ff-9b95-03f51111576b};223
{0e383db7-9c2b-4389-9082-939211130a8d};4;P;1325;MAT-CN-199;{101876b7-cc67-4b03-a754-31472aa18a72};230
{0e383db7-9c2b-4389-9082-939211130a8d};5;K;3.2;KERF;{101876b7-cc67-4b03-a754-31472aa18a72};230
{0e383db7-9c2b-4389-9082-939211130a8d};6;P;1275;MAT-CN-200;{7e127053-663b-4c2d-99bc-ad1d8d89946f};231
{0e383db7-9c2b-4389-9082-939211130a8d};7;K;3.2;KERF;{7e127053-663b-4c2d-99bc-ad1d8d89946f};231
{7c933236-8f05-4ba3-9745-781028cf18c2};0;P;1244;MAT-CN-202;{f7eb8557-5d74-49a2-bfa4-7177e393c53c};230
{7c933236-8f05-4ba3-9745-781028cf18c2};1;K;2;KERF;{f7eb8557-5d74-49a2-bfa4-7177e393c53c};230
{7c933236-8f05-4ba3-9745-781028cf18c2};2;P;1569;MAT-CN-203;{4d6afe6d-3b61-443e-9381-73b5a477a300};232
{7c933236-8f05-4ba3-9745-781028cf18c2};3;K;2;KERF;{4d6afe6d-3b61-443e-9381-73b5a477a300};232
{946c49b8-8a54-4091-92a5-68aef411a124};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{946c49b8-8a54-4091-92a5-68aef411a124};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{946c49b8-8a54-4091-92a5-68aef411a124};2;P;3215;MAT-CN-206;{a9dd6b17-78c3-46af-afad-6a62e64f6524};223
{946c49b8-8a54-4091-92a5-68aef411a124};3;K;3.2;KERF;{a9dd6b17-78c3-46af-afad-6a62e64f6524};223
{946c49b8-8a54-4091-92a5-68aef411a124};4;P;1350;MAT-CN-207;{ac546ebc-2316-4983-8171-91d645e90d7e};230
{946c49b8-8a54-4091-92a5-68aef411a124};5;K;3.2;KERF;{ac546ebc-2316-4983-8171-91d645e90d7e};230
{946c49b8-8a54-4091-92a5-68aef411a124};6;P;1300;MAT-CN-208;{e0a7554b-e952-4edd-ab93-48dedf736016};231
{946c49b8-8a54-4091-92a5-68aef411a124};7;K;3.2;KERF;{e0a7554b-e952-4edd-ab93-48dedf736016};231
{a433c4b4-8718-4204-9894-28ce9ef5d457};0;P;1232;MAT-CN-210;{078080b3-5387-46d2-8ac8-50aad0a1f2b3};230
{a433c4b4-8718-4204-9894-28ce9ef5d457};1;K;3.2;KERF;{078080b3-5387-46d2-8ac8-50aad0a1f2b3};230
{a433c4b4-8718-4204-9894-28ce9ef5d457};2;P;1557;MAT-CN-211;{acfc4001-7fab-42cf-a889-65c8c95412ca};232
{a433c4b4-8718-4204-9894-28ce9ef5d457};3;K;3.2;KERF;{acfc4001-7fab-42cf-a889-65c8c95412ca};232
{640d4ea1-27d5-444c-a769-e9708a5febde};0;P;45;MAT-CN-213;{bb381360-849d-4424-9adb-47e69cf7b28f};223
{640d4ea1-27d5-444c-a769-e9708a5febde};1;K;2;KERF;{bb381360-849d-4424-9adb-47e69cf7b28f};223
{640d4ea1-27d5-444c-a769-e9708a5febde};2;P;100;MAT-CN-214;{822a6bde-9efb-41f3-a839-5e80f24e7559};231
{640d4ea1-27d5-444c-a769-e9708a5febde};3;K;2;KERF;{822a6bde-9efb-41f3-a839-5e80f24e7559};231
{640d4ea1-27d5-444c-a769-e9708a5febde};4;P;145;MAT-CN-215;{77708870-81ea-4af3-bdee-77542b5b42b1};232
{640d4ea1-27d5-444c-a769-e9708a5febde};5;K;2;KERF;{77708870-81ea-4af3-bdee-77542b5b42b1};232
{161e4b44-c484-4aad-9964-3ddca564c79a};0;P;1647;MAT-CN-217;{65f75aa6-3d5e-4326-a437-c3d4c066ab97};223
{161e4b44-c484-4aad-9964-3ddca564c79a};1;K;3.2;KERF;{65f75aa6-3d5e-4326-a437-c3d4c066ab97};223
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};2;P;2462;MAT-CN-220;{485d5d4c-0db6-4bff-a051-a01459d213a3};230
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};3;K;3.2;KERF;{485d5d4c-0db6-4bff-a051-a01459d213a3};230
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};4;P;2462;MAT-CN-221;{10ccce45-8701-495f-883c-3360ecb27b05};231
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};5;K;3.2;KERF;{10ccce45-8701-495f-883c-3360ecb27b05};231
{ef5adf00-bba2-494d-a341-540466ee2490};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ef5adf00-bba2-494d-a341-540466ee2490};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ef5adf00-bba2-494d-a341-540466ee2490};2;P;2462;MAT-CN-223;{91a0044f-22e7-4c8c-a52b-9732b2d41ed5};232
{ef5adf00-bba2-494d-a341-540466ee2490};3;K;3.2;KERF;{91a0044f-22e7-4c8c-a52b-9732b2d41ed5};232
{1e12caa1-2bf7-4644-a9a8-fef3b8af1a6f};0;P;1194;MAT-CN-225;{330b2876-dff0-4a27-960c-3bfafba003a7};231
{1e12caa1-2bf7-4644-a9a8-fef3b8af1a6f};1;K;2;KERF;{330b2876-dff0-4a27-960c-3bfafba003a7};231
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};2;P;3097;MAT-CN-228;{cae54675-b2bc-4eda-823c-8652a2b18d6b};223
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};3;K;3.2;KERF;{cae54675-b2bc-4eda-823c-8652a2b18d6b};223
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};4;P;1182;MAT-CN-229;{2e6fca0f-413f-4520-a4ae-54153e1d5571};231
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};5;K;3.2;KERF;{2e6fca0f-413f-4520-a4ae-54153e1d5571};231
{0236b34f-6cce-4521-90c2-b1574f003ce4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0236b34f-6cce-4521-90c2-b1574f003ce4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0236b34f-6cce-4521-90c2-b1574f003ce4};2;P;1650;MAT-CN-232;{a761394e-7cc3-4f01-a5df-4bfeb324f3c5};232
{0236b34f-6cce-4521-90c2-b1574f003ce4};3;K;3.2;KERF;{a761394e-7cc3-4f01-a5df-4bfeb324f3c5};232
{2c75440b-cea0-41c1-8e99-893ee249da70};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{2c75440b-cea0-41c1-8e99-893ee249da70};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{2c75440b-cea0-41c1-8e99-893ee249da70};2;P;3109;MAT-CN-235;{f6d2fdae-b39f-45f4-9954-4d15a1ad5469};223
{2c75440b-cea0-41c1-8e99-893ee249da70};3;K;2;KERF;{f6d2fdae-b39f-45f4-9954-4d15a1ad5469};223
{1301904d-b67f-4500-9ca6-c48603fefb7f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1301904d-b67f-4500-9ca6-c48603fefb7f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1301904d-b67f-4500-9ca6-c48603fefb7f};2;P;1675;MAT-CN-238;{510f9cd1-8217-4198-8b9d-4ceecde694a4};232
{1301904d-b67f-4500-9ca6-c48603fefb7f};3;K;3.2;KERF;{510f9cd1-8217-4198-8b9d-4ceecde694a4};232
{7105a060-93b1-4c8d-8105-6df29e03a6c5};0;P;1180;MAT-CN-240;{5d6c9d10-ac96-46b0-a103-1733346caa4f};230
{7105a060-93b1-4c8d-8105-6df29e03a6c5};1;K;2;KERF;{5d6c9d10-ac96-46b0-a103-1733346caa4f};230
#PIECES
{7a5ab4a5-71ac-4c8d-b916-8d16aec85d40};{0969204a-fab1-41a9-929e-656d01a46d1c};3000;NP-BAR22-3000;223
{5ad40946-d44a-4b27-ac7f-4dd8749cd72f};{2191c488-630d-48c9-841e-0e2fffeeb053};1000;NP-BAR22-3000;231
{a21efa7e-aae7-471d-a99c-b29e8e14fd41};{353646df-aac2-416f-b1b4-f890140c12a2};1330;NP-BAR22-3000;232
{0e383db7-9c2b-4389-9082-939211130a8d};{3f1981ea-68f6-43ff-9b95-03f51111576b};3190;NP-T;223
{0e383db7-9c2b-4389-9082-939211130a8d};{101876b7-cc67-4b03-a754-31472aa18a72};1325;NP-T;230
{0e383db7-9c2b-4389-9082-939211130a8d};{7e127053-663b-4c2d-99bc-ad1d8d89946f};1275;NP-T;231
{7c933236-8f05-4ba3-9745-781028cf18c2};{f7eb8557-5d74-49a2-bfa4-7177e393c53c};1244;NP-ROLL70-5000;230
{7c933236-8f05-4ba3-9745-781028cf18c2};{4d6afe6d-3b61-443e-9381-73b5a477a300};1569;NP-ROLL70-5000;232
{946c49b8-8a54-4091-92a5-68aef411a124};{a9dd6b17-78c3-46af-afad-6a62e64f6524};3215;NP-TF;223
{946c49b8-8a54-4091-92a5-68aef411a124};{ac546ebc-2316-4983-8171-91d645e90d7e};1350;NP-TF;230
{946c49b8-8a54-4091-92a5-68aef411a124};{e0a7554b-e952-4edd-ab93-48dedf736016};1300;NP-TF;231
{a433c4b4-8718-4204-9894-28ce9ef5d457};{078080b3-5387-46d2-8ac8-50aad0a1f2b3};1232;NP-CZ;230
{a433c4b4-8718-4204-9894-28ce9ef5d457};{acfc4001-7fab-42cf-a889-65c8c95412ca};1557;NP-CZ;232
{640d4ea1-27d5-444c-a769-e9708a5febde};{bb381360-849d-4424-9adb-47e69cf7b28f};45;NP-BAR22-3000;223
{640d4ea1-27d5-444c-a769-e9708a5febde};{822a6bde-9efb-41f3-a839-5e80f24e7559};100;NP-BAR22-3000;231
{640d4ea1-27d5-444c-a769-e9708a5febde};{77708870-81ea-4af3-bdee-77542b5b42b1};145;NP-BAR22-3000;232
{161e4b44-c484-4aad-9964-3ddca564c79a};{65f75aa6-3d5e-4326-a437-c3d4c066ab97};1647;NP-CL2+CLT2+CLB2;223
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};{485d5d4c-0db6-4bff-a051-a01459d213a3};2462;NP-CL2+CLT2+CLB2;230
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};{10ccce45-8701-495f-883c-3360ecb27b05};2462;NP-CL2+CLT2+CLB2;231
{ef5adf00-bba2-494d-a341-540466ee2490};{91a0044f-22e7-4c8c-a52b-9732b2d41ed5};2462;NP-CL2+CLT2+CLB2;232
{1e12caa1-2bf7-4644-a9a8-fef3b8af1a6f};{330b2876-dff0-4a27-960c-3bfafba003a7};1194;NP-ROLL70-5000;231
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};{cae54675-b2bc-4eda-823c-8652a2b18d6b};3097;NP-CZ;223
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};{2e6fca0f-413f-4520-a4ae-54153e1d5571};1182;NP-CZ;231
{0236b34f-6cce-4521-90c2-b1574f003ce4};{a761394e-7cc3-4f01-a5df-4bfeb324f3c5};1650;NP-T;232
{2c75440b-cea0-41c1-8e99-893ee249da70};{f6d2fdae-b39f-45f4-9954-4d15a1ad5469};3109;NP-ROLL70-5000;223
{1301904d-b67f-4500-9ca6-c48603fefb7f};{510f9cd1-8217-4198-8b9d-4ceecde694a4};1675;NP-TF;232
{7105a060-93b1-4c8d-8105-6df29e03a6c5};{5d6c9d10-ac96-46b0-a103-1733346caa4f};1180;NP-BAR22-3000;230
#LEFTOVERS
{7a5ab4a5-71ac-4c8d-b916-8d16aec85d40};selejt;0
{5ad40946-d44a-4b27-ac7f-4dd8749cd72f};selejt;0
{a21efa7e-aae7-471d-a99c-b29e8e14fd41};selejt;0
{0e383db7-9c2b-4389-9082-939211130a8d};selejt;182.2
{7c933236-8f05-4ba3-9745-781028cf18c2};RST-J-392;833
{946c49b8-8a54-4091-92a5-68aef411a124};selejt;107.2
{a433c4b4-8718-4204-9894-28ce9ef5d457};RST-J-393;1104.6
{640d4ea1-27d5-444c-a769-e9708a5febde};RST-J-394;754
{161e4b44-c484-4aad-9964-3ddca564c79a};selejt;149.8
{6b82fa9d-ec30-48d4-bb77-31680db1d0da};RST-J-395;2051.4
{ef5adf00-bba2-494d-a341-540466ee2490};RST-J-396;4516.6
{1e12caa1-2bf7-4644-a9a8-fef3b8af1a6f};RST-J-397;824
{1b99ad19-3dd8-4f41-b901-6db93b6e1325};RST-J-398;2696.4
{0236b34f-6cce-4521-90c2-b1574f003ce4};RST-J-399;4328.6
{2c75440b-cea0-41c1-8e99-893ee249da70};RST-J-400;1887
{1301904d-b67f-4500-9ca6-c48603fefb7f};RST-J-401;4303.6
{7105a060-93b1-4c8d-8105-6df29e03a6c5};selejt;3
