#VERSION 2
#CUTPLANS
{e18598bb-6062-424a-9d37-b62aa24dec99};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;90418804;;RSM-483;1730
{e2dbd4d6-675b-475f-887b-f0e0391a9899};1;NOT_STARTED;Rod-C;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-751;1;;RSM-751;2195
{d2bdc0fd-7278-46b2-aef0-89faa0f2f189};2;NOT_STARTED;Rod-D;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-751;1;;RSM-751;2195
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};3;NOT_STARTED;Rod-E;NP-T-9010;CM2;3.2;REUSABLE;RST-B-989;1;;RST-B-989;3500
{6645de5e-6df6-4c71-bf3a-442b22c1410a};4;NOT_STARTED;Rod-F;NP-TF-9010;CM2;3.2;REUSABLE;RST-B-981;1;;RST-B-981;4550
{37ba944c-fed9-4622-b68d-2dccb361d03b};5;NOT_STARTED;Rod-G;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{94ede5a0-2208-48da-a3ef-39f896bbffa3};6;NOT_STARTED;Rod-H;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-319;1;;RSM-319;4950
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};7;NOT_STARTED;Rod-J;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};8;NOT_STARTED;Rod-K;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-355;1;;MAT-Q-355;6000
{91017cdf-00a8-4646-9238-89db089dc9ff};9;NOT_STARTED;Rod-M;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-750;1;;RSM-750;2119
{eb0b5b5b-1748-47d4-b820-1715bfebbd82};10;NOT_STARTED;Rod-N;NP-BAR20-6000;CM1;2;REUSABLE;RST-B-978;1;;RST-B-978;1925
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};11;NOT_STARTED;Rod-P;NP-T-9010;CM2;3.2;STOCK;MAT-Q-363;1;;MAT-Q-363;6000
{4b1b74f5-0da4-4165-a18b-af0f76356850};12;NOT_STARTED;Rod-Q;NP-TF-9010;CM2;3.2;REUSABLE;RSM-809;1;;RSM-809;1500
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};13;NOT_STARTED;Rod-R;NP-ROLL70-5000;CM1;2;STOCK;MAT-Q-369;1;;MAT-Q-369;5000
{25d64c1d-ca17-4616-8217-ad4473e452ee};14;NOT_STARTED;Rod-S;NP-T-7016;CM2;3.2;REUSABLE;RSM-502;1;;RSM-502;2000
{5b6a3895-da25-41b0-a499-7fc6f8eee3c8};15;NOT_STARTED;Rod-T;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-774;1;;RSM-774;4375
{79f58d25-247d-47a8-ba83-173cb2007854};16;NOT_STARTED;Rod-U;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-378;1;;MAT-Q-378;4000
{58545d67-984a-453e-8c38-d77984020540};17;NOT_STARTED;Rod-V;NP-BAR20-6000;CM1;2;REUSABLE;RSM-808;1;;RSM-808;2030
{61766a8b-8e33-473d-8223-1d6a86ac01d9};18;NOT_STARTED;Rod-W;NP-TF-7016;CM2;3.2;REUSABLE;RSM-127;1;;RSM-127;2020
{4c7aac96-d729-49e8-b481-071105ae2a0b};19;NOT_STARTED;Rod-X;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-385;1;;MAT-Q-385;6000
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};20;NOT_STARTED;Rod-Y;NP-TF-9010;CM2;3.2;STOCK;MAT-Q-389;1;;MAT-Q-389;6000
{1233bb03-8b00-4cdc-9747-759c32879451};21;NOT_STARTED;Rod-AA;NP-CZ-7016;CM2;3.2;REUSABLE;RST-B-810;1;;RST-B-810;2300
{2df742b7-026d-44b6-aa3d-66c38b70e08b};22;NOT_STARTED;Rod-AB;NP-CL2+CLT2+CLB2-7016;CM2;3.2;REUSABLE;RSM-779;1;;RSM-779;4045
{3b33e232-8d0c-403d-b98c-9eeabb11a1fe};23;NOT_STARTED;Rod-AD;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-Q-399;1;;MAT-Q-399;7000
{d994f550-2818-4d2a-95cc-ee731d411de3};24;NOT_STARTED;Rod-AF;NP-T-7016;CM2;3.2;REUSABLE;RSM-284;1;;RSM-284;2100
{c4ec2f2e-d764-4047-9b0b-167ca71f6c28};25;NOT_STARTED;Rod-AG;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-405;1;;MAT-Q-405;4000
{1e8b8da7-38a0-4437-895b-995059c1dda3};26;NOT_STARTED;Rod-AH;NP-BAR20-6000;CM1;2;REUSABLE;RST-B-990;1;;RST-B-990;3375
{5d20f014-5295-4ebe-8379-3107f12d23ec};27;NOT_STARTED;Rod-AJ;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-797;1;;RST-B-797;1975
{bea3d629-b02b-424c-8e4f-d6820df3d240};28;NOT_STARTED;Rod-AP;NP-TF-7016;CM2;3.2;REUSABLE;RST-B-975;1;;RST-B-975;2125
{6a325bbd-c95e-4815-8c87-5c0392536ea0};29;NOT_STARTED;Rod-AQ;NP-T-9010;CM2;3.2;STOCK;MAT-Q-417;1;;MAT-Q-417;6000
{2daeb007-37cf-48a6-a83a-3fdbba898cfa};30;NOT_STARTED;Rod-AR;NP-CZ-7016;CM2;3.2;STOCK;MAT-Q-420;1;;MAT-Q-420;7000
{8f63cbf7-b40d-46bc-a64a-569863537238};31;NOT_STARTED;Rod-AS;NP-ROLL70-5000;CM1;2;STOCK;MAT-Q-423;1;;MAT-Q-423;5000
#SEGMENTS
{e18598bb-6062-424a-9d37-b62aa24dec99};0;P;1730;MAT-Q-336;{e3fcfa0c-7adb-4f50-a5f9-73b5be74a186};236
{e2dbd4d6-675b-475f-887b-f0e0391a9899};0;P;1899;MAT-Q-337;{8a719a7e-2ddf-4d6c-a66b-11b5015d2812};245
{e2dbd4d6-675b-475f-887b-f0e0391a9899};1;K;2;KERF;{8a719a7e-2ddf-4d6c-a66b-11b5015d2812};245
{d2bdc0fd-7278-46b2-aef0-89faa0f2f189};0;P;1844;MAT-Q-339;{4dceadca-abd6-4aa6-9c43-121e84d37323};241
{d2bdc0fd-7278-46b2-aef0-89faa0f2f189};1;K;2;KERF;{4dceadca-abd6-4aa6-9c43-121e84d37323};241
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};0;P;2635;MAT-Q-341;{615c92cc-1a11-42ca-9ad4-8082c19cdd21};237
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};1;K;3.2;KERF;{615c92cc-1a11-42ca-9ad4-8082c19cdd21};237
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};2;P;675;MAT-Q-342;{454da328-3ac4-48c6-b806-6412970f08fd};238
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};3;K;3.2;KERF;{454da328-3ac4-48c6-b806-6412970f08fd};238
{6645de5e-6df6-4c71-bf3a-442b22c1410a};0;P;2225;MAT-Q-344;{22cc29ed-6064-4445-a2e0-2e7563daab49};236
{6645de5e-6df6-4c71-bf3a-442b22c1410a};1;K;3.2;KERF;{22cc29ed-6064-4445-a2e0-2e7563daab49};236
{6645de5e-6df6-4c71-bf3a-442b22c1410a};2;P;1950;MAT-Q-345;{06aa0766-8be5-4e18-90ae-4347ba5c6279};241
{6645de5e-6df6-4c71-bf3a-442b22c1410a};3;K;3.2;KERF;{06aa0766-8be5-4e18-90ae-4347ba5c6279};241
{37ba944c-fed9-4622-b68d-2dccb361d03b};0;P;1807;MAT-Q-347;{c79603ff-a01a-4ce1-9bd7-d84ab69b13c2};244
{37ba944c-fed9-4622-b68d-2dccb361d03b};1;K;2;KERF;{c79603ff-a01a-4ce1-9bd7-d84ab69b13c2};244
{94ede5a0-2208-48da-a3ef-39f896bbffa3};0;P;2155;MAT-Q-349;{d99d4083-91c8-42e1-b810-b04fdf2f702d};236
{94ede5a0-2208-48da-a3ef-39f896bbffa3};1;K;3.2;KERF;{d99d4083-91c8-42e1-b810-b04fdf2f702d};236
{94ede5a0-2208-48da-a3ef-39f896bbffa3};2;P;2565;MAT-Q-350;{3bedbf8b-96f5-4836-81e0-e901b2fcc2b5};237
{94ede5a0-2208-48da-a3ef-39f896bbffa3};3;K;3.2;KERF;{3bedbf8b-96f5-4836-81e0-e901b2fcc2b5};237
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};0;P;355;MAT-Q-352;{1eb46c31-3142-4b28-b2af-bf02f9758f01};236
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};1;K;2;KERF;{1eb46c31-3142-4b28-b2af-bf02f9758f01};236
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};2;P;560;MAT-Q-353;{b6e79921-54e2-44b2-8def-29dba1d95538};238
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};3;K;2;KERF;{b6e79921-54e2-44b2-8def-29dba1d95538};238
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};2;P;2508;MAT-Q-356;{d1714a53-b6de-4230-bc62-629930a524b4};235
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};3;K;3.2;KERF;{d1714a53-b6de-4230-bc62-629930a524b4};235
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};4;P;2508;MAT-Q-357;{2a719987-ad92-4e9f-8e58-6eaced512342};236
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};5;K;3.2;KERF;{2a719987-ad92-4e9f-8e58-6eaced512342};236
{91017cdf-00a8-4646-9238-89db089dc9ff};0;P;621;MAT-Q-359;{8884d138-f059-41c4-a162-d9d3bdfb8f79};238
{91017cdf-00a8-4646-9238-89db089dc9ff};1;K;2;KERF;{8884d138-f059-41c4-a162-d9d3bdfb8f79};238
{eb0b5b5b-1748-47d4-b820-1715bfebbd82};0;P;1835;MAT-Q-361;{a41aff0f-d38a-4531-adfa-edcd49651db2};245
{eb0b5b5b-1748-47d4-b820-1715bfebbd82};1;K;2;KERF;{a41aff0f-d38a-4531-adfa-edcd49651db2};245
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};2;P;2585;MAT-Q-364;{5a4ffd84-fee6-4253-930b-26402ca9879a};235
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};3;K;3.2;KERF;{5a4ffd84-fee6-4253-930b-26402ca9879a};235
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};4;P;2225;MAT-Q-365;{588b66ef-11eb-42ec-8ce2-b6457232ad72};236
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};5;K;3.2;KERF;{588b66ef-11eb-42ec-8ce2-b6457232ad72};236
{4b1b74f5-0da4-4165-a18b-af0f76356850};0;P;675;MAT-Q-367;{60ae5b67-d1d6-4c58-ba86-990ab9bd1d63};238
{4b1b74f5-0da4-4165-a18b-af0f76356850};1;K;3.2;KERF;{60ae5b67-d1d6-4c58-ba86-990ab9bd1d63};238
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
