#VERSION 2
#CUTPLANS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;20454660;;RSM-483;1730
{323daec1-1ea3-4bf8-bc48-e61ebc57baa4};1;NOT_STARTED;Rod-C;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-751;1;;RSM-751;2195
{7f0f046c-273e-45fd-8f9a-7bbd23bc709b};2;NOT_STARTED;Rod-D;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-751;1;;RSM-751;2195
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};3;NOT_STARTED;Rod-E;NP-TF-9010;CM2;3.2;REUSABLE;RST-B-981;1;;RST-B-981;4550
{33bc4eb5-e4c5-4537-8c76-ada93b621671};4;NOT_STARTED;Rod-F;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{247a1b01-a408-48b8-9284-1d1bc6491874};5;NOT_STARTED;Rod-G;NP-T-9010;CM2;3.2;STOCK;MAT-Q-616;1;;MAT-Q-616;6000
{934e780c-c13b-4d41-a7ad-8269b843fa19};6;NOT_STARTED;Rod-H;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-620;1;;MAT-Q-620;6000
{751427b1-1e93-4075-bfa5-fd4043e5f072};7;NOT_STARTED;Rod-J;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-750;1;;RSM-750;2119
{3a3f8611-3ec9-46e6-ba55-3420be2b61e8};8;NOT_STARTED;Rod-K;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{a1402e99-af06-4f98-83ed-b6ce9328f583};9;NOT_STARTED;Rod-M;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-319;1;;RSM-319;4950
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};10;NOT_STARTED;Rod-N;NP-TF-9010;CM2;3.2;STOCK;MAT-Q-632;1;;MAT-Q-632;6000
{c737768c-b1f2-477b-8870-cf20664f3f43};11;NOT_STARTED;Rod-P;NP-ROLL70-5000;CM1;2;STOCK;MAT-Q-636;1;;MAT-Q-636;5000
{49425377-9d15-48cb-acc3-da716bec8435};12;NOT_STARTED;Rod-Q;NP-BAR20-6000;CM1;2;REUSABLE;RST-B-978;1;;RST-B-978;1925
{54de0445-18f2-499a-a593-1ca2aa092db4};13;NOT_STARTED;Rod-R;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-642;1;;MAT-Q-642;6000
{10e47e4a-9ba9-45b0-b718-b502e1ba8970};14;NOT_STARTED;Rod-S;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-646;1;;MAT-Q-646;4000
{86c9a45b-c88b-428b-8a88-fb1c29bf1e2f};15;NOT_STARTED;Rod-T;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-773;1;;RSM-773;4600
{2c6a09b2-c287-48ed-bb23-75f5c70ef84f};16;NOT_STARTED;Rod-U;NP-T-7016;CM2;3.2;REUSABLE;RSM-502;1;;RSM-502;2000
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};17;NOT_STARTED;Rod-V;NP-T-9010;CM2;3.2;STOCK;MAT-Q-654;1;;MAT-Q-654;6000
{70c85ef1-e764-4809-a69e-95e96f66d996};18;NOT_STARTED;Rod-W;NP-CL2+CLT2+CLB2-7016;CM2;3.2;REUSABLE;RSK-116;1;;RSK-116;1925
{3fc197f8-b140-449d-87fe-e9f999c31d57};19;NOT_STARTED;Rod-X;NP-BAR20-6000;CM1;2;REUSABLE;RST-B-990;1;;RST-B-990;3375
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};20;NOT_STARTED;Rod-Y;NP-CZ-7016;CM2;3.2;STOCK;MAT-Q-662;1;;MAT-Q-662;7000
{b498c95e-f9eb-4e48-85d3-ae118de4a4f1};21;NOT_STARTED;Rod-AA;NP-TF-7016;CM2;3.2;REUSABLE;RSM-127;1;;RSM-127;2020
{0809ea9f-482a-4597-a6db-cb37e4c0b933};22;NOT_STARTED;Rod-AC;NP-CL2+CLT2+CLB2-9010;CM2;3.2;REUSABLE;RSM-810;1;;RSM-810;5050
{3264b3a2-15cb-4473-89ba-3c1e5e42f18c};23;NOT_STARTED;Rod-AD;NP-ROLL70-5000;CM1;2;STOCK;MAT-Q-671;1;;MAT-Q-671;5000
{311d4fb0-4f00-4b4f-a18e-bf3ce4b9c650};24;NOT_STARTED;Rod-AE;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-674;1;;MAT-Q-674;4000
{5c986ac9-1d37-4be8-bd62-b451ba9162d1};25;NOT_STARTED;Rod-AG;NP-T-7016;CM2;3.2;REUSABLE;RSM-284;1;;RSM-284;2100
{945a55c5-6d35-433e-8abe-89daba2aa150};26;NOT_STARTED;Rod-AJ;NP-CL2+CLT2+CLB2-7016;CM2;3.2;REUSABLE;RSM-114;1;;RSM-114;1975
{e3a53807-d58c-4842-b8c9-4e20b7d41562};27;NOT_STARTED;Rod-AK;NP-BAR20-6000;CM1;2;STOCK;MAT-Q-682;1;;MAT-Q-682;6150
{5947cd13-ea8b-4680-b1e8-18257f0a8c20};28;NOT_STARTED;Rod-AM;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-715;1;;RST-B-715;2000
{533634c6-2988-403b-b916-bab7d2499a43};29;NOT_STARTED;Rod-AR;NP-TF-7016;CM2;3.2;REUSABLE;RST-B-975;1;;RST-B-975;2125
#SEGMENTS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};0;P;1730;MAT-Q-606;{5f147eb0-e4f2-4529-8346-0f1ee096fda9};236
{323daec1-1ea3-4bf8-bc48-e61ebc57baa4};0;P;1899;MAT-Q-607;{44f928e4-83fb-494f-afc4-078e831f7316};245
{323daec1-1ea3-4bf8-bc48-e61ebc57baa4};1;K;2;KERF;{44f928e4-83fb-494f-afc4-078e831f7316};245
{7f0f046c-273e-45fd-8f9a-7bbd23bc709b};0;P;1844;MAT-Q-609;{a59593d6-84fa-4da3-ad60-43d0f7ec15b6};241
{7f0f046c-273e-45fd-8f9a-7bbd23bc709b};1;K;2;KERF;{a59593d6-84fa-4da3-ad60-43d0f7ec15b6};241
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};0;P;2225;MAT-Q-611;{37dfbee7-459c-4677-b73b-5ce42e750bdf};236
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};1;K;3.2;KERF;{37dfbee7-459c-4677-b73b-5ce42e750bdf};236
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};2;P;1950;MAT-Q-612;{33952a65-6a3f-4fbf-aa15-541e2d56ddc5};241
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};3;K;3.2;KERF;{33952a65-6a3f-4fbf-aa15-541e2d56ddc5};241
{33bc4eb5-e4c5-4537-8c76-ada93b621671};0;P;1807;MAT-Q-614;{0697ea21-7ecf-4c74-98f7-214ed397cfd3};244
{33bc4eb5-e4c5-4537-8c76-ada93b621671};1;K;2;KERF;{0697ea21-7ecf-4c74-98f7-214ed397cfd3};244
{247a1b01-a408-48b8-9284-1d1bc6491874};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{247a1b01-a408-48b8-9284-1d1bc6491874};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{247a1b01-a408-48b8-9284-1d1bc6491874};2;P;2585;MAT-Q-617;{26efda94-3ca2-4a05-b706-41debdf6758c};235
{247a1b01-a408-48b8-9284-1d1bc6491874};3;K;3.2;KERF;{26efda94-3ca2-4a05-b706-41debdf6758c};235
{247a1b01-a408-48b8-9284-1d1bc6491874};4;P;2635;MAT-Q-618;{3f262abd-80da-42be-afad-dc818d202ee1};237
{247a1b01-a408-48b8-9284-1d1bc6491874};5;K;3.2;KERF;{3f262abd-80da-42be-afad-dc818d202ee1};237
{247a1b01-a408-48b8-9284-1d1bc6491874};6;P;675;MAT-Q-619;{b57182bb-53f0-4bb1-bc2e-f6f66414519c};238
{247a1b01-a408-48b8-9284-1d1bc6491874};7;K;3.2;KERF;{b57182bb-53f0-4bb1-bc2e-f6f66414519c};238
{934e780c-c13b-4d41-a7ad-8269b843fa19};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{934e780c-c13b-4d41-a7ad-8269b843fa19};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{934e780c-c13b-4d41-a7ad-8269b843fa19};2;P;2508;MAT-Q-621;{060bc7f4-d9d8-4a8f-9718-bcf07e8f2479};235
{934e780c-c13b-4d41-a7ad-8269b843fa19};3;K;3.2;KERF;{060bc7f4-d9d8-4a8f-9718-bcf07e8f2479};235
{934e780c-c13b-4d41-a7ad-8269b843fa19};4;P;2508;MAT-Q-622;{6c5d483c-eda3-4e2c-9218-96db744054b4};236
{934e780c-c13b-4d41-a7ad-8269b843fa19};5;K;3.2;KERF;{6c5d483c-eda3-4e2c-9218-96db744054b4};236
{751427b1-1e93-4075-bfa5-fd4043e5f072};0;P;621;MAT-Q-624;{d1537f10-766a-4580-820e-d0313fff4062};238
{751427b1-1e93-4075-bfa5-fd4043e5f072};1;K;2;KERF;{d1537f10-766a-4580-820e-d0313fff4062};238
{3a3f8611-3ec9-46e6-ba55-3420be2b61e8};0;P;355;MAT-Q-626;{80f00bbb-1546-4b82-b7c0-067d9d9488e2};236
{3a3f8611-3ec9-46e6-ba55-3420be2b61e8};1;K;2;KERF;{80f00bbb-1546-4b82-b7c0-067d9d9488e2};236
{3a3f8611-3ec9-46e6-ba55-3420be2b61e8};2;P;560;MAT-Q-627;{9d9f7056-f044-47d2-9e38-04a14d33a18f};238
{3a3f8611-3ec9-46e6-ba55-3420be2b61e8};3;K;2;KERF;{9d9f7056-f044-47d2-9e38-04a14d33a18f};238
{a1402e99-af06-4f98-83ed-b6ce9328f583};0;P;2155;MAT-Q-629;{7f348686-dcae-4b3c-adf4-f6bc526faffe};236
{a1402e99-af06-4f98-83ed-b6ce9328f583};1;K;3.2;KERF;{7f348686-dcae-4b3c-adf4-f6bc526faffe};236
{a1402e99-af06-4f98-83ed-b6ce9328f583};2;P;2565;MAT-Q-630;{1e2b347f-dfc1-48dd-8976-1d3bcb9c9457};237
{a1402e99-af06-4f98-83ed-b6ce9328f583};3;K;3.2;KERF;{1e2b347f-dfc1-48dd-8976-1d3bcb9c9457};237
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};2;P;2585;MAT-Q-633;{23ad4759-b6a5-4bc4-ab63-56f451fc3343};235
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};3;K;3.2;KERF;{23ad4759-b6a5-4bc4-ab63-56f451fc3343};235
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};4;P;2635;MAT-Q-634;{03538720-8f8d-4b06-be6c-34f21c8fe919};237
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};5;K;3.2;KERF;{03538720-8f8d-4b06-be6c-34f21c8fe919};237
