#VERSION 2
#CUTPLANS
{69ed4ea5-1082-4899-886e-507e5dedb95c};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;22579476;;RSM-483;1730
{843c476b-0609-42ce-86c2-db4e74559c27};1;NOT_STARTED;Rod-C;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-751;1;;RSM-751;2195
{a0d9b38b-f13e-487e-bcc5-8763a17bf24c};2;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};3;NOT_STARTED;Rod-E;NP-T-9010;CM2;3.2;STOCK;MAT-Q-699;1;;MAT-Q-699;6000
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};4;NOT_STARTED;Rod-F;NP-TF-9010;CM2;3.2;STOCK;MAT-Q-703;1;;MAT-Q-703;6000
{dd6979fb-ec05-43b3-a4d6-c53f3ac32de5};5;NOT_STARTED;Rod-G;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-750;1;;RSM-750;2119
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};6;NOT_STARTED;Rod-H;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{684981b1-9dae-410d-bf4f-54833a30428a};7;NOT_STARTED;Rod-J;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;1;;RSM-792;2130
{8b33127d-498e-4f63-8e34-64e1d4af0127};8;NOT_STARTED;Rod-K;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-714;1;;MAT-Q-714;6000
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};9;NOT_STARTED;Rod-M;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-319;1;;RSM-319;4950
{820f54ea-612f-4964-97de-af6b4ea6401a};10;NOT_STARTED;Rod-N;NP-ROLL70-5000;CM1;2;STOCK;MAT-Q-721;1;;MAT-Q-721;5000
{951ad68d-70dc-4c1a-8a12-1937ef3f0d7c};11;NOT_STARTED;Rod-P;NP-BAR20-6000;CM1;2;REUSABLE;RST-B-990;1;;RST-B-990;3375
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};12;NOT_STARTED;Rod-Q;NP-T-9010;CM2;3.2;STOCK;MAT-Q-727;1;;MAT-Q-727;6000
{8e83f1dc-e49b-4c2d-8901-d3fb72e1ff47};13;NOT_STARTED;Rod-R;NP-TF-7016;CM2;3.2;REUSABLE;RSM-127;1;;RSM-127;2020
{4df5ec69-313c-4e83-823d-01c92f73b0da};14;NOT_STARTED;Rod-S;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-733;1;;MAT-Q-733;4000
{360318d6-dde2-45a9-92ec-5f268547808c};15;NOT_STARTED;Rod-T;NP-T-7016;CM2;3.2;REUSABLE;RSM-502;1;;RSM-502;2000
{5e259ffe-7004-430f-a745-455e1cea325f};16;NOT_STARTED;Rod-U;NP-TF-9010;CM2;3.2;STOCK;MAT-Q-738;1;;MAT-Q-738;6000
{97a33dd6-5a90-40b1-8fb1-9d79577a136d};17;NOT_STARTED;Rod-V;NP-CL2+CLT2+CLB2-7016;CM2;3.2;REUSABLE;RSK-116;1;;RSK-116;1925
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};18;NOT_STARTED;Rod-W;NP-BAR20-6000;CM1;2;STOCK;MAT-Q-744;1;;MAT-Q-744;6150
{e369a717-9640-4aa5-a808-58c34cf49fc8};19;NOT_STARTED;Rod-X;NP-CZ-7016;CM2;3.2;STOCK;MAT-Q-748;1;;MAT-Q-748;7000
{fee72947-c3d5-43e0-9df8-28970de701af};20;NOT_STARTED;Rod-Y;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-752;1;;MAT-Q-752;6000
{7690552b-40f0-4481-9353-91f30541c775};21;NOT_STARTED;Rod-AA;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-773;1;;RSM-773;4600
{fd7b6aab-5506-4baf-8061-eee2156bb5ec};22;NOT_STARTED;Rod-AC;NP-TF-7016;CM2;3.2;REUSABLE;RSM-707;1;;RSM-707;2250
{9ab41f01-56d5-474c-9207-f688d21e9870};23;NOT_STARTED;Rod-AD;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-762;1;;MAT-Q-762;4000
{0b5313ea-e21b-4425-b70c-3fefbc92cf6e};24;NOT_STARTED;Rod-AE;NP-T-7016;CM2;3.2;REUSABLE;RSM-284;1;;RSM-284;2100
{fa6c632c-fcb0-4b32-bb98-08c3a2692aa7};25;NOT_STARTED;Rod-AF;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-715;1;;RST-B-715;2000
{6548ab6d-a727-4d36-bd63-be6fe7dad4a1};26;NOT_STARTED;Rod-AG;NP-ROLL70-5000;CM1;2;STOCK;MAT-Q-769;1;;MAT-Q-769;5000
{8d501be1-9410-4eee-9db4-622c6333f29a};27;NOT_STARTED;Rod-AJ;NP-CL2+CLT2+CLB2-7016;CM2;3.2;REUSABLE;RSM-114;1;;RSM-114;1975
{c78415d9-246c-4030-a4a3-75aa8250a69e};28;NOT_STARTED;Rod-AM;NP-CL2+CLT2+CLB2-9010;CM2;3.2;REUSABLE;RSM-810;1;;RSM-810;5050
#SEGMENTS
{69ed4ea5-1082-4899-886e-507e5dedb95c};0;P;1730;MAT-Q-694;{b0cc85da-a9e3-485a-88ce-1c5ff15f057b};236
{843c476b-0609-42ce-86c2-db4e74559c27};0;P;1899;MAT-Q-695;{152a73f5-983d-43b1-9696-b10631a84ce4};245
{843c476b-0609-42ce-86c2-db4e74559c27};1;K;2;KERF;{152a73f5-983d-43b1-9696-b10631a84ce4};245
{a0d9b38b-f13e-487e-bcc5-8763a17bf24c};0;P;1844;MAT-Q-697;{c09a53b7-1504-4f7c-affd-2ee564bb4ed9};241
{a0d9b38b-f13e-487e-bcc5-8763a17bf24c};1;K;2;KERF;{c09a53b7-1504-4f7c-affd-2ee564bb4ed9};241
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};2;P;2585;MAT-Q-700;{b1a3f669-1fa0-433d-9127-a911c476d9e6};235
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};3;K;3.2;KERF;{b1a3f669-1fa0-433d-9127-a911c476d9e6};235
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};4;P;2635;MAT-Q-701;{6594876b-6517-494c-a1c9-81ee31014e5d};237
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};5;K;3.2;KERF;{6594876b-6517-494c-a1c9-81ee31014e5d};237
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};6;P;675;MAT-Q-702;{dc9ed456-14e9-4d25-b037-4a30c7fba0ef};238
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};7;K;3.2;KERF;{dc9ed456-14e9-4d25-b037-4a30c7fba0ef};238
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};2;P;2585;MAT-Q-704;{1ed59f60-f29a-4e9f-8518-46578e8ecfaf};235
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};3;K;3.2;KERF;{1ed59f60-f29a-4e9f-8518-46578e8ecfaf};235
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};4;P;2635;MAT-Q-705;{4d8cd3f6-8a62-4d66-81b9-79cb43672321};237
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};5;K;3.2;KERF;{4d8cd3f6-8a62-4d66-81b9-79cb43672321};237
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};6;P;675;MAT-Q-706;{a8dbfbd8-ab78-4c02-9643-564838bc0dc4};238
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};7;K;3.2;KERF;{a8dbfbd8-ab78-4c02-9643-564838bc0dc4};238
{dd6979fb-ec05-43b3-a4d6-c53f3ac32de5};0;P;1807;MAT-Q-707;{b10a3ec8-1b06-4fbb-8905-3e8466717836};244
{dd6979fb-ec05-43b3-a4d6-c53f3ac32de5};1;K;2;KERF;{b10a3ec8-1b06-4fbb-8905-3e8466717836};244
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};0;P;355;MAT-Q-709;{15b10da3-8229-4eb0-8c62-e7579312066e};236
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};1;K;2;KERF;{15b10da3-8229-4eb0-8c62-e7579312066e};236
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};2;P;560;MAT-Q-710;{49db44a7-f1bf-433d-b897-2f0774b0267e};238
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};3;K;2;KERF;{49db44a7-f1bf-433d-b897-2f0774b0267e};238
{684981b1-9dae-410d-bf4f-54833a30428a};0;P;621;MAT-Q-712;{5cba0692-89c6-4ab9-9646-24b2985ca628};238
{684981b1-9dae-410d-bf4f-54833a30428a};1;K;2;KERF;{5cba0692-89c6-4ab9-9646-24b2985ca628};238
{8b33127d-498e-4f63-8e34-64e1d4af0127};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8b33127d-498e-4f63-8e34-64e1d4af0127};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8b33127d-498e-4f63-8e34-64e1d4af0127};2;P;2508;MAT-Q-715;{e75305f9-b7f2-4ee1-a5fc-9ad1ef2e361f};235
{8b33127d-498e-4f63-8e34-64e1d4af0127};3;K;3.2;KERF;{e75305f9-b7f2-4ee1-a5fc-9ad1ef2e361f};235
{8b33127d-498e-4f63-8e34-64e1d4af0127};4;P;2508;MAT-Q-716;{1a1313a0-b25a-49eb-a76c-d5bce6bcfcdd};236
{8b33127d-498e-4f63-8e34-64e1d4af0127};5;K;3.2;KERF;{1a1313a0-b25a-49eb-a76c-d5bce6bcfcdd};236
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};0;P;2155;MAT-Q-718;{b0132aaa-1b87-461b-b4b6-24f6f005451e};236
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};1;K;3.2;KERF;{b0132aaa-1b87-461b-b4b6-24f6f005451e};236
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};2;P;2565;MAT-Q-719;{c7a40c3a-ee4a-4f48-8ac7-50530fd503f2};237
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};3;K;3.2;KERF;{c7a40c3a-ee4a-4f48-8ac7-50530fd503f2};237
