#VERSION 2
#CUTPLANS
{61691033-57fd-45ca-a618-774a48b0dad9};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;57873716;;RSM-483;1730
{df29338b-9d56-42dc-a096-ef05a4b38138};1;NOT_STARTED;Rod-C;NP-ROLL70-5000;CM1;2;REUSABLE;L=3700;1;;L=3700;3700
{25db8166-3a54-4078-a2f4-713600c1eef0};2;NOT_STARTED;Rod-D;NP-ROLL70-7000;CM1;2;REUSABLE;RSM-751;1;;RSM-751;2195
{ff29bdf4-2020-485a-85c8-1f143ac393df};3;NOT_STARTED;Rod-E;NP-T-9010;CM2;3.2;STOCK;MAT-Q-789;1;;MAT-Q-789;6000
{2318b7ce-af5f-4179-9835-5c2aa004f891};4;NOT_STARTED;Rod-F;NP-TF-9010;CM2;3.2;STOCK;MAT-Q-793;1;;MAT-Q-793;6000
{15c739a1-1be4-4be8-8c9f-bc7ec3e5c3c9};5;NOT_STARTED;Rod-G;NP-ROLL70-5000;CM1;2;REUSABLE;L=2293;1;;L=2293;2293
{1604f80e-4de9-4d5e-b504-32e0d956792a};6;NOT_STARTED;Rod-H;NP-BAR12-4000;CM1;2;REUSABLE;RSM-569;1;TOLDAS_TOLDAT;RSM-569;1085
{eafec4a0-648e-4310-a546-f0b86c0f7d82};7;NOT_STARTED;Rod-J;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-802;1;;MAT-Q-802;6000
{4db29fd8-52e4-4a25-9578-811c74b27ce5};8;NOT_STARTED;Rod-K;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-320;1;;RSM-320;5050
{09dec995-e494-4c41-8fd2-97bb396ec304};9;NOT_STARTED;Rod-M;NP-ROLL70-5000;CM1;2;REUSABLE;L=2675;1;;L=2675;2675
{425c3362-02ef-477d-b066-224fbd9833ca};10;NOT_STARTED;Rod-N;NP-BAR20-6000;CM1;2;REUSABLE;RST-B-990;1;;RST-B-990;3375
{cb33827b-86cc-4617-a00a-99827a415b31};11;NOT_STARTED;Rod-P;NP-ROLL70-5000;CM1;2;REUSABLE;L=2005.1;1;;L=2005.1;2005
{b3efac22-fbcb-461d-8f21-2a878c58c858};12;NOT_STARTED;Rod-Q;NP-T-9010;CM2;3.2;STOCK;MAT-Q-815;1;;MAT-Q-815;6000
{c8e69cc7-56d4-4165-9e82-a6d47909f558};13;NOT_STARTED;Rod-S;NP-T-7016;CM2;3.2;REUSABLE;RSM-285;1;;RSM-285;2100
{63bbf3d5-6a1c-4661-8a24-29a42579f39f};14;NOT_STARTED;Rod-T;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-822;1;;MAT-Q-822;4000
{35d4e3bb-3831-44a6-b0b1-f98719f281b3};15;NOT_STARTED;Rod-U;NP-CL2+CLT2+CLB2-7016;CM2;3.2;REUSABLE;RSM-234;1;;RSM-234;1925
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};16;NOT_STARTED;Rod-V;NP-CZ-7016;CM2;3.2;STOCK;MAT-Q-827;1;;MAT-Q-827;7000
{e79a66c2-ae5d-4ec4-b70a-3e99b2bcc820};17;NOT_STARTED;Rod-X;NP-TF-7016;CM2;3.2;REUSABLE;RSM-286;1;;RSM-286;2075
{8f040266-e0de-4700-98cf-9abcc3ef125c};18;NOT_STARTED;Rod-Y;NP-BAR20-6000;CM1;2;STOCK;MAT-Q-834;1;;MAT-Q-834;6150
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};19;NOT_STARTED;Rod-AA;NP-SL2-9010;CM2;3.2;STOCK;MAT-Q-838;1;;MAT-Q-838;6000
{4a2020cb-5301-41ab-bac5-510f562e1d1e};20;NOT_STARTED;Rod-AB;NP-SZ-9010;CM2;3.2;REUSABLE;RSM-786;1;;RSM-786;1400
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};21;NOT_STARTED;Rod-AC;NP-TF-9010;CM2;3.2;STOCK;MAT-Q-844;1;;MAT-Q-844;6000
{c62aa0f3-3e3e-4bb5-9418-77aec93587e3};22;NOT_STARTED;Rod-AD;NP-ROLL70-5000;CM1;2;REUSABLE;L=2005.2;1;;L=2005.2;2005
{040b4f58-f8ad-42c6-b5da-8adb6e18dcc2};23;NOT_STARTED;Rod-AE;NP-CZ-9010;CM2;3.2;REUSABLE;R&T-B-722;1;;R&T-B-722;2000
{99bb86e4-d8da-435b-8d44-c1f8eb1f4da0};24;NOT_STARTED;Rod-AF;NP-T-7016;CM2;3.2;REUSABLE;RSM-801;1;;RSM-801;2700
{2a9d37b0-24c5-4313-9858-214fb919382e};25;NOT_STARTED;Rod-AG;NP-BAR12-4000;CM1;2;STOCK;MAT-Q-854;1;;MAT-Q-854;4000
{ab0ecd98-0770-4999-ba1c-da94b2e3e7b0};26;NOT_STARTED;Rod-AH;NP-CL2+CLT2+CLB2-7016;CM2;3.2;REUSABLE;RSM-159;1;;RSM-159;2000
{2cce5e4a-58aa-426c-8d53-177143a14668};27;NOT_STARTED;Rod-AJ;NP-TF-7016;CM2;3.2;REUSABLE;RSM-707;1;;RSM-707;2250
{8c280d01-8435-44b8-82b2-1dcd3190d7ce};28;NOT_STARTED;Rod-AK;NP-SZ-9010;CM2;3.2;STOCK;MAT-Q-861;1;;MAT-Q-861;7000
{08263e58-1ac6-4a60-a2d2-1b582a77123e};29;NOT_STARTED;Rod-AN;NP-CL2+CLT2+CLB2-9010;CM2;3.2;REUSABLE;RST-C-039;1;;RST-C-039;3200
#SEGMENTS
{61691033-57fd-45ca-a618-774a48b0dad9};0;P;1730;MAT-Q-783;{4402b9e2-14c9-46cd-9b5a-dcab483ebe66};236
{df29338b-9d56-42dc-a096-ef05a4b38138};0;P;2591;MAT-Q-784;{a06b3b5d-64e5-4a4d-b7e1-e0fd785006c0};237
{df29338b-9d56-42dc-a096-ef05a4b38138};1;K;2;KERF;{a06b3b5d-64e5-4a4d-b7e1-e0fd785006c0};237
{df29338b-9d56-42dc-a096-ef05a4b38138};2;P;621;MAT-Q-785;{10f9d1a2-446e-46d3-940d-24ff99c588cd};238
{df29338b-9d56-42dc-a096-ef05a4b38138};3;K;2;KERF;{10f9d1a2-446e-46d3-940d-24ff99c588cd};238
{25db8166-3a54-4078-a2f4-713600c1eef0};0;P;1899;MAT-Q-787;{2ac9768a-0c6b-4cab-8bda-bef4aba5cb4a};245
{25db8166-3a54-4078-a2f4-713600c1eef0};1;K;2;KERF;{2ac9768a-0c6b-4cab-8bda-bef4aba5cb4a};245
{ff29bdf4-2020-485a-85c8-1f143ac393df};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ff29bdf4-2020-485a-85c8-1f143ac393df};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ff29bdf4-2020-485a-85c8-1f143ac393df};2;P;2585;MAT-Q-790;{e7424488-a5bc-45ff-9b7c-ea079297f3a3};235
{ff29bdf4-2020-485a-85c8-1f143ac393df};3;K;3.2;KERF;{e7424488-a5bc-45ff-9b7c-ea079297f3a3};235
{ff29bdf4-2020-485a-85c8-1f143ac393df};4;P;2635;MAT-Q-791;{2977c818-c62a-434f-a628-cc53de7e633e};237
{ff29bdf4-2020-485a-85c8-1f143ac393df};5;K;3.2;KERF;{2977c818-c62a-434f-a628-cc53de7e633e};237
{ff29bdf4-2020-485a-85c8-1f143ac393df};6;P;675;MAT-Q-792;{f4b65cf2-579c-4746-b814-14a3d6e2b526};238
{ff29bdf4-2020-485a-85c8-1f143ac393df};7;K;3.2;KERF;{f4b65cf2-579c-4746-b814-14a3d6e2b526};238
{2318b7ce-af5f-4179-9835-5c2aa004f891};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2318b7ce-af5f-4179-9835-5c2aa004f891};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2318b7ce-af5f-4179-9835-5c2aa004f891};2;P;2585;MAT-Q-794;{918ae5e0-f9c8-4fac-8b3c-a5b940b5eea1};235
{2318b7ce-af5f-4179-9835-5c2aa004f891};3;K;3.2;KERF;{918ae5e0-f9c8-4fac-8b3c-a5b940b5eea1};235
{2318b7ce-af5f-4179-9835-5c2aa004f891};4;P;2635;MAT-Q-795;{8182128b-fe07-4700-8148-0c689aeebb47};237
{2318b7ce-af5f-4179-9835-5c2aa004f891};5;K;3.2;KERF;{8182128b-fe07-4700-8148-0c689aeebb47};237
{2318b7ce-af5f-4179-9835-5c2aa004f891};6;P;675;MAT-Q-796;{745274c6-6991-4ac7-909b-d7acfee97386};238
{2318b7ce-af5f-4179-9835-5c2aa004f891};7;K;3.2;KERF;{745274c6-6991-4ac7-909b-d7acfee97386};238
{15c739a1-1be4-4be8-8c9f-bc7ec3e5c3c9};0;P;2181;MAT-Q-797;{f5e62f58-3b94-49ff-a121-2309893466b6};236
{15c739a1-1be4-4be8-8c9f-bc7ec3e5c3c9};1;K;2;KERF;{f5e62f58-3b94-49ff-a121-2309893466b6};236
{1604f80e-4de9-4d5e-b504-32e0d956792a};0;P;355;MAT-Q-799;{1fcffe1b-3e13-4524-a235-9e2a3e37df5e};236
{1604f80e-4de9-4d5e-b504-32e0d956792a};1;K;2;KERF;{1fcffe1b-3e13-4524-a235-9e2a3e37df5e};236
{1604f80e-4de9-4d5e-b504-32e0d956792a};2;P;560;MAT-Q-800;{9bc2bfa3-5b3e-49da-b805-d98a66c75b39};238
{1604f80e-4de9-4d5e-b504-32e0d956792a};3;K;2;KERF;{9bc2bfa3-5b3e-49da-b805-d98a66c75b39};238
{eafec4a0-648e-4310-a546-f0b86c0f7d82};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{eafec4a0-648e-4310-a546-f0b86c0f7d82};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{eafec4a0-648e-4310-a546-f0b86c0f7d82};2;P;2508;MAT-Q-803;{bc0c8b3c-301d-4f89-994d-a966c3175cd6};235
{eafec4a0-648e-4310-a546-f0b86c0f7d82};3;K;3.2;KERF;{bc0c8b3c-301d-4f89-994d-a966c3175cd6};235
{eafec4a0-648e-4310-a546-f0b86c0f7d82};4;P;2508;MAT-Q-804;{cd0eb72a-3b4a-41f3-a1d5-30d8647bdc4b};236
{eafec4a0-648e-4310-a546-f0b86c0f7d82};5;K;3.2;KERF;{cd0eb72a-3b4a-41f3-a1d5-30d8647bdc4b};236
{4db29fd8-52e4-4a25-9578-811c74b27ce5};0;P;2155;MAT-Q-806;{05b6e333-9ab3-42e8-8e73-f65298e5c5f6};236
{4db29fd8-52e4-4a25-9578-811c74b27ce5};1;K;3.2;KERF;{05b6e333-9ab3-42e8-8e73-f65298e5c5f6};236
{4db29fd8-52e4-4a25-9578-811c74b27ce5};2;P;2565;MAT-Q-807;{18254af2-6e10-4133-ba32-6ca33673156f};237
{4db29fd8-52e4-4a25-9578-811c74b27ce5};3;K;3.2;KERF;{18254af2-6e10-4133-ba32-6ca33673156f};237
{09dec995-e494-4c41-8fd2-97bb396ec304};0;P;2541;MAT-Q-809;{ae66cd27-3270-4898-89fd-251a6e9aba42};235
{09dec995-e494-4c41-8fd2-97bb396ec304};1;K;2;KERF;{ae66cd27-3270-4898-89fd-251a6e9aba42};235
