#VERSION 2
#CUTPLANS
{3a189857-112b-49b3-9c82-840f58e12377};25;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;67732512;;RST-C-061;1525
{71abe924-7f1c-4a5c-a713-56789204a93f};26;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;STOCK;;32;;;3000
{5f287f06-114a-42ee-b9f9-ca4b786be795};27;NOT_STARTED;Rod-E;NP-BAR20-6000;CM1;2;STOCK;MAT-S-537;2;TOLDAS_TOLDAT;MAT-S-537;6150
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};28;NOT_STARTED;Rod-F;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-545;2;;MAT-S-545;7000
{284e7a14-748c-443e-8396-3cd8c9517875};29;NOT_STARTED;Rod-G;NP-T-9010;CM2;3.2;STOCK;MAT-S-551;2;;MAT-S-551;6000
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};30;NOT_STARTED;Rod-H;NP-TF-9010;CM2;3.2;STOCK;MAT-S-557;2;;MAT-S-557;6000
{3e88de6a-ff57-4932-bbde-ebad27f62996};31;NOT_STARTED;Rod-J;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-563;2;;MAT-S-563;6000
{cc81c104-55d4-4415-9274-f431a997cde8};32;NOT_STARTED;Rod-K;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-569;2;;MAT-S-569;7000
{5db947ca-071c-4ce9-b0cf-da4321e561a9};33;NOT_STARTED;Rod-M;NP-T-9010;CM2;3.2;STOCK;MAT-S-574;2;;MAT-S-574;6000
{32615160-219d-444a-8e83-2d5c9092f460};34;NOT_STARTED;Rod-N;NP-TF-9010;CM2;3.2;STOCK;MAT-S-578;2;;MAT-S-578;6000
{77bb2fb1-4f70-47ae-ba20-106faf246b31};35;NOT_STARTED;Rod-P;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-582;2;;MAT-S-582;6000
{1a22ce31-e515-4469-8471-b52d7fa940a5};36;NOT_STARTED;Rod-Q;NP-BAR20-6000;CM1;2;STOCK;MAT-S-586;2;;MAT-S-586;6150
{363166c6-5665-4152-9954-17fb3bc61ac3};37;NOT_STARTED;Rod-R;NP-T-9010;CM2;3.2;STOCK;MAT-S-590;2;;MAT-S-590;6000
{d154ca43-5584-4ede-a160-33c5eb752fb0};38;NOT_STARTED;Rod-S;NP-TF-9010;CM2;3.2;STOCK;MAT-S-594;2;;MAT-S-594;6000
{c458f001-542c-429c-baac-f8089ec75045};39;NOT_STARTED;Rod-T;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-598;2;;MAT-S-598;6000
{872c7030-c63e-4954-9360-572d5bcc1b42};40;NOT_STARTED;Rod-U;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-601;2;;MAT-S-601;7000
{d0d55420-2ce3-4162-a915-74862b7f1981};41;NOT_STARTED;Rod-V;NP-ROLL78-7000;CM1;2;STOCK;MAT-S-604;2;;MAT-S-604;7000
#SEGMENTS
{3a189857-112b-49b3-9c82-840f58e12377};0;P;1525;MAT-S-535;{c3f32e8b-68dc-4503-9e5a-5afbd99b70da};297
{71abe924-7f1c-4a5c-a713-56789204a93f};0;P;3000;MAT-S-536;{0a14e56e-3922-4603-85be-c98d86917f3e};298
{5f287f06-114a-42ee-b9f9-ca4b786be795};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{5f287f06-114a-42ee-b9f9-ca4b786be795};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{5f287f06-114a-42ee-b9f9-ca4b786be795};2;P;825;MAT-S-538;{bda7750e-a521-4892-bc26-816eb740fa0d};290
{5f287f06-114a-42ee-b9f9-ca4b786be795};3;K;2;KERF;{bda7750e-a521-4892-bc26-816eb740fa0d};290
{5f287f06-114a-42ee-b9f9-ca4b786be795};4;P;1055;MAT-S-539;{217e0bcd-eac6-45a5-af71-270edd52d0fc};292
{5f287f06-114a-42ee-b9f9-ca4b786be795};5;K;2;KERF;{217e0bcd-eac6-45a5-af71-270edd52d0fc};292
{5f287f06-114a-42ee-b9f9-ca4b786be795};6;P;2295;MAT-S-540;{63164c64-5bdc-46ec-b795-e26e062cc45e};293
{5f287f06-114a-42ee-b9f9-ca4b786be795};7;K;2;KERF;{63164c64-5bdc-46ec-b795-e26e062cc45e};293
{5f287f06-114a-42ee-b9f9-ca4b786be795};8;P;950;MAT-S-541;{e030f1c6-898d-4c96-89c8-7bddf28f29b8};294
{5f287f06-114a-42ee-b9f9-ca4b786be795};9;K;2;KERF;{e030f1c6-898d-4c96-89c8-7bddf28f29b8};294
{5f287f06-114a-42ee-b9f9-ca4b786be795};10;P;205;MAT-S-542;{10bbbefc-4320-47e0-9087-10d49208e0ae};297
{5f287f06-114a-42ee-b9f9-ca4b786be795};11;K;2;KERF;{10bbbefc-4320-47e0-9087-10d49208e0ae};297
{5f287f06-114a-42ee-b9f9-ca4b786be795};12;P;605;MAT-S-543;{f7a9e6df-4e1b-462b-9a1d-a4642af4d35b};298
{5f287f06-114a-42ee-b9f9-ca4b786be795};13;K;2;KERF;{f7a9e6df-4e1b-462b-9a1d-a4642af4d35b};298
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};2;P;2327;MAT-S-546;{feeba566-b57f-4c2f-b4e5-613cd50a925f};289
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};3;K;3.2;KERF;{feeba566-b57f-4c2f-b4e5-613cd50a925f};289
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};4;P;1107;MAT-S-547;{3bfcc836-5ed8-4bf0-ae3b-9f62971ebfbd};292
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};5;K;3.2;KERF;{3bfcc836-5ed8-4bf0-ae3b-9f62971ebfbd};292
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};6;P;2347;MAT-S-548;{cb9da626-9969-4009-9d40-16b667a63eab};293
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};7;K;3.2;KERF;{cb9da626-9969-4009-9d40-16b667a63eab};293
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};8;P;1002;MAT-S-549;{e40855ce-b920-4f9d-84ff-3bd0e1ac689a};294
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};9;K;3.2;KERF;{e40855ce-b920-4f9d-84ff-3bd0e1ac689a};294
{284e7a14-748c-443e-8396-3cd8c9517875};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{284e7a14-748c-443e-8396-3cd8c9517875};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{284e7a14-748c-443e-8396-3cd8c9517875};2;P;970;MAT-S-552;{1bf35bba-dc52-4a78-a6a6-f34b2f21ceec};290
{284e7a14-748c-443e-8396-3cd8c9517875};3;K;3.2;KERF;{1bf35bba-dc52-4a78-a6a6-f34b2f21ceec};290
{284e7a14-748c-443e-8396-3cd8c9517875};4;P;1200;MAT-S-553;{24686b4e-44be-4ac2-800e-42a286b6e4b7};292
{284e7a14-748c-443e-8396-3cd8c9517875};5;K;3.2;KERF;{24686b4e-44be-4ac2-800e-42a286b6e4b7};292
{284e7a14-748c-443e-8396-3cd8c9517875};6;P;2440;MAT-S-554;{676ade94-5884-4c65-998a-7d9187b12d95};293
{284e7a14-748c-443e-8396-3cd8c9517875};7;K;3.2;KERF;{676ade94-5884-4c65-998a-7d9187b12d95};293
{284e7a14-748c-443e-8396-3cd8c9517875};8;P;1095;MAT-S-555;{f4264553-f29b-4114-9f3c-28c4f09282a4};294
{284e7a14-748c-443e-8396-3cd8c9517875};9;K;3.2;KERF;{f4264553-f29b-4114-9f3c-28c4f09282a4};294
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};2;P;995;MAT-S-558;{c9e163e3-5e92-4ef4-9fc3-bf8d86a7fcb9};290
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};3;K;3.2;KERF;{c9e163e3-5e92-4ef4-9fc3-bf8d86a7fcb9};290
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};4;P;1225;MAT-S-559;{535b915e-0911-44ce-9a92-f4d52e2026c8};292
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};5;K;3.2;KERF;{535b915e-0911-44ce-9a92-f4d52e2026c8};292
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};6;P;2465;MAT-S-560;{c9c875e2-e394-44dc-9dac-d5126c7be2ca};293
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};7;K;3.2;KERF;{c9c875e2-e394-44dc-9dac-d5126c7be2ca};293
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};8;P;1120;MAT-S-561;{59f95001-4e28-476f-b1c1-fac911df8ccb};294
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};9;K;3.2;KERF;{59f95001-4e28-476f-b1c1-fac911df8ccb};294
{3e88de6a-ff57-4932-bbde-ebad27f62996};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3e88de6a-ff57-4932-bbde-ebad27f62996};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3e88de6a-ff57-4932-bbde-ebad27f62996};2;P;889;MAT-S-564;{0f8b077c-3eb6-4375-8549-df393fe43e1d};290
{3e88de6a-ff57-4932-bbde-ebad27f62996};3;K;2;KERF;{0f8b077c-3eb6-4375-8549-df393fe43e1d};290
{3e88de6a-ff57-4932-bbde-ebad27f62996};4;P;1119;MAT-S-565;{20535a00-aee6-40bd-b1b3-160a48135dcf};292
{3e88de6a-ff57-4932-bbde-ebad27f62996};5;K;2;KERF;{20535a00-aee6-40bd-b1b3-160a48135dcf};292
{3e88de6a-ff57-4932-bbde-ebad27f62996};6;P;2359;MAT-S-566;{d0993c40-3204-4bf4-831b-731d2ad4cb5d};293
{3e88de6a-ff57-4932-bbde-ebad27f62996};7;K;2;KERF;{d0993c40-3204-4bf4-831b-731d2ad4cb5d};293
{3e88de6a-ff57-4932-bbde-ebad27f62996};8;P;1014;MAT-S-567;{432e0929-2e7c-4ce8-9363-4f033fb0f15e};294
{3e88de6a-ff57-4932-bbde-ebad27f62996};9;K;2;KERF;{432e0929-2e7c-4ce8-9363-4f033fb0f15e};294
{cc81c104-55d4-4415-9274-f431a997cde8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
