#VERSION 2
#CUTPLANS
{3d37cb26-bfd8-4372-95f5-ad4f72385cc5};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;11379328;;RST-C-061;1525
{70f93a2b-7633-4681-a3de-b8b8df99b107};1;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;STOCK;;32;;;3000
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};2;NOT_STARTED;Rod-E;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-609;1;;MAT-S-609;7000
{c7006738-2385-4950-a35d-f0b38a96535c};3;NOT_STARTED;Rod-F;NP-TF-9010;CM2;3.2;STOCK;MAT-S-615;1;;MAT-S-615;6000
{71f4d3c9-d779-4e4c-b200-4c2905697464};4;NOT_STARTED;Rod-G;NP-BAR20-6000;CM1;2;STOCK;MAT-S-621;1;TOLDAS_TOLDAT;MAT-S-621;6150
{2ed6076a-f91f-4120-ba20-30ada4b20184};5;NOT_STARTED;Rod-H;NP-T-9010;CM2;3.2;STOCK;MAT-S-629;1;;MAT-S-629;6000
{0ac8de38-3e1d-4b01-820c-22588172f5fc};6;NOT_STARTED;Rod-J;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-635;1;;MAT-S-635;6000
{72bdb098-627b-475e-b738-82c86ff307d3};7;NOT_STARTED;Rod-K;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-641;1;;MAT-S-641;7000
{4668ec4c-5195-4a8f-b66d-ada74cb31387};8;NOT_STARTED;Rod-M;NP-TF-9010;CM2;3.2;STOCK;MAT-S-646;1;;MAT-S-646;6000
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};9;NOT_STARTED;Rod-N;NP-T-9010;CM2;3.2;STOCK;MAT-S-650;1;;MAT-S-650;6000
{14414f7f-5b28-4eca-8b97-6069703ac69a};10;NOT_STARTED;Rod-P;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-654;1;;MAT-S-654;6000
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};11;NOT_STARTED;Rod-Q;NP-TF-9010;CM2;3.2;STOCK;MAT-S-658;1;;MAT-S-658;6000
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};12;NOT_STARTED;Rod-R;NP-BAR20-6000;CM1;2;STOCK;MAT-S-662;1;;MAT-S-662;6150
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};13;NOT_STARTED;Rod-S;NP-T-9010;CM2;3.2;STOCK;MAT-S-666;1;;MAT-S-666;6000
{90b55327-9459-46a6-aaf8-3c46a8a92664};14;NOT_STARTED;Rod-T;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-670;1;;MAT-S-670;7000
{9d8536ba-5ea7-44ed-aea7-cb5191f5cf4d};15;NOT_STARTED;Rod-U;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-673;1;;MAT-S-673;6000
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};16;NOT_STARTED;Rod-V;NP-ROLL78-7000;CM1;2;STOCK;MAT-S-676;1;;MAT-S-676;7000
#SEGMENTS
{3d37cb26-bfd8-4372-95f5-ad4f72385cc5};0;P;1525;MAT-S-607;{54ce5052-0523-400e-85ba-d87738533a2d};297
{70f93a2b-7633-4681-a3de-b8b8df99b107};0;P;3000;MAT-S-608;{0f29fea9-ff4e-4ab5-a844-787fc4f35220};298
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};2;P;2327;MAT-S-610;{0aeed8b8-ff11-444f-a6df-16792e5ef60a};289
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};3;K;3.2;KERF;{0aeed8b8-ff11-444f-a6df-16792e5ef60a};289
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};4;P;1107;MAT-S-611;{34166f4f-72f7-4087-ac8c-0bc0921f956f};292
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};5;K;3.2;KERF;{34166f4f-72f7-4087-ac8c-0bc0921f956f};292
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};6;P;2347;MAT-S-612;{4cea887d-7038-4b12-9c05-85b226eb634b};293
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};7;K;3.2;KERF;{4cea887d-7038-4b12-9c05-85b226eb634b};293
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};8;P;1002;MAT-S-613;{649de4f5-07c6-43f3-b593-7338abbb6891};294
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};9;K;3.2;KERF;{649de4f5-07c6-43f3-b593-7338abbb6891};294
{c7006738-2385-4950-a35d-f0b38a96535c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c7006738-2385-4950-a35d-f0b38a96535c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c7006738-2385-4950-a35d-f0b38a96535c};2;P;995;MAT-S-616;{911b902b-9f80-4680-be13-443f9c859a84};290
{c7006738-2385-4950-a35d-f0b38a96535c};3;K;3.2;KERF;{911b902b-9f80-4680-be13-443f9c859a84};290
{c7006738-2385-4950-a35d-f0b38a96535c};4;P;1225;MAT-S-617;{5591fc35-d493-4c8c-a57f-2b986c187a0e};292
{c7006738-2385-4950-a35d-f0b38a96535c};5;K;3.2;KERF;{5591fc35-d493-4c8c-a57f-2b986c187a0e};292
{c7006738-2385-4950-a35d-f0b38a96535c};6;P;2465;MAT-S-618;{09f534c6-03a0-40bd-9fc0-9699c2572ce0};293
{c7006738-2385-4950-a35d-f0b38a96535c};7;K;3.2;KERF;{09f534c6-03a0-40bd-9fc0-9699c2572ce0};293
{c7006738-2385-4950-a35d-f0b38a96535c};8;P;1120;MAT-S-619;{51cb7564-72cd-40ce-8006-803bb606d555};294
{c7006738-2385-4950-a35d-f0b38a96535c};9;K;3.2;KERF;{51cb7564-72cd-40ce-8006-803bb606d555};294
{71f4d3c9-d779-4e4c-b200-4c2905697464};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{71f4d3c9-d779-4e4c-b200-4c2905697464};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{71f4d3c9-d779-4e4c-b200-4c2905697464};2;P;825;MAT-S-622;{8df1236f-2c4b-4eb7-9752-bce541e920b6};290
{71f4d3c9-d779-4e4c-b200-4c2905697464};3;K;2;KERF;{8df1236f-2c4b-4eb7-9752-bce541e920b6};290
{71f4d3c9-d779-4e4c-b200-4c2905697464};4;P;1055;MAT-S-623;{33557bc9-9e36-42a9-aa10-3b4e82621e47};292
{71f4d3c9-d779-4e4c-b200-4c2905697464};5;K;2;KERF;{33557bc9-9e36-42a9-aa10-3b4e82621e47};292
{71f4d3c9-d779-4e4c-b200-4c2905697464};6;P;2295;MAT-S-624;{a2a4a1a4-03f4-4202-85ee-f3193f4b6729};293
{71f4d3c9-d779-4e4c-b200-4c2905697464};7;K;2;KERF;{a2a4a1a4-03f4-4202-85ee-f3193f4b6729};293
{71f4d3c9-d779-4e4c-b200-4c2905697464};8;P;950;MAT-S-625;{7528656c-a4e8-4549-bd5b-36d78efdd69f};294
{71f4d3c9-d779-4e4c-b200-4c2905697464};9;K;2;KERF;{7528656c-a4e8-4549-bd5b-36d78efdd69f};294
{71f4d3c9-d779-4e4c-b200-4c2905697464};10;P;205;MAT-S-626;{31cc91cc-c736-4683-99ca-9614e800b07f};297
{71f4d3c9-d779-4e4c-b200-4c2905697464};11;K;2;KERF;{31cc91cc-c736-4683-99ca-9614e800b07f};297
{71f4d3c9-d779-4e4c-b200-4c2905697464};12;P;605;MAT-S-627;{3cb9e474-e976-431c-a352-686039038162};298
{71f4d3c9-d779-4e4c-b200-4c2905697464};13;K;2;KERF;{3cb9e474-e976-431c-a352-686039038162};298
{2ed6076a-f91f-4120-ba20-30ada4b20184};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2ed6076a-f91f-4120-ba20-30ada4b20184};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2ed6076a-f91f-4120-ba20-30ada4b20184};2;P;970;MAT-S-630;{de71a347-6850-4477-ad8c-01d59b0fb373};290
{2ed6076a-f91f-4120-ba20-30ada4b20184};3;K;3.2;KERF;{de71a347-6850-4477-ad8c-01d59b0fb373};290
{2ed6076a-f91f-4120-ba20-30ada4b20184};4;P;1200;MAT-S-631;{4b92f0f2-8e79-4d3c-8fe4-9848eeb20eaf};292
{2ed6076a-f91f-4120-ba20-30ada4b20184};5;K;3.2;KERF;{4b92f0f2-8e79-4d3c-8fe4-9848eeb20eaf};292
{2ed6076a-f91f-4120-ba20-30ada4b20184};6;P;2440;MAT-S-632;{18c387ba-8a96-437b-87fe-b6c3109656a3};293
{2ed6076a-f91f-4120-ba20-30ada4b20184};7;K;3.2;KERF;{18c387ba-8a96-437b-87fe-b6c3109656a3};293
{2ed6076a-f91f-4120-ba20-30ada4b20184};8;P;1095;MAT-S-633;{dab24519-ebf0-4075-9889-8c553b5e5f6d};294
{2ed6076a-f91f-4120-ba20-30ada4b20184};9;K;3.2;KERF;{dab24519-ebf0-4075-9889-8c553b5e5f6d};294
{0ac8de38-3e1d-4b01-820c-22588172f5fc};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{0ac8de38-3e1d-4b01-820c-22588172f5fc};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{0ac8de38-3e1d-4b01-820c-22588172f5fc};2;P;889;MAT-S-636;{7b7b73b5-5d89-450d-b992-4a45aeeccc86};290
{0ac8de38-3e1d-4b01-820c-22588172f5fc};3;K;2;KERF;{7b7b73b5-5d89-450d-b992-4a45aeeccc86};290
{0ac8de38-3e1d-4b01-820c-22588172f5fc};4;P;1119;MAT-S-637;{122a8917-58b9-4909-951a-d98f75a93143};292
{0ac8de38-3e1d-4b01-820c-22588172f5fc};5;K;2;KERF;{122a8917-58b9-4909-951a-d98f75a93143};292
{0ac8de38-3e1d-4b01-820c-22588172f5fc};6;P;2359;MAT-S-638;{16b91834-febf-4bab-b676-7d591355ff8a};293
{0ac8de38-3e1d-4b01-820c-22588172f5fc};7;K;2;KERF;{16b91834-febf-4bab-b676-7d591355ff8a};293
{0ac8de38-3e1d-4b01-820c-22588172f5fc};8;P;1014;MAT-S-639;{964c3ac1-5700-482e-8b0d-00f3077421a4};294
{0ac8de38-3e1d-4b01-820c-22588172f5fc};9;K;2;KERF;{964c3ac1-5700-482e-8b0d-00f3077421a4};294
{72bdb098-627b-475e-b738-82c86ff307d3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{72bdb098-627b-475e-b738-82c86ff307d3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{72bdb098-627b-475e-b738-82c86ff307d3};2;P;877;MAT-S-642;{3ba269a6-e9f8-4af3-af5d-b5116ca6896a};290
{72bdb098-627b-475e-b738-82c86ff307d3};3;K;3.2;KERF;{3ba269a6-e9f8-4af3-af5d-b5116ca6896a};290
{72bdb098-627b-475e-b738-82c86ff307d3};4;P;2312;MAT-S-643;{0fab7409-d794-44e6-a49e-00817bf63762};291
{72bdb098-627b-475e-b738-82c86ff307d3};5;K;3.2;KERF;{0fab7409-d794-44e6-a49e-00817bf63762};291
{72bdb098-627b-475e-b738-82c86ff307d3};6;P;3657;MAT-S-644;{1d34fb61-a9b3-48f1-82fa-2e764aff71ba};298
{72bdb098-627b-475e-b738-82c86ff307d3};7;K;3.2;KERF;{1d34fb61-a9b3-48f1-82fa-2e764aff71ba};298
{4668ec4c-5195-4a8f-b66d-ada74cb31387};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4668ec4c-5195-4a8f-b66d-ada74cb31387};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4668ec4c-5195-4a8f-b66d-ada74cb31387};2;P;1925;MAT-S-647;{4282ec08-3dbf-4952-80dc-efce87c216c7};297
{4668ec4c-5195-4a8f-b66d-ada74cb31387};3;K;3.2;KERF;{4282ec08-3dbf-4952-80dc-efce87c216c7};297
{4668ec4c-5195-4a8f-b66d-ada74cb31387};4;P;3775;MAT-S-648;{cdd8cc45-07f9-424d-963b-50ac16c1a925};298
{4668ec4c-5195-4a8f-b66d-ada74cb31387};5;K;3.2;KERF;{cdd8cc45-07f9-424d-963b-50ac16c1a925};298
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};2;P;1900;MAT-S-651;{37c55371-6c35-41d5-9200-e2ea3a652807};297
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};3;K;3.2;KERF;{37c55371-6c35-41d5-9200-e2ea3a652807};297
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};4;P;3750;MAT-S-652;{8e694303-1f9e-471e-962f-4a4ae5a034b3};298
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};5;K;3.2;KERF;{8e694303-1f9e-471e-962f-4a4ae5a034b3};298
{14414f7f-5b28-4eca-8b97-6069703ac69a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{14414f7f-5b28-4eca-8b97-6069703ac69a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{14414f7f-5b28-4eca-8b97-6069703ac69a};2;P;2339;MAT-S-655;{7cef95b5-5605-4852-8870-19fb5e017d12};289
{14414f7f-5b28-4eca-8b97-6069703ac69a};3;K;2;KERF;{7cef95b5-5605-4852-8870-19fb5e017d12};289
{14414f7f-5b28-4eca-8b97-6069703ac69a};4;P;2324;MAT-S-656;{ee2fb312-812a-4908-9e8a-f984d51f61b0};291
{14414f7f-5b28-4eca-8b97-6069703ac69a};5;K;2;KERF;{ee2fb312-812a-4908-9e8a-f984d51f61b0};291
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};2;P;2445;MAT-S-659;{83474d43-2160-4abe-8142-1f10faff47ff};289
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};3;K;3.2;KERF;{83474d43-2160-4abe-8142-1f10faff47ff};289
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};4;P;2430;MAT-S-660;{91fcaed0-000c-4829-8b2e-1a54b9f87c5c};291
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};5;K;3.2;KERF;{91fcaed0-000c-4829-8b2e-1a54b9f87c5c};291
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};2;P;2275;MAT-S-663;{9361a15a-c903-4e36-831f-6afffba667d2};289
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};3;K;2;KERF;{9361a15a-c903-4e36-831f-6afffba667d2};289
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};4;P;2260;MAT-S-664;{3b42f14f-10c3-4ab9-8ae5-f962ac0e1dc0};291
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};5;K;2;KERF;{3b42f14f-10c3-4ab9-8ae5-f962ac0e1dc0};291
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};2;P;2420;MAT-S-667;{61d1cc7b-5955-413f-a6b0-5834cde4d862};289
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};3;K;3.2;KERF;{61d1cc7b-5955-413f-a6b0-5834cde4d862};289
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};4;P;2405;MAT-S-668;{95fe8aae-b7e2-40cf-9563-b63be35ed2c6};291
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};5;K;3.2;KERF;{95fe8aae-b7e2-40cf-9563-b63be35ed2c6};291
{90b55327-9459-46a6-aaf8-3c46a8a92664};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{90b55327-9459-46a6-aaf8-3c46a8a92664};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{90b55327-9459-46a6-aaf8-3c46a8a92664};2;P;1807;MAT-S-671;{35909c61-7a53-40ca-8964-bb177d14dbb8};297
{90b55327-9459-46a6-aaf8-3c46a8a92664};3;K;3.2;KERF;{35909c61-7a53-40ca-8964-bb177d14dbb8};297
{9d8536ba-5ea7-44ed-aea7-cb5191f5cf4d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{9d8536ba-5ea7-44ed-aea7-cb5191f5cf4d};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{9d8536ba-5ea7-44ed-aea7-cb5191f5cf4d};2;P;1819;MAT-S-674;{51de07e4-1178-489f-affd-18f31eae9559};297
{9d8536ba-5ea7-44ed-aea7-cb5191f5cf4d};3;K;2;KERF;{51de07e4-1178-489f-affd-18f31eae9559};297
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};2;P;3669;MAT-S-677;{4979f9e5-21e5-41aa-9028-c7504a2a2cb5};298
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};3;K;2;KERF;{4979f9e5-21e5-41aa-9028-c7504a2a2cb5};298
#PIECES
{3d37cb26-bfd8-4372-95f5-ad4f72385cc5};{54ce5052-0523-400e-85ba-d87738533a2d};1525;NP-BAR22-3000;297
{70f93a2b-7633-4681-a3de-b8b8df99b107};{0f29fea9-ff4e-4ab5-a844-787fc4f35220};3000;NP-BAR22-3000;298
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};{0aeed8b8-ff11-444f-a6df-16792e5ef60a};2327;NP-CZ-9010;289
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};{34166f4f-72f7-4087-ac8c-0bc0921f956f};1107;NP-CZ-9010;292
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};{4cea887d-7038-4b12-9c05-85b226eb634b};2347;NP-CZ-9010;293
