#VERSION 2
#CUTPLANS
{9c6760ae-0dc8-45e5-a4a9-9b310c996378};17;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;11379328;;RST-C-061;1525
{c521289f-329c-44b9-96f1-ec1aa3be5505};18;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;STOCK;;32;;;3000
{931e4592-0b6d-4e5c-a31c-894d79587ef7};19;NOT_STARTED;Rod-E;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-681;2;;MAT-S-681;7000
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};20;NOT_STARTED;Rod-F;NP-TF-9010;CM2;3.2;STOCK;MAT-S-687;2;;MAT-S-687;6000
{67d34453-9a73-4265-9470-98573b738897};21;NOT_STARTED;Rod-G;NP-BAR20-6000;CM1;2;STOCK;MAT-S-693;2;TOLDAS_TOLDAT;MAT-S-693;6150
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};22;NOT_STARTED;Rod-H;NP-T-9010;CM2;3.2;STOCK;MAT-S-701;2;;MAT-S-701;6000
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};23;NOT_STARTED;Rod-J;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-707;2;;MAT-S-707;6000
{7690434b-4ebd-455f-8d51-e4ef1d99f756};24;NOT_STARTED;Rod-K;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-713;2;;MAT-S-713;7000
{174af7ca-5bce-41e0-9979-8d814800e411};25;NOT_STARTED;Rod-M;NP-TF-9010;CM2;3.2;STOCK;MAT-S-718;2;;MAT-S-718;6000
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};26;NOT_STARTED;Rod-N;NP-T-9010;CM2;3.2;STOCK;MAT-S-722;2;;MAT-S-722;6000
{bf37cb67-2422-425e-85b6-28528947205e};27;NOT_STARTED;Rod-P;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-726;2;;MAT-S-726;6000
{d91b6f56-f772-440c-b282-e3b39340ca4a};28;NOT_STARTED;Rod-Q;NP-TF-9010;CM2;3.2;STOCK;MAT-S-730;2;;MAT-S-730;6000
{145eb8bb-8392-4e48-9156-d2adf6db6920};29;NOT_STARTED;Rod-R;NP-BAR20-6000;CM1;2;STOCK;MAT-S-734;2;;MAT-S-734;6150
{94728e3e-2c58-4d27-89e3-30f298ff606d};30;NOT_STARTED;Rod-S;NP-T-9010;CM2;3.2;STOCK;MAT-S-738;2;;MAT-S-738;6000
{50edcecc-7398-43dd-b711-f5a2d0da30ca};31;NOT_STARTED;Rod-T;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-742;2;;MAT-S-742;7000
{0986648f-2e92-4c6a-8f0e-3b2754020c87};32;NOT_STARTED;Rod-U;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-745;2;;MAT-S-745;6000
{c672979c-7389-495e-a1e7-4a664363ced0};33;NOT_STARTED;Rod-V;NP-ROLL78-7000;CM1;2;STOCK;MAT-S-748;2;;MAT-S-748;7000
#SEGMENTS
{9c6760ae-0dc8-45e5-a4a9-9b310c996378};0;P;1525;MAT-S-679;{55f2efc8-bd77-4e88-a5eb-9619a3518c97};297
{c521289f-329c-44b9-96f1-ec1aa3be5505};0;P;3000;MAT-S-680;{2cd5e97d-ee95-49b7-ab61-c89ef80f6a1d};298
{931e4592-0b6d-4e5c-a31c-894d79587ef7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{931e4592-0b6d-4e5c-a31c-894d79587ef7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{931e4592-0b6d-4e5c-a31c-894d79587ef7};2;P;2327;MAT-S-682;{5290fabb-8db1-424f-93b1-49db76b6d02b};289
{931e4592-0b6d-4e5c-a31c-894d79587ef7};3;K;3.2;KERF;{5290fabb-8db1-424f-93b1-49db76b6d02b};289
{931e4592-0b6d-4e5c-a31c-894d79587ef7};4;P;1107;MAT-S-683;{7942e5a4-313d-4eec-a873-c4cde9647b37};292
{931e4592-0b6d-4e5c-a31c-894d79587ef7};5;K;3.2;KERF;{7942e5a4-313d-4eec-a873-c4cde9647b37};292
{931e4592-0b6d-4e5c-a31c-894d79587ef7};6;P;2347;MAT-S-684;{12794916-2e58-4376-9d85-8b774b32b1af};293
{931e4592-0b6d-4e5c-a31c-894d79587ef7};7;K;3.2;KERF;{12794916-2e58-4376-9d85-8b774b32b1af};293
{931e4592-0b6d-4e5c-a31c-894d79587ef7};8;P;1002;MAT-S-685;{25ebd802-81de-4cf0-8624-23c6a92b0469};294
{931e4592-0b6d-4e5c-a31c-894d79587ef7};9;K;3.2;KERF;{25ebd802-81de-4cf0-8624-23c6a92b0469};294
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};2;P;995;MAT-S-688;{3aa96165-995a-496f-a091-051080762441};290
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};3;K;3.2;KERF;{3aa96165-995a-496f-a091-051080762441};290
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};4;P;1225;MAT-S-689;{5b9700b7-ee4e-45c1-acb1-f0e12f1a5ecf};292
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};5;K;3.2;KERF;{5b9700b7-ee4e-45c1-acb1-f0e12f1a5ecf};292
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};6;P;2465;MAT-S-690;{0b927be6-47ef-44b3-ab5d-1c66c355c59a};293
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};7;K;3.2;KERF;{0b927be6-47ef-44b3-ab5d-1c66c355c59a};293
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};8;P;1120;MAT-S-691;{08bed0d6-188d-4a8c-9d61-7249c99375c5};294
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};9;K;3.2;KERF;{08bed0d6-188d-4a8c-9d61-7249c99375c5};294
{67d34453-9a73-4265-9470-98573b738897};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{67d34453-9a73-4265-9470-98573b738897};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
