#VERSION 2
#CUTPLANS
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};34;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;11379328;;RST-C-061;1525
{50ab31b2-8122-4481-89a9-4122fdc62fb9};35;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;0;STOCK;;32;;;3000
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};36;NOT_STARTED;Rod-E;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-753;3;;MAT-S-753;7000
{0910f962-561f-4b2d-9949-d9531f619362};37;NOT_STARTED;Rod-F;NP-TF-9010;CM2;3.2;STOCK;MAT-S-759;3;;MAT-S-759;6000
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};38;NOT_STARTED;Rod-G;NP-BAR20-6000;CM1;2;STOCK;MAT-S-765;3;TOLDAS_TOLDAT;MAT-S-765;6150
{01f00686-1825-4423-9d4e-1d9da35ef301};39;NOT_STARTED;Rod-H;NP-T-9010;CM2;3.2;STOCK;MAT-S-773;3;;MAT-S-773;6000
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};40;NOT_STARTED;Rod-J;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-779;3;;MAT-S-779;6000
{294009cd-50b5-4f44-a07f-e9c9754921f8};41;NOT_STARTED;Rod-K;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-785;3;;MAT-S-785;7000
{e54b91b2-021c-4cf3-8599-2166f7fbb748};42;NOT_STARTED;Rod-M;NP-TF-9010;CM2;3.2;STOCK;MAT-S-790;3;;MAT-S-790;6000
{415d4fb1-b97d-4216-aea0-96798b6cf322};43;NOT_STARTED;Rod-N;NP-T-9010;CM2;3.2;STOCK;MAT-S-794;3;;MAT-S-794;6000
{7e320a77-b20e-4e52-a446-53aa96005e5d};44;NOT_STARTED;Rod-P;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-798;3;;MAT-S-798;6000
{add19b1b-5958-4de3-8b69-efdc6faddfc8};45;NOT_STARTED;Rod-Q;NP-TF-9010;CM2;3.2;STOCK;MAT-S-802;3;;MAT-S-802;6000
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};46;NOT_STARTED;Rod-R;NP-BAR20-6000;CM1;2;STOCK;MAT-S-806;3;;MAT-S-806;6150
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};47;NOT_STARTED;Rod-S;NP-T-9010;CM2;3.2;STOCK;MAT-S-810;3;;MAT-S-810;6000
{2ef9f44b-8a1e-4e82-9470-632602bb35b4};48;NOT_STARTED;Rod-T;NP-CZ-9010;CM2;3.2;STOCK;MAT-S-814;3;;MAT-S-814;7000
{4dc5d9e5-8945-458b-a900-74decbbea9b4};49;NOT_STARTED;Rod-U;NP-ROLL70-6000;CM1;2;STOCK;MAT-S-817;3;;MAT-S-817;6000
{7f40e195-5b88-4c62-a827-ce8a045f65cb};50;NOT_STARTED;Rod-V;NP-ROLL78-7000;CM1;2;STOCK;MAT-S-820;3;;MAT-S-820;7000
#SEGMENTS
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};0;P;1525;MAT-S-751;{04d84606-eed1-4af3-9503-596b2b6e4dc2};297
{50ab31b2-8122-4481-89a9-4122fdc62fb9};0;P;3000;MAT-S-752;{f6d4df46-acba-4db7-9a79-ef3897e4e381};298
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};2;P;2327;MAT-S-754;{507320cf-0db2-4a0d-84dd-77376efbfd8f};289
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};3;K;3.2;KERF;{507320cf-0db2-4a0d-84dd-77376efbfd8f};289
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};4;P;1107;MAT-S-755;{209c554a-934b-46ab-b152-0fd1bb64407f};292
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};5;K;3.2;KERF;{209c554a-934b-46ab-b152-0fd1bb64407f};292
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};6;P;2347;MAT-S-756;{9f8bf118-6c6f-4407-b45f-928fe216f37c};293
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};7;K;3.2;KERF;{9f8bf118-6c6f-4407-b45f-928fe216f37c};293
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};8;P;1002;MAT-S-757;{bcdb5c59-7584-47b9-a129-19a961024bc0};294
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};9;K;3.2;KERF;{bcdb5c59-7584-47b9-a129-19a961024bc0};294
{0910f962-561f-4b2d-9949-d9531f619362};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0910f962-561f-4b2d-9949-d9531f619362};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0910f962-561f-4b2d-9949-d9531f619362};2;P;995;MAT-S-760;{3a36ee73-4b2e-4772-a824-adadd6769837};290
{0910f962-561f-4b2d-9949-d9531f619362};3;K;3.2;KERF;{3a36ee73-4b2e-4772-a824-adadd6769837};290
{0910f962-561f-4b2d-9949-d9531f619362};4;P;1225;MAT-S-761;{d888b7bb-45d8-4f3f-83fb-a563077af1ba};292
{0910f962-561f-4b2d-9949-d9531f619362};5;K;3.2;KERF;{d888b7bb-45d8-4f3f-83fb-a563077af1ba};292
{0910f962-561f-4b2d-9949-d9531f619362};6;P;2465;MAT-S-762;{73588980-274f-432e-8251-fc22127de586};293
{0910f962-561f-4b2d-9949-d9531f619362};7;K;3.2;KERF;{73588980-274f-432e-8251-fc22127de586};293
{0910f962-561f-4b2d-9949-d9531f619362};8;P;1120;MAT-S-763;{6b454132-1d5d-48d8-b3fb-f72692964c2b};294
{0910f962-561f-4b2d-9949-d9531f619362};9;K;3.2;KERF;{6b454132-1d5d-48d8-b3fb-f72692964c2b};294
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};2;P;825;MAT-S-766;{e11fb32c-9149-46bb-a89b-db8262482c6d};290
