#VERSION 2
#CUTPLANS
{69b24ca5-e86a-49b0-a869-7e9f884122fc};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-A-446;11007664;;RST-A-446;1125
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};1;NOT_STARTED;Rod-C;NP-T-9010;CM2;3.2;REUSABLE;RST-C-407;1;;RST-C-407;4775
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};2;NOT_STARTED;Rod-D;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-406;1;;RST-C-406;4750
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};3;NOT_STARTED;Rod-E;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-162;1;;RST-C-162;4700
{53aa666f-a6fa-4c2f-8f3b-1ddf01f97802};4;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;2;REUSABLE;RSM-623;1;TOLDAS_TOLDAT;RSM-623;1000
{aa96e795-03cc-4b94-b44a-84d6126a403f};5;NOT_STARTED;Rod-G;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-395;1;;MAT-U-395;7000
{02d8cd0e-f110-4c45-88f4-96eda4a70ad6};6;NOT_STARTED;Rod-H;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;1;;RSM-793;2020
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};7;NOT_STARTED;Rod-J;NP-BAR20-6000;CM1;2;STOCK;MAT-U-402;1;;MAT-U-402;6150
{5ff5156d-5ba6-438d-a18c-5d4d081c8488};8;NOT_STARTED;Rod-K;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;1;;RSM-792;2130
{531cdfae-5a4d-4421-8153-760a3638aada};9;NOT_STARTED;Rod-N;NP-T-9010;CM2;3.2;STOCK;MAT-U-409;1;;MAT-U-409;6000
{dd98be76-8cd1-4453-ae37-ffa32502ad5b};10;NOT_STARTED;Rod-P;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-097;1;;RST-C-097;3325
{f5e8e6a1-a17f-4ca1-8d61-b6713396d81d};11;NOT_STARTED;Rod-Q;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-729;1;;RST-B-729;2025
{a4061b35-59bf-4658-bfb2-9d9866168b6a};12;NOT_STARTED;Rod-R;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-795;1;;RSM-795;2130
{8fd5a302-022c-4a92-98a2-3b3594a519d9};13;NOT_STARTED;Rod-S;NP-TF-9010;CM2;3.2;STOCK;MAT-U-419;1;;MAT-U-419;6000
{fc518846-098c-4dd8-941b-41408fd5453f};14;NOT_STARTED;Rod-T;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-404;1;;RST-C-404;2700
{710b3279-ecde-4262-b5b9-b3f8b06068c7};15;NOT_STARTED;Rod-U;NP-BAR20-6000;CM1;2;STOCK;MAT-U-425;1;;MAT-U-425;6150
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};16;NOT_STARTED;Rod-V;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-429;1;;MAT-U-429;7000
{4943f130-7197-46ea-b609-a5b6b3b78d8b};17;NOT_STARTED;Rod-W;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-433;1;;MAT-U-433;6000
{0fe91290-7b40-4bd0-8392-2ba361d79f39};18;NOT_STARTED;Rod-X;NP-T-9010;CM2;3.2;STOCK;MAT-U-437;1;;MAT-U-437;6000
{78cbabd6-2cb9-41ce-995d-a50969db2eab};19;NOT_STARTED;Rod-Y;NP-CZ-9010;CM2;3.2;REUSABLE;RSM-898;1;;RSM-898;2200
{8a4fa4a8-d413-47db-a50b-6dc386011ea2};20;NOT_STARTED;Rod-AA;NP-CLB2;CM2;3.2;REUSABLE;RSM-908;1;;RSM-908;3690
#SEGMENTS
{69b24ca5-e86a-49b0-a869-7e9f884122fc};0;P;1125;MAT-U-384;{50e543fb-a50e-4bc4-87e6-1fee55145dd3};301
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};0;P;2060;MAT-U-385;{63b087dd-d111-44d0-b036-a480f635acf2};302
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};1;K;3.2;KERF;{63b087dd-d111-44d0-b036-a480f635acf2};302
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};2;P;2590;MAT-U-386;{54064b99-ce98-4de3-83f0-f5dab87bcef0};304
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};3;K;3.2;KERF;{54064b99-ce98-4de3-83f0-f5dab87bcef0};304
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};0;P;2085;MAT-U-388;{d1dff97d-0c9d-4309-b3ff-dc597266d07c};302
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};1;K;3.2;KERF;{d1dff97d-0c9d-4309-b3ff-dc597266d07c};302
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};2;P;2135;MAT-U-389;{0113329e-4dfc-4230-b33d-be1274fa8b9c};303
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};3;K;3.2;KERF;{0113329e-4dfc-4230-b33d-be1274fa8b9c};303
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};0;P;2017;MAT-U-391;{42ae6531-2263-47f7-b8d1-046703980200};303
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};1;K;3.2;KERF;{42ae6531-2263-47f7-b8d1-046703980200};303
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};2;P;2597;MAT-U-392;{ec13a2d4-a5e6-4f75-8934-1d8250d164a9};305
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};3;K;3.2;KERF;{ec13a2d4-a5e6-4f75-8934-1d8250d164a9};305
{53aa666f-a6fa-4c2f-8f3b-1ddf01f97802};0;P;175;MAT-U-393;{7ae02bfe-1ada-4bc1-86bf-826d3f0b5c00};301
{53aa666f-a6fa-4c2f-8f3b-1ddf01f97802};1;K;2;KERF;{7ae02bfe-1ada-4bc1-86bf-826d3f0b5c00};301
{aa96e795-03cc-4b94-b44a-84d6126a403f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{aa96e795-03cc-4b94-b44a-84d6126a403f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{aa96e795-03cc-4b94-b44a-84d6126a403f};2;P;2257;MAT-U-396;{c319656b-f88f-4c89-a362-28ef910a6748};301
{aa96e795-03cc-4b94-b44a-84d6126a403f};3;K;3.2;KERF;{c319656b-f88f-4c89-a362-28ef910a6748};301
{aa96e795-03cc-4b94-b44a-84d6126a403f};4;P;2257;MAT-U-397;{79e1d315-e544-42c6-b5e5-1e4ef272a27a};302
{aa96e795-03cc-4b94-b44a-84d6126a403f};5;K;3.2;KERF;{79e1d315-e544-42c6-b5e5-1e4ef272a27a};302
{aa96e795-03cc-4b94-b44a-84d6126a403f};6;P;2267;MAT-U-398;{81c5cd8f-07e6-49b9-bbd9-6c564b12e90f};304
{aa96e795-03cc-4b94-b44a-84d6126a403f};7;K;3.2;KERF;{81c5cd8f-07e6-49b9-bbd9-6c564b12e90f};304
{02d8cd0e-f110-4c45-88f4-96eda4a70ad6};0;P;1389;MAT-U-400;{ce60cbbb-76c5-4682-a627-0431eb40ea4e};301
{02d8cd0e-f110-4c45-88f4-96eda4a70ad6};1;K;2;KERF;{ce60cbbb-76c5-4682-a627-0431eb40ea4e};301
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};2;P;2445;MAT-U-403;{1870e9eb-2542-4e78-ac3e-07337bd22196};304
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};3;K;2;KERF;{1870e9eb-2542-4e78-ac3e-07337bd22196};304
