#VERSION 2
#CUTPLANS
{8dc53c45-f669-4c1d-a38f-f3a4aa3e40be};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-A-446;11007664;;RST-A-446;1125
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};1;NOT_STARTED;Rod-C;NP-T-9010;CM2;3.2;REUSABLE;RST-C-407;2;;RST-C-407;4775
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};2;NOT_STARTED;Rod-D;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-406;2;;RST-C-406;4750
{d3bfd188-c173-4139-98e4-e7e7556dc453};3;NOT_STARTED;Rod-E;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-162;2;;RST-C-162;4700
{1bec0ecb-e079-4223-8be9-1bc1e7b9c48e};4;NOT_STARTED;Rod-F;NP-BAR22-3000;CM1;2;REUSABLE;RSM-623;2;TOLDAS_TOLDAT;RSM-623;1000
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};5;NOT_STARTED;Rod-G;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-455;2;;MAT-U-455;7000
{5c164503-a840-4b26-ba6a-c95746f278ed};6;NOT_STARTED;Rod-H;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;2;;RSM-793;2020
{3a853685-bfdd-4f13-ac09-51edc415d279};7;NOT_STARTED;Rod-J;NP-BAR20-6000;CM1;2;STOCK;MAT-U-462;2;;MAT-U-462;6150
{c164bad0-7849-4dfc-8600-5a373529cad0};8;NOT_STARTED;Rod-K;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;2;;RSM-792;2130
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};9;NOT_STARTED;Rod-N;NP-T-9010;CM2;3.2;STOCK;MAT-U-469;2;;MAT-U-469;6000
{b51abbc6-e089-48f6-8d51-837c7d6cc7a9};10;NOT_STARTED;Rod-P;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-097;2;;RST-C-097;3325
{29466e78-8b5a-43e5-aed6-5ec3dc5584a3};11;NOT_STARTED;Rod-Q;NP-CZ-9010;CM2;3.2;REUSABLE;RST-B-729;2;;RST-B-729;2025
{f0c3b9ea-5f41-4e05-9990-0c89aa70887c};12;NOT_STARTED;Rod-R;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-795;2;;RSM-795;2130
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};13;NOT_STARTED;Rod-S;NP-TF-9010;CM2;3.2;STOCK;MAT-U-479;2;;MAT-U-479;6000
{cdb21400-6f0f-4436-8d7f-4ce852a8ff2a};14;NOT_STARTED;Rod-T;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-404;2;;RST-C-404;2700
{4c1c7711-5169-4d27-ae99-a798624e50d5};15;NOT_STARTED;Rod-U;NP-BAR20-6000;CM1;2;STOCK;MAT-U-485;2;;MAT-U-485;6150
{8641df30-2542-4b7f-9261-6d51b9249689};16;NOT_STARTED;Rod-V;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-489;2;;MAT-U-489;7000
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};17;NOT_STARTED;Rod-W;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-493;2;;MAT-U-493;6000
{b48c139b-8279-4261-8858-68bf6c079081};18;NOT_STARTED;Rod-X;NP-T-9010;CM2;3.2;STOCK;MAT-U-497;2;;MAT-U-497;6000
{73398d37-6856-4b2c-ba9c-3148af26c04b};19;NOT_STARTED;Rod-Y;NP-CZ-9010;CM2;3.2;REUSABLE;RSM-898;2;;RSM-898;2200
{13f718d9-5f6c-4c23-b8e2-4f7a1a7f4ac6};20;NOT_STARTED;Rod-AA;NP-CLB2;CM2;3.2;REUSABLE;RSM-908;1;;RSM-908;3690
#SEGMENTS
{8dc53c45-f669-4c1d-a38f-f3a4aa3e40be};0;P;1125;MAT-U-444;{72d557d7-2c03-4017-9bde-80cdda8e34fb};301
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};0;P;2060;MAT-U-445;{92e32c97-3da4-4e5a-b893-26c09deaa97d};302
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};1;K;3.2;KERF;{92e32c97-3da4-4e5a-b893-26c09deaa97d};302
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};2;P;2590;MAT-U-446;{48891dad-d7b3-409e-a0e9-e8a09a76fa63};304
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};3;K;3.2;KERF;{48891dad-d7b3-409e-a0e9-e8a09a76fa63};304
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};0;P;2085;MAT-U-448;{7b05d210-8453-41ad-b56d-b1fb78e2bbcb};302
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};1;K;3.2;KERF;{7b05d210-8453-41ad-b56d-b1fb78e2bbcb};302
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};2;P;2135;MAT-U-449;{658548fe-005b-4be7-aafe-c85bca2727b5};303
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};3;K;3.2;KERF;{658548fe-005b-4be7-aafe-c85bca2727b5};303
{d3bfd188-c173-4139-98e4-e7e7556dc453};0;P;2017;MAT-U-451;{cb1c1039-1d6d-4980-9095-e9225c4df13f};303
{d3bfd188-c173-4139-98e4-e7e7556dc453};1;K;3.2;KERF;{cb1c1039-1d6d-4980-9095-e9225c4df13f};303
{d3bfd188-c173-4139-98e4-e7e7556dc453};2;P;2597;MAT-U-452;{06595ae4-e0b7-49a3-ba4f-66c63698bb51};305
{d3bfd188-c173-4139-98e4-e7e7556dc453};3;K;3.2;KERF;{06595ae4-e0b7-49a3-ba4f-66c63698bb51};305
{1bec0ecb-e079-4223-8be9-1bc1e7b9c48e};0;P;175;MAT-U-453;{bdfb5336-c6e0-4c74-ae9f-c55e03607e9b};301
{1bec0ecb-e079-4223-8be9-1bc1e7b9c48e};1;K;2;KERF;{bdfb5336-c6e0-4c74-ae9f-c55e03607e9b};301
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};2;P;2257;MAT-U-456;{f0c35611-c068-4b6e-a476-29716f7a0a89};301
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};3;K;3.2;KERF;{f0c35611-c068-4b6e-a476-29716f7a0a89};301
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};4;P;2257;MAT-U-457;{830457a3-7e3a-4111-82b5-947c58496ea0};302
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};5;K;3.2;KERF;{830457a3-7e3a-4111-82b5-947c58496ea0};302
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};6;P;2267;MAT-U-458;{e49d8647-ea42-42b7-8e51-4c546c4623e5};304
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};7;K;3.2;KERF;{e49d8647-ea42-42b7-8e51-4c546c4623e5};304
{5c164503-a840-4b26-ba6a-c95746f278ed};0;P;1389;MAT-U-460;{b4dc6e2f-bd32-422b-bcd0-4435554a0fce};301
{5c164503-a840-4b26-ba6a-c95746f278ed};1;K;2;KERF;{b4dc6e2f-bd32-422b-bcd0-4435554a0fce};301
{3a853685-bfdd-4f13-ac09-51edc415d279};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3a853685-bfdd-4f13-ac09-51edc415d279};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3a853685-bfdd-4f13-ac09-51edc415d279};2;P;2445;MAT-U-463;{f323e7d1-4ed5-4a66-a7d0-26bd21a915cc};304
{3a853685-bfdd-4f13-ac09-51edc415d279};3;K;2;KERF;{f323e7d1-4ed5-4a66-a7d0-26bd21a915cc};304
