#VERSION 2
#CUTPLANS
{1fa6c24b-53f2-411b-97e9-2df0b9b70e63};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-A-446;11007664;;RST-A-446;1125
{0baca208-04b3-4f4c-b58f-702eafc53c55};1;NOT_STARTED;Rod-D;NP-T-9010;CM2;3.2;STOCK;MAT-U-506;3;;MAT-U-506;6000
{18f4ee5b-0624-457f-8b54-075a92c34ebf};2;NOT_STARTED;Rod-E;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-097;3;;RST-C-097;3325
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};3;NOT_STARTED;Rod-F;NP-CZ-9010;CM2;3.2;STOCK;MAT-U-513;3;;MAT-U-513;7000
{74eba19a-0f1a-47c6-8cd2-d24ff1cad028};4;NOT_STARTED;Rod-G;NP-BAR22-3000;CM1;2;REUSABLE;RSM-623;3;TOLDAS_TOLDAT;RSM-623;1000
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};5;NOT_STARTED;Rod-H;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-520;3;;MAT-U-520;7000
{b94298ee-a583-4483-8b86-58a1d46750cd};6;NOT_STARTED;Rod-J;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;3;;RSM-793;2020
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};7;NOT_STARTED;Rod-K;NP-TF-9010;CM2;3.2;STOCK;MAT-U-527;3;;MAT-U-527;6000
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};8;NOT_STARTED;Rod-M;NP-BAR20-6000;CM1;2;STOCK;MAT-U-532;3;;MAT-U-532;6150
{e757c083-b815-4e4c-a53a-dd00a106c300};9;NOT_STARTED;Rod-N;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;3;;RSM-792;2130
{824c9b23-fba6-42d8-869f-b3a071836497};10;NOT_STARTED;Rod-P;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-795;3;;RSM-795;2130
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};11;NOT_STARTED;Rod-Q;NP-T-9010;CM2;3.2;STOCK;MAT-U-540;3;;MAT-U-540;6000
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};12;NOT_STARTED;Rod-R;NP-CZ-9010;CM2;3.2;STOCK;MAT-U-544;3;;MAT-U-544;7000
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};13;NOT_STARTED;Rod-S;NP-BAR20-6000;CM1;2;STOCK;MAT-U-548;3;;MAT-U-548;6150
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};14;NOT_STARTED;Rod-T;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-552;3;;MAT-U-552;7000
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};15;NOT_STARTED;Rod-U;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-556;3;;MAT-U-556;6000
{b97b82fa-597f-4ec1-a157-dbf9501cd099};16;NOT_STARTED;Rod-V;NP-TF-9010;CM2;3.2;STOCK;MAT-U-560;3;;MAT-U-560;6000
{71121214-b247-4d9a-afa2-5525ee7cff42};17;NOT_STARTED;Rod-W;NP-CLB2;CM2;3.2;REUSABLE;RSM-908;1;;RSM-908;3690
#SEGMENTS
{1fa6c24b-53f2-411b-97e9-2df0b9b70e63};0;P;1125;MAT-U-504;{c1fa1df6-7aba-4bc4-8cea-7998e4b4cedc};301
{0baca208-04b3-4f4c-b58f-702eafc53c55};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0baca208-04b3-4f4c-b58f-702eafc53c55};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0baca208-04b3-4f4c-b58f-702eafc53c55};2;P;1470;MAT-U-507;{3f813c0d-26b6-498e-b213-10dc3fe570e0};301
{0baca208-04b3-4f4c-b58f-702eafc53c55};3;K;3.2;KERF;{3f813c0d-26b6-498e-b213-10dc3fe570e0};301
{0baca208-04b3-4f4c-b58f-702eafc53c55};4;P;2060;MAT-U-508;{4347cb1d-b096-49e3-84d6-144d5f674880};302
{0baca208-04b3-4f4c-b58f-702eafc53c55};5;K;3.2;KERF;{4347cb1d-b096-49e3-84d6-144d5f674880};302
{0baca208-04b3-4f4c-b58f-702eafc53c55};6;P;2110;MAT-U-509;{33958d9f-9757-4a60-a72f-5eb2ff030f4f};303
{0baca208-04b3-4f4c-b58f-702eafc53c55};7;K;3.2;KERF;{33958d9f-9757-4a60-a72f-5eb2ff030f4f};303
{18f4ee5b-0624-457f-8b54-075a92c34ebf};0;P;2715;MAT-U-511;{e1c33bf6-e36c-46b4-a7ed-15b2aa345366};305
{18f4ee5b-0624-457f-8b54-075a92c34ebf};1;K;3.2;KERF;{e1c33bf6-e36c-46b4-a7ed-15b2aa345366};305
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};2;P;1967;MAT-U-514;{51d310a5-5ec6-42f0-9ed3-fd4c4b02a82f};302
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};3;K;3.2;KERF;{51d310a5-5ec6-42f0-9ed3-fd4c4b02a82f};302
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};4;P;2017;MAT-U-515;{27c034d9-254c-4bd2-871d-871cc2d58de1};303
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};5;K;3.2;KERF;{27c034d9-254c-4bd2-871d-871cc2d58de1};303
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};6;P;2597;MAT-U-516;{933b4062-1f97-4dc9-ab0a-c3b77601dbb1};305
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};7;K;3.2;KERF;{933b4062-1f97-4dc9-ab0a-c3b77601dbb1};305
{74eba19a-0f1a-47c6-8cd2-d24ff1cad028};0;P;175;MAT-U-518;{25a147b4-b4f4-4f91-9b82-13c395bf5060};301
{74eba19a-0f1a-47c6-8cd2-d24ff1cad028};1;K;2;KERF;{25a147b4-b4f4-4f91-9b82-13c395bf5060};301
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};2;P;2257;MAT-U-521;{40b76df8-ce7b-44c5-8c2e-f9aa098ce441};301
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};3;K;3.2;KERF;{40b76df8-ce7b-44c5-8c2e-f9aa098ce441};301
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};4;P;2257;MAT-U-522;{4b1dd7b7-1c30-4893-a78c-1cec5268d524};302
