#VERSION 2
#CUTPLANS
{ec5e16fd-d7a4-46ae-97eb-1dfd1289ad2e};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-A-446;11007664;;RST-A-446;1125
{50e39999-83e7-4093-974f-409c8ad4701e};1;NOT_STARTED;Rod-D;NP-T-9010;CM2;3.2;STOCK;MAT-U-567;4;;MAT-U-567;6000
{96328dfa-7274-43c2-8800-7199036d7fce};2;NOT_STARTED;Rod-E;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-097;4;;RST-C-097;3325
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};3;NOT_STARTED;Rod-F;NP-CZ-9010;CM2;3.2;REUSABLE;RSM-971;4;;RSM-971;4450
{6f8be961-7a36-4aba-85de-07344fa5749d};4;NOT_STARTED;Rod-G;NP-BAR22-3000;CM1;2;REUSABLE;RSM-623;4;TOLDAS_TOLDAT;RSM-623;1000
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};5;NOT_STARTED;Rod-H;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-579;4;;MAT-U-579;7000
{5ec0dad8-2db3-4b69-9b93-aa911c51399b};6;NOT_STARTED;Rod-J;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;4;;RSM-793;2020
{d8a533fa-02d1-4406-9e9d-1f0799d10265};7;NOT_STARTED;Rod-K;NP-TF-9010;CM2;3.2;STOCK;MAT-U-586;4;;MAT-U-586;6000
{893c2403-08d8-48ec-8aeb-ec2d024ef788};8;NOT_STARTED;Rod-M;NP-BAR20-6000;CM1;2;STOCK;MAT-U-591;4;;MAT-U-591;6150
{0d2bd0af-097d-4032-836f-4d64fab54e36};9;NOT_STARTED;Rod-N;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;4;;RSM-792;2130
{15803bdf-15e6-4efd-b919-6ed5428c6f60};10;NOT_STARTED;Rod-P;NP-CZ-9010;CM2;3.2;REUSABLE;RSM-970;4;;RSM-970;2875
{ddc6de7a-adbc-4331-aa7d-858e2eb95ece};11;NOT_STARTED;Rod-Q;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-795;4;;RSM-795;2130
{f32cb381-91c4-48c8-af2a-afc9959ba37b};12;NOT_STARTED;Rod-R;NP-T-9010;CM2;3.2;STOCK;MAT-U-601;4;;MAT-U-601;6000
{8ff4dce0-b385-4056-a60d-e87aad79197c};13;NOT_STARTED;Rod-S;NP-CZ-9010;CM2;3.2;REUSABLE;RSM-969;4;;RSM-969;2275
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};14;NOT_STARTED;Rod-T;NP-BAR20-6000;CM1;2;STOCK;MAT-U-607;4;;MAT-U-607;6150
{c2891489-b3e0-42d1-ab19-89455c5af96d};15;NOT_STARTED;Rod-U;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-611;4;;MAT-U-611;7000
{0d08abf2-e4b4-44af-a4c6-4c73a64bbd10};16;NOT_STARTED;Rod-V;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-615;4;;MAT-U-615;6000
{9d848d1b-0a4b-48a8-9ebc-4597bed31ce3};17;NOT_STARTED;Rod-W;NP-TF-9010;CM2;3.2;STOCK;MAT-U-619;4;;MAT-U-619;6000
{cc9b7cb2-ed2a-44fd-bf7b-e98dba9dfb93};18;NOT_STARTED;Rod-X;NP-CZ-9010;CM2;3.2;STOCK;MAT-U-622;4;;MAT-U-622;7000
{d0c5947f-752f-4967-8aba-2841c7ffcee9};19;NOT_STARTED;Rod-Y;NP-CLB2;CM2;3.2;REUSABLE;RSM-908;1;;RSM-908;3690
#SEGMENTS
{ec5e16fd-d7a4-46ae-97eb-1dfd1289ad2e};0;P;1125;MAT-U-565;{8c36a6a7-0164-469d-af70-84bfe3734248};301
{50e39999-83e7-4093-974f-409c8ad4701e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{50e39999-83e7-4093-974f-409c8ad4701e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{50e39999-83e7-4093-974f-409c8ad4701e};2;P;1470;MAT-U-568;{ca086487-fbc7-4231-988e-083c68add03a};301
{50e39999-83e7-4093-974f-409c8ad4701e};3;K;3.2;KERF;{ca086487-fbc7-4231-988e-083c68add03a};301
{50e39999-83e7-4093-974f-409c8ad4701e};4;P;2060;MAT-U-569;{58469723-9b37-488a-a246-98ced2d24cbb};302
{50e39999-83e7-4093-974f-409c8ad4701e};5;K;3.2;KERF;{58469723-9b37-488a-a246-98ced2d24cbb};302
{50e39999-83e7-4093-974f-409c8ad4701e};6;P;2110;MAT-U-570;{6a392269-80ad-4120-bfdf-3b1ae9bcc2fc};303
{50e39999-83e7-4093-974f-409c8ad4701e};7;K;3.2;KERF;{6a392269-80ad-4120-bfdf-3b1ae9bcc2fc};303
{96328dfa-7274-43c2-8800-7199036d7fce};0;P;2715;MAT-U-572;{7a81f402-d07a-414a-a644-9752e6c7a25f};305
{96328dfa-7274-43c2-8800-7199036d7fce};1;K;3.2;KERF;{7a81f402-d07a-414a-a644-9752e6c7a25f};305
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};0;P;1967;MAT-U-574;{850251ee-5bb0-436d-83a2-5d6c5c13604e};302
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};1;K;3.2;KERF;{850251ee-5bb0-436d-83a2-5d6c5c13604e};302
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};2;P;2017;MAT-U-575;{f830183e-45cb-45c4-85c8-53652bd9361d};303
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};3;K;3.2;KERF;{f830183e-45cb-45c4-85c8-53652bd9361d};303
{6f8be961-7a36-4aba-85de-07344fa5749d};0;P;175;MAT-U-577;{fd4f9d05-0f1c-44a6-afab-df9548f0bc17};301
{6f8be961-7a36-4aba-85de-07344fa5749d};1;K;2;KERF;{fd4f9d05-0f1c-44a6-afab-df9548f0bc17};301
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};2;P;2257;MAT-U-580;{4057d5e6-aa0e-4a7d-8e8d-14b5129cfd5a};301
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};3;K;3.2;KERF;{4057d5e6-aa0e-4a7d-8e8d-14b5129cfd5a};301
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};4;P;2257;MAT-U-581;{ad77a038-3e42-4a71-a9bb-512f635bf317};302
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};5;K;3.2;KERF;{ad77a038-3e42-4a71-a9bb-512f635bf317};302
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};6;P;2267;MAT-U-582;{eb90eb82-1cf5-4062-aa91-5f7f946ec216};304
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};7;K;3.2;KERF;{eb90eb82-1cf5-4062-aa91-5f7f946ec216};304
{5ec0dad8-2db3-4b69-9b93-aa911c51399b};0;P;1389;MAT-U-584;{309225a9-e4b2-47ad-b9e1-36f9b96e2673};301
{5ec0dad8-2db3-4b69-9b93-aa911c51399b};1;K;2;KERF;{309225a9-e4b2-47ad-b9e1-36f9b96e2673};301
{d8a533fa-02d1-4406-9e9d-1f0799d10265};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d8a533fa-02d1-4406-9e9d-1f0799d10265};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d8a533fa-02d1-4406-9e9d-1f0799d10265};2;P;1495;MAT-U-587;{99c031b9-7b44-41ea-9316-bc24738c503f};301
{d8a533fa-02d1-4406-9e9d-1f0799d10265};3;K;3.2;KERF;{99c031b9-7b44-41ea-9316-bc24738c503f};301
{d8a533fa-02d1-4406-9e9d-1f0799d10265};4;P;2085;MAT-U-588;{3d154cb9-9f6b-466d-961f-4ad8c8c0c596};302
{d8a533fa-02d1-4406-9e9d-1f0799d10265};5;K;3.2;KERF;{3d154cb9-9f6b-466d-961f-4ad8c8c0c596};302
{d8a533fa-02d1-4406-9e9d-1f0799d10265};6;P;2135;MAT-U-589;{0b658063-df32-4d7a-a829-d5a2752edb7c};303
{d8a533fa-02d1-4406-9e9d-1f0799d10265};7;K;3.2;KERF;{0b658063-df32-4d7a-a829-d5a2752edb7c};303
{893c2403-08d8-48ec-8aeb-ec2d024ef788};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{893c2403-08d8-48ec-8aeb-ec2d024ef788};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{893c2403-08d8-48ec-8aeb-ec2d024ef788};2;P;2445;MAT-U-592;{d7c7aafb-c8ed-4d72-b45f-8ee0ea63d5b9};304
{893c2403-08d8-48ec-8aeb-ec2d024ef788};3;K;2;KERF;{d7c7aafb-c8ed-4d72-b45f-8ee0ea63d5b9};304
{893c2403-08d8-48ec-8aeb-ec2d024ef788};4;P;2545;MAT-U-593;{62e1737c-82d0-47dc-91f0-6684b819fdb3};305
{893c2403-08d8-48ec-8aeb-ec2d024ef788};5;K;2;KERF;{62e1737c-82d0-47dc-91f0-6684b819fdb3};305
{0d2bd0af-097d-4032-836f-4d64fab54e36};0;P;2029;MAT-U-595;{a1c4d0fe-0e20-4b5c-a5bd-4f30436b17b1};303
{0d2bd0af-097d-4032-836f-4d64fab54e36};1;K;2;KERF;{a1c4d0fe-0e20-4b5c-a5bd-4f30436b17b1};303
{15803bdf-15e6-4efd-b919-6ed5428c6f60};0;P;2597;MAT-U-597;{f337cc7e-3c3a-4a75-a7a2-10874cef5295};305
{15803bdf-15e6-4efd-b919-6ed5428c6f60};1;K;3.2;KERF;{f337cc7e-3c3a-4a75-a7a2-10874cef5295};305
{ddc6de7a-adbc-4331-aa7d-858e2eb95ece};0;P;1979;MAT-U-599;{2903bc14-3c9d-4df9-8342-c953774e7ebf};302
{ddc6de7a-adbc-4331-aa7d-858e2eb95ece};1;K;2;KERF;{2903bc14-3c9d-4df9-8342-c953774e7ebf};302
{f32cb381-91c4-48c8-af2a-afc9959ba37b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f32cb381-91c4-48c8-af2a-afc9959ba37b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f32cb381-91c4-48c8-af2a-afc9959ba37b};2;P;2590;MAT-U-602;{5851dfc1-9daa-410e-9ee6-6ee1a5cfff67};304
{f32cb381-91c4-48c8-af2a-afc9959ba37b};3;K;3.2;KERF;{5851dfc1-9daa-410e-9ee6-6ee1a5cfff67};304
{f32cb381-91c4-48c8-af2a-afc9959ba37b};4;P;2690;MAT-U-603;{95bc8134-b42e-4ae5-8fcc-f3b17f66e636};305
{f32cb381-91c4-48c8-af2a-afc9959ba37b};5;K;3.2;KERF;{95bc8134-b42e-4ae5-8fcc-f3b17f66e636};305
{8ff4dce0-b385-4056-a60d-e87aad79197c};0;P;1377;MAT-U-605;{483c0f60-b2b7-41bf-ad0b-e3110cd4dd6c};301
{8ff4dce0-b385-4056-a60d-e87aad79197c};1;K;3.2;KERF;{483c0f60-b2b7-41bf-ad0b-e3110cd4dd6c};301
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};2;P;1915;MAT-U-608;{c4cb92cf-f73a-48e4-aa10-d72cb101f910};302
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};3;K;2;KERF;{c4cb92cf-f73a-48e4-aa10-d72cb101f910};302
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};4;P;1965;MAT-U-609;{cfc7c879-c7fb-48ca-b216-6b102eb3e512};303
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};5;K;2;KERF;{cfc7c879-c7fb-48ca-b216-6b102eb3e512};303
