#VERSION 2
#CUTPLANS
{b47d219f-6f21-449d-9905-7479eb457da5};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;47387712;;RSM-481;1720
{f62f3f25-f837-43c3-b929-fe875de79996};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-709;1;;MAT-U-709;5000
{70d0da7c-fd4d-4e34-9568-2803d04075b8};2;NOT_STARTED;Rod-E;NP-TF;CM2;3.2;STOCK;MAT-U-712;1;;MAT-U-712;6000
{d719a828-da6d-4080-a44b-4d303bb8b1af};3;NOT_STARTED;Rod-F;NP-T;CM2;3.2;STOCK;MAT-U-716;1;;MAT-U-716;6000
{5eee5ff7-3af5-4ce1-bef8-47bd1b7c4af1};4;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;1;;L=2990;2990
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};5;NOT_STARTED;Rod-H;NP-SZ;CM2;3.2;STOCK;MAT-U-722;1;;MAT-U-722;6000
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};6;NOT_STARTED;Rod-J;NP-SL2;CM2;3.2;STOCK;MAT-U-726;1;;MAT-U-726;6000
{fe1d56e3-475f-4807-88e0-aac40556833a};7;NOT_STARTED;Rod-K;NP-SL2;CM2;3.2;STOCK;MAT-U-729;1;;MAT-U-729;6000
{1ba77a6a-1666-4e5f-85a6-873d7c7da797};8;NOT_STARTED;Rod-M;NP-BAR12-4000;CM1;2;REUSABLE;RSM-568;1;TOLDAS_TOLDAT;RSM-568;1090
{ef947eea-67f4-4f6d-891d-40de9a430efa};9;NOT_STARTED;Rod-N;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-735;1;;MAT-U-735;6000
{863efc35-100c-40d5-b427-ebf784aca5dd};10;NOT_STARTED;Rod-P;NP-BAR12-4000;CM1;2;STOCK;MAT-U-739;1;;MAT-U-739;4000
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};11;NOT_STARTED;Rod-Q;NP-TF;CM2;3.2;STOCK;MAT-U-742;1;;MAT-U-742;6000
{6a9ecae5-076f-4c5a-82b7-f125c64de587};12;NOT_STARTED;Rod-R;NP-CL2+CLT2+CLB2-9010;CM2;3.2;REUSABLE;RSM-975;1;;RSM-975;4600
{fd239bd1-6337-481c-9ee2-bd0a02538486};13;NOT_STARTED;Rod-S;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-747;1;;MAT-U-747;7000
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};14;NOT_STARTED;Rod-T;NP-T;CM2;3.2;STOCK;MAT-U-750;1;;MAT-U-750;6000
{a1c9315b-9968-499e-901f-933b2ab30c78};15;NOT_STARTED;Rod-U;NP-SZ;CM2;3.2;STOCK;MAT-U-754;1;;MAT-U-754;6000
{7f591f11-5a4f-446d-b9ee-fc95f0c40dd0};16;NOT_STARTED;Rod-V;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-097;1;;RST-C-097;3325
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};17;NOT_STARTED;Rod-W;NP-BAR20-6000;CM1;2;STOCK;MAT-U-760;1;;MAT-U-760;6150
{af577ce4-4e84-47de-99ca-2c9e574a8773};18;NOT_STARTED;Rod-X;NP-BAR12-4000;CM1;2;STOCK;MAT-U-764;1;;MAT-U-764;4000
{c351458f-81de-420a-8372-cda1d8fa4095};19;NOT_STARTED;Rod-Y;NP-T-9010;CM2;3.2;STOCK;MAT-U-767;1;;MAT-U-767;6000
{4e8b2a02-c8fd-4110-96a3-39f4908f3b7c};20;NOT_STARTED;Rod-AA;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-574;1;;RST-C-574;4475
{015214c6-94b6-44ce-97fd-4b18f2e8379b};21;NOT_STARTED;Rod-AB;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-773;1;;MAT-U-773;6000
{9376a4e3-ba44-48f4-846e-28d44f83a24c};22;NOT_STARTED;Rod-AC;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-573;1;;RST-C-573;3350
{c9d65b71-464a-453d-b999-1cd60d024a12};23;NOT_STARTED;Rod-AD;NP-BAR12-4000;CM1;2;STOCK;MAT-U-778;1;;MAT-U-778;4000
{6acfdf36-f8dc-4231-ab16-8d6647c489aa};24;NOT_STARTED;Rod-AE;NP-CZ-9010;CM2;3.2;STOCK;MAT-U-781;1;;MAT-U-781;7000
#SEGMENTS
{b47d219f-6f21-449d-9905-7479eb457da5};0;P;1720;MAT-U-708;{f7030234-11ef-4fe7-99d5-f34395a0cca3};326
{f62f3f25-f837-43c3-b929-fe875de79996};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{f62f3f25-f837-43c3-b929-fe875de79996};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{f62f3f25-f837-43c3-b929-fe875de79996};2;P;2856;MAT-U-710;{bffde481-aa6d-40ef-a420-9d73576d8e8d};325 1/2
{f62f3f25-f837-43c3-b929-fe875de79996};3;K;2;KERF;{bffde481-aa6d-40ef-a420-9d73576d8e8d};325 1/2
{f62f3f25-f837-43c3-b929-fe875de79996};4;P;2106;MAT-U-711;{97f5d467-4820-4040-9a85-4e44a67c3f99};326
{f62f3f25-f837-43c3-b929-fe875de79996};5;K;2;KERF;{97f5d467-4820-4040-9a85-4e44a67c3f99};326
{70d0da7c-fd4d-4e34-9568-2803d04075b8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{70d0da7c-fd4d-4e34-9568-2803d04075b8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{70d0da7c-fd4d-4e34-9568-2803d04075b8};2;P;2895;MAT-U-713;{30a9419c-b91a-4f69-90d0-e11896a77ad7};325 1/2
{70d0da7c-fd4d-4e34-9568-2803d04075b8};3;K;3.2;KERF;{30a9419c-b91a-4f69-90d0-e11896a77ad7};325 1/2
{70d0da7c-fd4d-4e34-9568-2803d04075b8};4;P;2895;MAT-U-714;{b8a75860-6bca-40c2-bf72-5cb39ae5daa8};325 2/2
{70d0da7c-fd4d-4e34-9568-2803d04075b8};5;K;3.2;KERF;{b8a75860-6bca-40c2-bf72-5cb39ae5daa8};325 2/2
{d719a828-da6d-4080-a44b-4d303bb8b1af};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d719a828-da6d-4080-a44b-4d303bb8b1af};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d719a828-da6d-4080-a44b-4d303bb8b1af};2;P;2895;MAT-U-717;{1ad48d92-1317-40e6-b29a-ca72a049119a};325 1/2
{d719a828-da6d-4080-a44b-4d303bb8b1af};3;K;3.2;KERF;{1ad48d92-1317-40e6-b29a-ca72a049119a};325 1/2
{d719a828-da6d-4080-a44b-4d303bb8b1af};4;P;2895;MAT-U-718;{2ab586ca-fd15-4e8f-959c-557cc5bd8dc2};325 2/2
{d719a828-da6d-4080-a44b-4d303bb8b1af};5;K;3.2;KERF;{2ab586ca-fd15-4e8f-959c-557cc5bd8dc2};325 2/2
{5eee5ff7-3af5-4ce1-bef8-47bd1b7c4af1};0;P;2856;MAT-U-720;{a0b54731-3d22-4363-a3cf-61d2285f167a};325 2/2
{5eee5ff7-3af5-4ce1-bef8-47bd1b7c4af1};1;K;2;KERF;{a0b54731-3d22-4363-a3cf-61d2285f167a};325 2/2
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};2;P;2825;MAT-U-723;{edfbaf8d-9322-4584-8c02-0d100132cb9c};325 1/2
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};3;K;3.2;KERF;{edfbaf8d-9322-4584-8c02-0d100132cb9c};325 1/2
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};4;P;2825;MAT-U-724;{72d3533b-079d-4eb2-a477-f26827f4ae62};325 2/2
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};5;K;3.2;KERF;{72d3533b-079d-4eb2-a477-f26827f4ae62};325 2/2
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};2;P;2048;MAT-U-727;{e0d9743e-25c0-475a-836e-8c202e847136};325 1/2
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};3;K;3.2;KERF;{e0d9743e-25c0-475a-836e-8c202e847136};325 1/2
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};4;P;2048;MAT-U-728;{fcd74d77-3df2-47b8-addc-87b5bd6a6cce};325 2/2
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};5;K;3.2;KERF;{fcd74d77-3df2-47b8-addc-87b5bd6a6cce};325 2/2
{fe1d56e3-475f-4807-88e0-aac40556833a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
