#VERSION 2
#CUTPLANS
{85179f60-6f56-4cf0-b27e-96a889407c47};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;38004896;;RSM-481;1720
{6d5289cd-ace2-4f36-9ce9-d971905a9564};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-785;2;;MAT-U-785;5000
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};2;NOT_STARTED;Rod-E;NP-TF;CM2;3.2;STOCK;MAT-U-788;2;;MAT-U-788;6000
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};3;NOT_STARTED;Rod-F;NP-T;CM2;3.2;STOCK;MAT-U-792;2;;MAT-U-792;6000
{1376c3c9-85a8-4c80-923a-6ea3df669345};4;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;2;;L=2990;2990
{afd9757e-8dec-413a-9442-10b3f5ee8962};5;NOT_STARTED;Rod-H;NP-SZ;CM2;3.2;STOCK;MAT-U-798;2;;MAT-U-798;6000
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};6;NOT_STARTED;Rod-J;NP-SL2;CM2;3.2;STOCK;MAT-U-802;2;;MAT-U-802;6000
{393cd10a-f15c-4d0f-9274-44fe2030201f};7;NOT_STARTED;Rod-K;NP-SL2;CM2;3.2;STOCK;MAT-U-805;2;;MAT-U-805;6000
{2b2b9c68-9df6-49f8-ac48-727f33aad687};8;NOT_STARTED;Rod-M;NP-BAR12-4000;CM1;2;REUSABLE;RSM-568;2;TOLDAS_TOLDAT;RSM-568;1090
{606ad26d-798d-4ff4-88b1-62e83e951577};9;NOT_STARTED;Rod-N;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-811;2;;MAT-U-811;6000
{9547217a-cd74-4eee-9ec9-216665b79640};10;NOT_STARTED;Rod-P;NP-BAR12-4000;CM1;2;STOCK;MAT-U-815;2;;MAT-U-815;4000
{2e5bf6da-da0c-49fa-b2f0-8347ea7a7913};11;NOT_STARTED;Rod-Q;NP-TF;CM2;3.2;STOCK;MAT-U-818;2;;MAT-U-818;6000
{77768494-f636-48ce-9dc7-e38c11467f41};12;NOT_STARTED;Rod-R;NP-CL2+CLT2+CLB2-9010;CM2;3.2;REUSABLE;RSM-975;2;;RSM-975;4600
{4d5fa1af-f7d6-4a37-8ec2-e768411e69f9};13;NOT_STARTED;Rod-S;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-823;2;;MAT-U-823;7000
{65270111-bbb3-4334-be11-ebbc337783fd};14;NOT_STARTED;Rod-T;NP-T;CM2;3.2;STOCK;MAT-U-826;2;;MAT-U-826;6000
{5cbce515-c81e-4542-b0e6-feff3721b806};15;NOT_STARTED;Rod-U;NP-SZ;CM2;3.2;STOCK;MAT-U-830;2;;MAT-U-830;6000
{8ea10fc7-000e-49d3-b505-4b6e8f2c5813};16;NOT_STARTED;Rod-V;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-573;2;;RST-C-573;3350
{2563cbd4-6496-4fb2-962c-b6fc421f3783};17;NOT_STARTED;Rod-W;NP-BAR20-6000;CM1;2;STOCK;MAT-U-836;2;;MAT-U-836;6150
{22008e87-7a1e-4072-aac9-4b71dffb5ac7};18;NOT_STARTED;Rod-X;NP-BAR12-4000;CM1;2;STOCK;MAT-U-840;2;;MAT-U-840;4000
{c933c5fe-2265-42b3-bee3-0b27c083297d};19;NOT_STARTED;Rod-Y;NP-T-9010;CM2;3.2;STOCK;MAT-U-843;2;;MAT-U-843;6000
{fe770c9f-0a5d-436f-a6dd-80239eea2963};20;NOT_STARTED;Rod-AA;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-574;2;;RST-C-574;4475
{38b5e7dd-5c1b-4e70-b1cc-7c14e5b009c3};21;NOT_STARTED;Rod-AB;NP-ROLL70-6000;CM1;2;STOCK;MAT-U-849;2;;MAT-U-849;6000
{97d44543-40e2-47fd-a5a7-f537e86347b8};22;NOT_STARTED;Rod-AC;NP-TF-9010;CM2;3.2;STOCK;MAT-U-852;2;;MAT-U-852;6000
{9fe4ac69-ba32-4354-8c22-0bb3844813ce};23;NOT_STARTED;Rod-AD;NP-BAR12-4000;CM1;2;STOCK;MAT-U-855;2;;MAT-U-855;4000
{dd79e537-8000-4eed-8c06-057daf25bf68};24;NOT_STARTED;Rod-AE;NP-CZ-9010;CM2;3.2;STOCK;MAT-U-858;2;;MAT-U-858;7000
#SEGMENTS
{85179f60-6f56-4cf0-b27e-96a889407c47};0;P;1720;MAT-U-784;{30ab2426-1c7b-4739-a425-76b1217af3a6};326
{6d5289cd-ace2-4f36-9ce9-d971905a9564};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6d5289cd-ace2-4f36-9ce9-d971905a9564};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{6d5289cd-ace2-4f36-9ce9-d971905a9564};2;P;2856;MAT-U-786;{cbd68564-f46d-4d08-98bc-5515ecbba8ca};325 1/2
{6d5289cd-ace2-4f36-9ce9-d971905a9564};3;K;2;KERF;{cbd68564-f46d-4d08-98bc-5515ecbba8ca};325 1/2
{6d5289cd-ace2-4f36-9ce9-d971905a9564};4;P;2106;MAT-U-787;{8e0507b4-889c-4ddc-85ed-bbf34f9cde3d};326
{6d5289cd-ace2-4f36-9ce9-d971905a9564};5;K;2;KERF;{8e0507b4-889c-4ddc-85ed-bbf34f9cde3d};326
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};2;P;2895;MAT-U-789;{d54fa76c-fcc3-4be3-aa79-a4f5c6ed0410};325 1/2
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};3;K;3.2;KERF;{d54fa76c-fcc3-4be3-aa79-a4f5c6ed0410};325 1/2
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};4;P;2895;MAT-U-790;{b2742b2f-41ea-4f8d-84f0-e05c5caef199};325 2/2
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};5;K;3.2;KERF;{b2742b2f-41ea-4f8d-84f0-e05c5caef199};325 2/2
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};2;P;2895;MAT-U-793;{9416d294-ed72-487b-8685-d0e23b2a6c17};325 1/2
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};3;K;3.2;KERF;{9416d294-ed72-487b-8685-d0e23b2a6c17};325 1/2
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};4;P;2895;MAT-U-794;{aabb1c91-3f7a-4114-8614-17fe67ae95b5};325 2/2
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};5;K;3.2;KERF;{aabb1c91-3f7a-4114-8614-17fe67ae95b5};325 2/2
{1376c3c9-85a8-4c80-923a-6ea3df669345};0;P;2856;MAT-U-796;{e939838f-e7ce-411e-a9b0-bac1efe7239e};325 2/2
{1376c3c9-85a8-4c80-923a-6ea3df669345};1;K;2;KERF;{e939838f-e7ce-411e-a9b0-bac1efe7239e};325 2/2
{afd9757e-8dec-413a-9442-10b3f5ee8962};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{afd9757e-8dec-413a-9442-10b3f5ee8962};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{afd9757e-8dec-413a-9442-10b3f5ee8962};2;P;2825;MAT-U-799;{44b38d91-8259-4a79-8026-157cec8ade90};325 1/2
{afd9757e-8dec-413a-9442-10b3f5ee8962};3;K;3.2;KERF;{44b38d91-8259-4a79-8026-157cec8ade90};325 1/2
{afd9757e-8dec-413a-9442-10b3f5ee8962};4;P;2825;MAT-U-800;{f423edc6-3e3c-4084-acd5-302db5d86505};325 2/2
{afd9757e-8dec-413a-9442-10b3f5ee8962};5;K;3.2;KERF;{f423edc6-3e3c-4084-acd5-302db5d86505};325 2/2
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};2;P;2048;MAT-U-803;{b9462586-d224-4cbc-b2fc-38883cd45cb1};325 1/2
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};3;K;3.2;KERF;{b9462586-d224-4cbc-b2fc-38883cd45cb1};325 1/2
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};4;P;2048;MAT-U-804;{67a65ba4-cac2-4f34-94cb-25848228d9ff};325 2/2
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};5;K;3.2;KERF;{67a65ba4-cac2-4f34-94cb-25848228d9ff};325 2/2
{393cd10a-f15c-4d0f-9274-44fe2030201f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{393cd10a-f15c-4d0f-9274-44fe2030201f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{393cd10a-f15c-4d0f-9274-44fe2030201f};2;P;2048;MAT-U-806;{4c9540bf-7042-416b-95c3-2ae02cda5cf2};326
{393cd10a-f15c-4d0f-9274-44fe2030201f};3;K;3.2;KERF;{4c9540bf-7042-416b-95c3-2ae02cda5cf2};326
{393cd10a-f15c-4d0f-9274-44fe2030201f};4;P;2048;MAT-U-807;{fe55614c-40d5-43b5-b270-cd91a6325d0d};327
{393cd10a-f15c-4d0f-9274-44fe2030201f};5;K;3.2;KERF;{fe55614c-40d5-43b5-b270-cd91a6325d0d};327
{2b2b9c68-9df6-49f8-ac48-727f33aad687};0;P;285;MAT-U-809;{590f89f8-0237-421d-a44e-c408567dc415};326
{2b2b9c68-9df6-49f8-ac48-727f33aad687};1;K;2;KERF;{590f89f8-0237-421d-a44e-c408567dc415};326
