#VERSION 2
#CUTPLANS
{2b0c4ff6-6bd8-4f74-848e-715666677d29};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;28309472;;RSM-481;1720
{0072add7-b9dc-411a-9a92-6354770295d6};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-862;1;;MAT-U-862;5000
{195a1fc3-13de-4c07-b8d4-e719b85cd0a9};2;NOT_STARTED;Rod-E;NP-BAR12-4000;CM1;2;REUSABLE;RSM-568;1;TOLDAS_TOLDAT;RSM-568;1090
{3ead0791-3557-467f-9165-378ee28f8968};3;NOT_STARTED;Rod-F;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;1;;L=2990;2990
{25a757c7-17db-4bc5-838f-cab3638591d0};4;NOT_STARTED;Rod-G;NP-SL2;CM2;3.2;STOCK;MAT-U-869;1;;MAT-U-869;6000
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};5;NOT_STARTED;Rod-H;NP-SL2;CM2;3.2;STOCK;MAT-U-872;1;;MAT-U-872;6000
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};6;NOT_STARTED;Rod-J;NP-TF;CM2;3.2;STOCK;MAT-U-876;1;;MAT-U-876;6000
{af829b96-451d-41a7-9f26-648f7d9ab0eb};7;NOT_STARTED;Rod-K;NP-SZ;CM2;3.2;STOCK;MAT-U-880;1;;MAT-U-880;6000
{fc1a2637-7161-4e21-8349-3c183d91226b};8;NOT_STARTED;Rod-M;NP-T;CM2;3.2;STOCK;MAT-U-884;1;;MAT-U-884;6000
{c33e4155-af59-4752-81b5-9967cfd7d439};9;NOT_STARTED;Rod-N;NP-BAR12-4000;CM1;2;STOCK;MAT-U-888;1;;MAT-U-888;4000
{5ce62ab4-fb21-4d2c-88fa-2acf0eee6082};10;NOT_STARTED;Rod-P;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-891;1;;MAT-U-891;5000
{19996193-f2dc-49f6-a59d-c08146460f98};11;NOT_STARTED;Rod-Q;NP-BAR12-4000;CM1;2;STOCK;MAT-U-894;1;;MAT-U-894;4000
{85c24621-ee2b-4a1c-8de6-779e02563c7a};12;NOT_STARTED;Rod-R;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-897;1;;MAT-U-897;5000
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};13;NOT_STARTED;Rod-S;NP-BAR20-6000;CM1;2;STOCK;MAT-U-900;1;;MAT-U-900;6150
{3c8001b1-f446-4aa7-82df-4a3cdf643cb7};14;NOT_STARTED;Rod-T;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-574;1;;RST-C-574;4475
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};15;NOT_STARTED;Rod-U;NP-TF;CM2;3.2;STOCK;MAT-U-906;1;;MAT-U-906;6000
{b383ae63-71cc-42b6-94d0-73c8fbb5a448};16;NOT_STARTED;Rod-V;NP-TF-9010;CM2;3.2;REUSABLE;RSM-982;1;;RSM-982;3250
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};17;NOT_STARTED;Rod-W;NP-SZ;CM2;3.2;STOCK;MAT-U-912;1;;MAT-U-912;6000
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};18;NOT_STARTED;Rod-X;NP-T-9010;CM2;3.2;STOCK;MAT-U-916;1;;MAT-U-916;6000
{5b72d094-f114-4a1a-a126-244372687421};19;NOT_STARTED;Rod-Y;NP-T;CM2;3.2;STOCK;MAT-U-920;1;;MAT-U-920;6000
{0cbe2552-de57-4da8-9fba-1b7715802ba6};20;NOT_STARTED;Rod-AA;NP-CL2+CLT2+CLB2-9010;CM2;3.2;REUSABLE;RSM-975;1;;RSM-975;4600
{e9878f0a-90c6-4a7c-b596-93502380556c};21;NOT_STARTED;Rod-AB;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-U-925;1;;MAT-U-925;7000
{6836a4a4-81e2-452a-8e04-52dca2adf21f};22;NOT_STARTED;Rod-AC;NP-BAR12-4000;CM1;2;STOCK;MAT-U-928;1;;MAT-U-928;4000
{9fb99be6-380f-4769-a799-62e4d26ee2cf};23;NOT_STARTED;Rod-AD;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-931;1;;MAT-U-931;5000
{fe9ec26c-c1b1-4051-839f-c327086594d0};24;NOT_STARTED;Rod-AE;NP-CZ-9010;CM2;3.2;STOCK;MAT-U-934;1;;MAT-U-934;7000
{4886e9d4-b64d-4cb1-8648-bdebb15523fa};25;NOT_STARTED;Rod-AF;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-573;1;;RST-C-573;3350
#SEGMENTS
{2b0c4ff6-6bd8-4f74-848e-715666677d29};0;P;1720;MAT-U-861;{1adbc6fd-3ac7-404d-9e91-f8d52f46194c};326
{0072add7-b9dc-411a-9a92-6354770295d6};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{0072add7-b9dc-411a-9a92-6354770295d6};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{0072add7-b9dc-411a-9a92-6354770295d6};2;P;2856;MAT-U-863;{0a997966-0818-4d38-bc2e-18239eb8ebd5};325 1/2
{0072add7-b9dc-411a-9a92-6354770295d6};3;K;2;KERF;{0a997966-0818-4d38-bc2e-18239eb8ebd5};325 1/2
{0072add7-b9dc-411a-9a92-6354770295d6};4;P;2106;MAT-U-864;{0a1654e1-2e54-4011-8ed1-dcc5478bb820};326
{0072add7-b9dc-411a-9a92-6354770295d6};5;K;2;KERF;{0a1654e1-2e54-4011-8ed1-dcc5478bb820};326
{195a1fc3-13de-4c07-b8d4-e719b85cd0a9};0;P;285;MAT-U-865;{9629bfae-2a71-4689-bda6-2a5b2e56da5f};326
{195a1fc3-13de-4c07-b8d4-e719b85cd0a9};1;K;2;KERF;{9629bfae-2a71-4689-bda6-2a5b2e56da5f};326
{3ead0791-3557-467f-9165-378ee28f8968};0;P;2856;MAT-U-867;{066daa9e-c43d-4107-ba3a-ff35a0cc1fca};325 2/2
{3ead0791-3557-467f-9165-378ee28f8968};1;K;2;KERF;{066daa9e-c43d-4107-ba3a-ff35a0cc1fca};325 2/2
{25a757c7-17db-4bc5-838f-cab3638591d0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{25a757c7-17db-4bc5-838f-cab3638591d0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{25a757c7-17db-4bc5-838f-cab3638591d0};2;P;2048;MAT-U-870;{f3974d7e-3062-47fd-8c5b-3def1cccf04f};325 1/2
{25a757c7-17db-4bc5-838f-cab3638591d0};3;K;3.2;KERF;{f3974d7e-3062-47fd-8c5b-3def1cccf04f};325 1/2
{25a757c7-17db-4bc5-838f-cab3638591d0};4;P;2048;MAT-U-871;{aad46370-a010-43f5-a892-97f14fb6bccf};325 2/2
{25a757c7-17db-4bc5-838f-cab3638591d0};5;K;3.2;KERF;{aad46370-a010-43f5-a892-97f14fb6bccf};325 2/2
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};2;P;2048;MAT-U-873;{8b33aab6-bced-416f-b84f-02d447d03d48};326
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};3;K;3.2;KERF;{8b33aab6-bced-416f-b84f-02d447d03d48};326
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};4;P;2048;MAT-U-874;{f542bcf9-9a89-40b1-b0be-6e6c6779370f};327
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};5;K;3.2;KERF;{f542bcf9-9a89-40b1-b0be-6e6c6779370f};327
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};2;P;2895;MAT-U-877;{7ecf4dc2-26b4-4633-8aaf-c149e5bc795c};325 1/2
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};3;K;3.2;KERF;{7ecf4dc2-26b4-4633-8aaf-c149e5bc795c};325 1/2
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};4;P;2895;MAT-U-878;{a52fd075-2135-4f21-8f0c-c312a7294e5c};325 2/2
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};5;K;3.2;KERF;{a52fd075-2135-4f21-8f0c-c312a7294e5c};325 2/2
{af829b96-451d-41a7-9f26-648f7d9ab0eb};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{af829b96-451d-41a7-9f26-648f7d9ab0eb};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{af829b96-451d-41a7-9f26-648f7d9ab0eb};2;P;2825;MAT-U-881;{735f73a5-5ba1-4269-b0a2-9ebcbbd147a5};325 1/2
{af829b96-451d-41a7-9f26-648f7d9ab0eb};3;K;3.2;KERF;{735f73a5-5ba1-4269-b0a2-9ebcbbd147a5};325 1/2
{af829b96-451d-41a7-9f26-648f7d9ab0eb};4;P;2825;MAT-U-882;{6ffa6ff3-a48a-4205-86a1-e6c872ca37c8};325 2/2
{af829b96-451d-41a7-9f26-648f7d9ab0eb};5;K;3.2;KERF;{6ffa6ff3-a48a-4205-86a1-e6c872ca37c8};325 2/2
