#VERSION 2
#CUTPLANS
{922ed33a-3d8d-42eb-a911-d5b075f94cd8};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;73159184;;RSM-481;1720
{e2208caa-5b67-446c-801a-f5c5fc925b84};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-940;2;;MAT-U-940;5000
{bd3c8743-6cb4-4fae-9b87-923d0735ea37};2;NOT_STARTED;Rod-E;NP-BAR12-4000;CM1;2;REUSABLE;RSM-568;2;TOLDAS_TOLDAT;RSM-568;1090
{4ff4ddc2-a7c3-4c96-8bd0-218113029a35};3;NOT_STARTED;Rod-F;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;2;;L=2990;2990
{54fd5947-5f03-4f84-bc48-f16097177996};4;NOT_STARTED;Rod-G;NP-SL2;CM2;3.2;STOCK;MAT-U-947;2;;MAT-U-947;6000
{675229d4-8cac-4bad-a215-1643de18fdff};5;NOT_STARTED;Rod-H;NP-SL2;CM2;3.2;STOCK;MAT-U-950;2;;MAT-U-950;6000
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};6;NOT_STARTED;Rod-J;NP-TF;CM2;3.2;STOCK;MAT-U-954;2;;MAT-U-954;6000
{0531e03b-de82-40e4-93ad-7eab2a58feab};7;NOT_STARTED;Rod-K;NP-SZ;CM2;3.2;STOCK;MAT-U-958;2;;MAT-U-958;6000
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};8;NOT_STARTED;Rod-M;NP-T;CM2;3.2;STOCK;MAT-U-962;2;;MAT-U-962;6000
{f2869bd7-57ed-45db-901e-1e971e51222a};9;NOT_STARTED;Rod-N;NP-BAR12-4000;CM1;2;STOCK;MAT-U-966;2;;MAT-U-966;4000
{a8d3514d-6ea8-4c78-807a-68f60ec32d48};10;NOT_STARTED;Rod-P;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-969;2;;MAT-U-969;5000
{8af634f7-5754-40b5-8733-063db35434cd};11;NOT_STARTED;Rod-Q;NP-BAR12-4000;CM1;2;STOCK;MAT-U-972;2;;MAT-U-972;4000
{ab8b1293-01af-4d1c-bda7-43264c1b2829};12;NOT_STARTED;Rod-R;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-975;2;;MAT-U-975;5000
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};13;NOT_STARTED;Rod-S;NP-BAR20-6000;CM1;2;STOCK;MAT-U-978;2;;MAT-U-978;6150
{94a1663f-7118-4375-84ff-92af81a504ed};14;NOT_STARTED;Rod-T;NP-CZ-9010;CM2;3.2;REUSABLE;RST-C-574;2;;RST-C-574;4475
{d1dd7a07-8c48-4333-973e-189c862c3a9c};15;NOT_STARTED;Rod-U;NP-TF;CM2;3.2;STOCK;MAT-U-984;2;;MAT-U-984;6000
{6c8aed13-1f21-4366-ac35-188d2b135c71};16;NOT_STARTED;Rod-V;NP-TF-9010;CM2;3.2;REUSABLE;RSM-982;2;;RSM-982;3250
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};17;NOT_STARTED;Rod-W;NP-SZ;CM2;3.2;STOCK;MAT-U-990;2;;MAT-U-990;6000
{d0e391ea-f559-4920-b209-193e1ed045f9};18;NOT_STARTED;Rod-X;NP-T-9010;CM2;3.2;STOCK;MAT-U-994;2;;MAT-U-994;6000
{e2c99945-0c1e-4435-bb03-3af545ccf141};19;NOT_STARTED;Rod-Y;NP-T;CM2;3.2;STOCK;MAT-U-998;2;;MAT-U-998;6000
{27534e74-8b85-4d4e-8ce6-20aad1d6be2a};20;NOT_STARTED;Rod-AA;NP-CL2+CLT2+CLB2-9010;CM2;3.2;REUSABLE;RSM-975;2;;RSM-975;4600
{1f7195ae-a093-4303-86c5-9595300acbe5};21;NOT_STARTED;Rod-AB;NP-CL2+CLT2+CLB2-9010;CM2;3.2;STOCK;MAT-V-003;2;;MAT-V-003;7000
{fdebec46-3d5c-4222-a30d-a72b1951f88e};22;NOT_STARTED;Rod-AC;NP-BAR12-4000;CM1;2;STOCK;MAT-V-006;2;;MAT-V-006;4000
{b30ef705-4941-44bd-b805-226f01d2b340};23;NOT_STARTED;Rod-AD;NP-ROLL70-5000;CM1;2;STOCK;MAT-V-009;2;;MAT-V-009;5000
{0e79cf81-fbc8-4f7f-99c0-91b516d04949};24;NOT_STARTED;Rod-AE;NP-CZ-9010;CM2;3.2;STOCK;MAT-V-012;2;;MAT-V-012;7000
{2857541f-63cf-439f-8dee-6c771ef67c3c};25;NOT_STARTED;Rod-AF;NP-TF-9010;CM2;3.2;REUSABLE;RST-C-573;2;;RST-C-573;3350
#SEGMENTS
{922ed33a-3d8d-42eb-a911-d5b075f94cd8};0;P;1720;MAT-U-939;{2ac5f00e-3a66-4328-878a-dcaf7d9295c4};326
{e2208caa-5b67-446c-801a-f5c5fc925b84};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{e2208caa-5b67-446c-801a-f5c5fc925b84};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{e2208caa-5b67-446c-801a-f5c5fc925b84};2;P;2856;MAT-U-941;{cfd29a2d-6b1e-4cd5-9eda-1abb69b5d544};325 1/2
{e2208caa-5b67-446c-801a-f5c5fc925b84};3;K;2;KERF;{cfd29a2d-6b1e-4cd5-9eda-1abb69b5d544};325 1/2
{e2208caa-5b67-446c-801a-f5c5fc925b84};4;P;2106;MAT-U-942;{a4141c40-6c28-4268-9c4e-5c344ad2ef94};326
{e2208caa-5b67-446c-801a-f5c5fc925b84};5;K;2;KERF;{a4141c40-6c28-4268-9c4e-5c344ad2ef94};326
{bd3c8743-6cb4-4fae-9b87-923d0735ea37};0;P;285;MAT-U-943;{3ef49b00-0f33-447b-84a1-b25c6b510f54};326
{bd3c8743-6cb4-4fae-9b87-923d0735ea37};1;K;2;KERF;{3ef49b00-0f33-447b-84a1-b25c6b510f54};326
{4ff4ddc2-a7c3-4c96-8bd0-218113029a35};0;P;2856;MAT-U-945;{2261e65f-82a9-4547-b572-434f365f22a3};325 2/2
{4ff4ddc2-a7c3-4c96-8bd0-218113029a35};1;K;2;KERF;{2261e65f-82a9-4547-b572-434f365f22a3};325 2/2
{54fd5947-5f03-4f84-bc48-f16097177996};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{54fd5947-5f03-4f84-bc48-f16097177996};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{54fd5947-5f03-4f84-bc48-f16097177996};2;P;2048;MAT-U-948;{ea83afdb-fc60-4179-bfff-db16a8140157};325 1/2
{54fd5947-5f03-4f84-bc48-f16097177996};3;K;3.2;KERF;{ea83afdb-fc60-4179-bfff-db16a8140157};325 1/2
{54fd5947-5f03-4f84-bc48-f16097177996};4;P;2048;MAT-U-949;{8706d2ed-23d2-4999-9722-39d63deadc97};325 2/2
{54fd5947-5f03-4f84-bc48-f16097177996};5;K;3.2;KERF;{8706d2ed-23d2-4999-9722-39d63deadc97};325 2/2
{675229d4-8cac-4bad-a215-1643de18fdff};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{675229d4-8cac-4bad-a215-1643de18fdff};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{675229d4-8cac-4bad-a215-1643de18fdff};2;P;2048;MAT-U-951;{d2c4d7ed-a302-45ea-b535-e5977f80e440};326
{675229d4-8cac-4bad-a215-1643de18fdff};3;K;3.2;KERF;{d2c4d7ed-a302-45ea-b535-e5977f80e440};326
{675229d4-8cac-4bad-a215-1643de18fdff};4;P;2048;MAT-U-952;{5c06b8e3-9f95-4a93-b131-035f56ef1c21};327
{675229d4-8cac-4bad-a215-1643de18fdff};5;K;3.2;KERF;{5c06b8e3-9f95-4a93-b131-035f56ef1c21};327
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};2;P;2895;MAT-U-955;{47caaf89-c425-483f-84bf-a749a41959e0};325 1/2
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};3;K;3.2;KERF;{47caaf89-c425-483f-84bf-a749a41959e0};325 1/2
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};4;P;2895;MAT-U-956;{6235aeee-8005-4190-a156-75aec6cb2bf2};325 2/2
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};5;K;3.2;KERF;{6235aeee-8005-4190-a156-75aec6cb2bf2};325 2/2
{0531e03b-de82-40e4-93ad-7eab2a58feab};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0531e03b-de82-40e4-93ad-7eab2a58feab};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0531e03b-de82-40e4-93ad-7eab2a58feab};2;P;2825;MAT-U-959;{0d1c3891-f799-4c3b-a276-15ad188e1fa1};325 1/2
{0531e03b-de82-40e4-93ad-7eab2a58feab};3;K;3.2;KERF;{0d1c3891-f799-4c3b-a276-15ad188e1fa1};325 1/2
{0531e03b-de82-40e4-93ad-7eab2a58feab};4;P;2825;MAT-U-960;{a7dd55a8-066e-49aa-bf00-1c883364ca93};325 2/2
{0531e03b-de82-40e4-93ad-7eab2a58feab};5;K;3.2;KERF;{a7dd55a8-066e-49aa-bf00-1c883364ca93};325 2/2
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
