RALcode;name;hex
000 15 00;Ink Black;#262626
000 20 00;Slate Black;#2E2E2E
000 25 00;Onyx Black;#363636
000 30 00;Medium Black;#474747
000 35 00;Briquette Grey;#4F4F4F
000 40 00;Dark Grey;#595959
000 45 00;Architecture Grey;#6A6A6A
000 50 00;Steel Grey;#737373
000 55 00;Medium Grey;#7D7D7D
000 60 00;Ash Grey;#919191
000 65 00;Mortar Grey;#9B9B9B
000 70 00;Light Grey;#A5A5A5
000 75 00;Marble Grey;#BABABA
000 80 00;Foggy Grey;#C4C4C4
000 85 00;Shadow White;#DCDCDC
000 90 00;Winter White;#E2E2E2
001 20 10;Black Red;#3A2A2F
001 30 20;Dark Wine;#5C3A45
001 40 30;Mahogany Red;#7D4A5B
001 50 40;Ruby Red;#9F5A71
001 60 50;Rosewood;#C16A87
001 70 60;Blush Pink;#E37A9D
001 80 70;Pastel Rose;#F59AB1
001 90 80;Light Rose;#FFBACC
002 20 10;Black Brown;#3A2F2A
002 30 20;Dark Chestnut;#5C453A
002 40 30;Walnut Brown;#7D5B4A
002 50 40;Cocoa Brown;#9F715A
002 60 50;Soft Brown;#C1876A
002 70 60;Warm Beige;#E39D7A
002 80 70;Pastel Beige;#F5B38A
002 90 80;Light Beige;#FFD99A
003 20 10;Black Olive;#2F3A2A
003 30 20;Dark Olive;#455C3A
003 40 30;Olive Green;#5B7D4A
003 50 40;Leaf Green;#71A05A
003 60 50;Spring Green;#87C16A
003 70 60;Mint Green;#9DE37A
003 80 70;Pastel Mint;#B1F59A
003 90 80;Light Mint;#CCFFB2
004 20 10;Black Blue;#2A2F3A
004 30 20;Dark Navy;#3A455C
004 40 30;Midnight Blue;#4A5B7D
004 50 40;Royal Blue;#5A71A0
004 60 50;Sky Blue;#6A87C1
004 70 60;Pastel Blue;#7AA3E3
004 80 70;Light Blue;#8ABCF5
004 90 80;Ice Blue;#9AD4FF
005 20 10;Black Violet;#3A2A3A
005 30 20;Dark Purple;#5C3A5C
005 40 30;Plum;#7D4A7D
005 50 40;Orchid;#9F5A9F
005 60 50;Lilac;#C16AC1
005 70 60;Pastel Lilac;#E37AE3
005 80 70;Light Lilac;#F59AF5
005 90 80;Lavender Mist;#FFBAFF
006 20 10;Black Yellow;#3A3A2A
006 30 20;Dark Ochre;#5C5C3A
006 40 30;Golden Brown;#7D7D4A
006 50 40;Amber;#9F9F5A
006 60 50;Honey Yellow;#C1C16A
006 70 60;Pastel Yellow;#E3E37A
006 80 70;Light Yellow;#F5F59A
006 90 80;Cream;#FFFFB2
007 20 10;Black Orange;#3A2F1F
007 30 20;Dark Terracotta;#5C4531
007 40 30;Clay Red;#7D5B43
007 50 40;Brick Red;#9F7155
007 60 50;Coral;#C18767
007 70 60;Peach;#E39D79
007 80 70;Pastel Peach;#F5B38B
007 90 80;Light Peach;#FFD99D
008 20 10;Black Green;#2A3A2F
008 30 20;Dark Forest;#3A5C45
008 40 30;Pine Green;#4A7D5B
008 50 40;Emerald;#5AA071
008 60 50;Jade;#6AC187
008 70 60;Mint;#7AE39D
008 80 70;Pastel Green;#8AF5B3
008 90 80;Light Green;#9CFFC9
009 20 10;Black Cyan;#2A3A3A
009 30 20;Dark Teal;#3A5C5C
009 40 30;Teal Blue;#4A7D7D
009 50 40;Turquoise;#5AA09F
009 60 50;Aqua;#6AC1C1
009 70 60;Pastel Aqua;#7AE3E3
009 80 70;Light Aqua;#8AF5F5
009 90 80;Ice Aqua;#9CFFFF
010 20 10;Dark Mahogany;#4B242C
010 30 30;Leather Red;#713240
010 40 40;Algae Red;#994055
010 50 50;Vibrant Red;#C24E6B
010 60 30;Japanese Coral;#C37C89
010 70 20;Silver Rose;#CF9EA6
010 80 10;Mud Pink;#DAC0C4
010 90 05;Rose Cream;#ECDFE1
020 20 20;Dark Red Brown;#5C2A2A
020 30 30;Crystal Dark Red;#703338
020 40 40;Clay Red;#98414A
020 50 50;Soft Crimson;#C2505D
020 60 30;Dusty Coral;#C37D80
020 70 10;Warm Rose;#BFA6A6
020 80 20;Pastel Crimson;#ECBABB
020 90 10;Light Coral;#F5DADA
030 20 20;Burnt Terracotta;#4B2A24
030 30 30;Terracotta Red Brown;#703B35
030 40 40;Clay Brown;#964440
030 50 50;Bright Coral;#C25C61
030 60 30;Warm Coral;#BA7F81
030 70 20;Light Coral Rose;#CDA3A1
030 80 10;Powder Coral;#E3C1BF
030 90 05;White Coral;#F3E3E1
040 20 20;Dark Brick Red;#4B2F2A
040 30 30;Brick Red;#703F35
040 40 40;Rust Red;#964F40
040 50 50;Bright Rust;#C25F4B
040 60 30;Warm Rust;#BA816C
040 70 20;Light Rust;#CDA38D
040 80 10;Powder Rust;#E3C1AD
040 90 05;White Rust;#F3E3D1
050 20 20;Dark Terracotta Red;#4B2F2F
050 30 30;Terracotta Red;#703F3F
050 40 40;Clay Terracotta;#964F4F
050 50 50;Bright Terracotta;#C25F5F
050 60 30;Warm Terracotta;#BA8181
050 70 20;Light Terracotta;#CDA3A3
050 80 10;Powder Terracotta;#E3C1C1
050 90 05;White Terracotta;#F3E3E3
060 20 20;Dark Coral Red;#4B2F35
060 30 30;Coral Red;#703F4A
060 40 40;Clay Coral;#964F60
060 50 50;Bright Coral Red;#C25F76
060 60 30;Warm Coral Red;#BA8193
060 70 20;Light Coral Red;#CDA3B5
060 80 10;Powder Coral Red;#E3C1D3
060 90 05;White Coral Red;#F3E3ED
070 20 20;Dark Blush Red;#4B2F3A
070 30 30;Blush Red;#703F55
070 40 40;Clay Blush;#964F70
070 50 50;Bright Blush;#C25F8C
070 60 30;Warm Blush;#BA81A9
