RALcode;name;hex
P2 010 90 10;Soft White;#F6F6F0
P2 020 80 20;Soft Pearl;#E0E0D9
P2 030 70 30;Soft Ivory;#D9D9C9
P2 040 60 40;Soft Sand;#C9C9B3
P2 050 50 50;Soft Taupe;#B3B399
P2 060 40 60;Soft Earth;#999980
P2 070 30 70;Soft Clay;#808066
P2 080 20 80;Soft Mud;#66664D
P2 090 10 90;Soft Deep Grey;#4C4C33
P2 100 00 100;Soft Black;#33331A
P2 110 90 10;Soft Rose;#FFF0F6
P2 120 80 20;Soft Blush;#FFD9E0
P2 130 70 30;Soft Petal;#FFC9D9
P2 140 60 40;Soft Pink;#FFB3C9
P2 150 50 50;Soft Fuchsia;#FF99B3
P2 160 40 60;Soft Raspberry;#FF6699
P2 170 30 70;Soft Magenta;#FF4D80
P2 180 20 80;Soft Neon Pink;#FF3366
P2 190 10 90;Soft Electric Pink;#FF1A4C
P2 200 00 100;Soft Signal Pink;#FF0033
P2 210 90 10;Soft Mint;#F0FFF6
P2 220 80 20;Soft Ice Green;#D9FFE0
P2 230 70 30;Soft Meadow;#C9FFD9
P2 240 60 40;Soft Spring;#B3FFC9
P2 250 50 50;Soft Leaf;#99FFB3
P2 260 40 60;Soft Bright Green;#66FF99
P2 270 30 70;Soft Lime;#4DFF80
P2 280 20 80;Soft Chartreuse;#33FF66
P2 290 10 90;Soft Neon Green;#1AFF4C
P2 300 00 100;Soft Signal Green;#00FF33
P2 310 90 10;Soft Sky;#F0F0FF
P2 320 80 20;Soft Ice Blue;#D9D9FF
P2 330 70 30;Soft Azure;#C9C9FF
P2 340 60 40;Soft Periwinkle;#B3B3FF
P2 350 50 50;Soft Cobalt;#9999FF
P2 360 40 60;Soft Royal Blue;#6666FF
P2 370 30 70;Soft Deep Blue;#4D4DFF
P2 380 20 80;Soft Indigo;#3333FF
P2 390 10 90;Soft Electric Blue;#1A1AFF
P2 400 00 100;Soft Signal Blue;#0000FF
P2 410 90 10;Soft Lilac;#F6E6FF
P2 420 80 20;Soft Lavender;#E0CCFF
P2 430 70 30;Soft Violet;#D9B3FF
P2 440 60 40;Soft Orchid;#C999FF
P2 450 50 50;Soft Amethyst;#B380FF
P2 460 40 60;Soft Purple;#9966FF
P2 470 30 70;Soft Deep Violet;#804DFF
P2 480 20 80;Soft Neon Violet;#6633FF
P2 490 10 90;Soft Electric Violet;#4C1AFF
P2 500 00 100;Soft Signal Violet;#3300FF
P2 510 90 10;Soft Apricot;#FFF6E6
P2 520 80 20;Soft Peach;#FFE0CC
P2 530 70 30;Soft Coral;#FFD9B3
P2 540 60 40;Soft Salmon;#FFC999
P2 550 50 50;Soft Tangerine;#FFB380
P2 560 40 60;Soft Orange;#FF9966
P2 570 30 70;Soft Flame;#FF804D
P2 580 20 80;Soft Vermilion;#FF6633
P2 590 10 90;Soft Red Orange;#FF4C1A
P2 600 00 100;Soft Signal Orange;#FF3300
P2 610 90 10;Soft Lemon;#FFFFE6
P2 620 80 20;Soft Butter;#FFFFCC
P2 630 70 30;Soft Banana;#FFFFB3
P2 640 60 40;Soft Daffodil;#FFFF99
P2 650 50 50;Soft Sunflower;#FFFF80
P2 660 40 60;Soft Mustard;#FFFF66
P2 670 30 70;Soft Gold;#FFFF4D
P2 680 20 80;Soft Amber Yellow;#FFFF33
P2 690 10 90;Soft Neon Yellow;#FFFF1A
P2 700 00 100;Soft Signal Yellow;#FFFF00
P2 710 90 10;Soft Olive Mist;#F6FFE6
P2 720 80 20;Soft Sage;#E0FFCC
P2 730 70 30;Soft Pistachio;#D9FFB3
P2 740 60 40;Soft Avocado;#C9FF99
P2 750 50 50;Soft Leaf Green;#B3FF80
P2 760 40 60;Soft Fern;#99FF66
P2 770 30 70;Soft Meadow;#80FF4D
P2 780 20 80;Soft Forest;#66FF33
P2 790 10 90;Soft Neon Lime;#4CFF1A
P2 800 00 100;Soft Signal Lime;#33FF00
P2 810 90 10;Soft Ice Mint;#E6FFF6
P2 820 80 20;Soft Aqua;#CCFFE0
P2 830 70 30;Soft Turquoise;#B3FFD9
P2 840 60 40;Soft Lagoon;#99FFC9
P2 850 50 50;Soft Teal;#80FFB3
P2 860 40 60;Soft Seafoam;#66FF99
P2 870 30 70;Soft Ocean Green;#4DFF80
P2 880 20 80;Soft Deep Aqua;#33FF66
P2 890 10 90;Soft Electric Aqua;#1AFF4C
P2 900 00 100;Soft Signal Aqua;#00FF33
P2 910 90 10;Soft Sky Mist;#E6F6FF
P2 920 80 20;Soft Ice Blue;#CCE0FF
P2 930 70 30;Soft Glacier;#B3D9FF
P2 940 60 40;Soft Arctic;#99C9FF
P2 950 50 50;Soft Horizon;#80B3FF
P2 960 40 60;Soft Ocean;#6699FF
P2 970 30 70;Soft Deep Sky;#4D80FF
P2 980 20 80;Soft Sapphire;#3366FF
P2 990 10 90;Soft Royal Blue;#1A4CFF
P2 1000 00 100;Soft Signal Blue;#0033FF
P2 1010 90 10;Soft Beige;#F6F2E6
P2 1020 80 20;Soft Almond;#E0D9CC
P2 1030 70 30;Soft Hazelnut;#D9C9B3
P2 1040 60 40;Soft Caramel;#C9B399
P2 1050 50 50;Soft Toffee;#B39980
P2 1060 40 60;Soft Nougat;#998066
P2 1070 30 70;Soft Walnut;#80664D
P2 1080 20 80;Soft Chestnut;#664D33
P2 1090 10 90;Soft Mahogany;#4C331A
P2 1100 00 100;Soft Deep Brown;#331A00
P2 1110 90 10;Soft Ice Grey;#F0F0F0
P2 1120 80 20;Soft Silver;#D9D9D9
P2 1130 70 30;Soft Steel;#C9C9C9
P2 1140 60 40;Soft Iron;#B3B3B3
P2 1150 50 50;Soft Graphite;#999999
P2 1160 40 60;Soft Slate;#808080
P2 1170 30 70;Soft Charcoal;#666666
P2 1180 20 80;Soft Anthracite;#4D4D4D
P2 1190 10 90;Soft Deep Grey;#333333
P2 1200 00 100;Soft Black Grey;#1A1A1A
P2 1210 90 10;Soft Rose Beige;#FFF6F0
P2 1220 80 20;Soft Blush Beige;#FFE0D9
P2 1230 70 30;Soft Petal Beige;#FFD9C9
P2 1240 60 40;Soft Coral Beige;#FFC9B3
P2 1250 50 50;Soft Salmon Beige;#FFB399
P2 1260 40 60;Soft Peach Beige;#FF9966
P2 1270 30 70;Soft Apricot Beige;#FF804D
P2 1280 20 80;Soft Flame Beige;#FF6633
P2 1290 10 90;Soft Vermilion Beige;#FF4C1A
P2 1300 00 100;Soft Red Beige;#FF3300
P2 1310 90 10;Soft Lilac Mist;#F6F0FF
P2 1320 80 20;Soft Lavender Mist;#E0D9FF
P2 1330 70 30;Soft Violet Mist;#D9C9FF
P2 1340 60 40;Soft Orchid Mist;#C9B3FF
P2 1350 50 50;Soft Amethyst Mist;#B399FF
P2 1360 40 60;Soft Purple Mist;#9966FF
P2 1370 30 70;Soft Deep Violet Mist;#804DFF
P2 1380 20 80;Soft Indigo Mist;#6633FF
P2 1390 10 90;Soft Electric Violet Mist;#4C1AFF
P2 1400 00 100;Soft Signal Violet Mist;#3300FF
P2 1410 90 10;Soft Mint Grey;#F0FFF0
P2 1420 80 20;Soft Ice Mint Grey;#D9FFE0
P2 1430 70 30;Soft Meadow Grey;#C9FFD9
P2 1440 60 40;Soft Spring Grey;#B3FFC9
P2 1450 50 50;Soft Leaf Grey;#99FFB3
P2 1460 40 60;Soft Fern Grey;#66FF99
P2 1470 30 70;Soft Lime Grey;#4DFF80
P2 1480 20 80;Soft Chartreuse Grey;#33FF66
P2 1490 10 90;Soft Neon Lime Grey;#1AFF4C
P2 1500 00 100;Soft Signal Lime Grey;#00FF33
P2 1510 90 10;Soft Snow White;#FFFFFF
P2 1520 80 20;Soft Cloud White;#F2F2F2
P2 1530 70 30;Soft Fog Grey;#E6E6E6
P2 1540 60 40;Soft Ash Grey;#D9D9D9
