materialBarcode;quantity;storageBarcode;comment;createdAt;lastSeenAt
MT;100;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
MT-L;100;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
TE-R-23;100;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
TE-H-32;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
ROL-GYZ;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
SR-T;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
TE-H-18;6;CM2WH;;2026-06-26 20:56:50;2026-08-14 11:20:15
NP-BAR12-4000;72;VAS;;2026-06-26 20:56:50;2026-08-03 12:37:28
NP-ROLL78-7000;48;CM1WH;;2026-06-26 20:56:50;2026-08-05 09:48:55
NP-ROLL70-6000;6;CM1WH;;2026-07-03 11:04:14;2026-08-10 13:43:28
NP-ROLL70-7000;2;CM1WH;;2026-07-08 09:06:11;2026-08-10 13:43:36
NP-SL;10;VAS_IN;;2026-07-17 13:32:54;2026-07-17 13:32:54
NP-ROLL70-5000;23;CM1WH;;2026-08-05 09:49:40;2026-08-10 13:43:45
NP-ROLL70-6000;100;VIRT;;2026-08-05 09:54:52;2026-08-05 09:54:52
NP-BAR20-6000;72;VAS;;2026-08-10 12:14:39;2026-08-10 12:14:39
SR-Z;10;VIRT;;2026-08-19 09:38:36;2026-08-19 09:38:36

NP-CZ2-7016;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-CZ2-9010;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-CZ2;10;WH04;;2026-06-26 20:56:50;2026-07-27 10:18:31

NP-SL-7016;85;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-SL-7016;11;WH04;;2026-06-26 20:56:50;2026-06-26 20:57:00
NP-SL-9010;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50

NP-SZ-7016;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-SZ;48;VAS;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-SZ-9010;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50

NP-T+TF;10;VAS;;2026-06-26 20:56:50;2026-08-05 09:43:56
NP-T+TF-9010;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-T+TF-7016;10;WH20_R_RR;;2026-07-27 08:51:11;2026-07-27 08:51:11
NP-T+TF-9010;30;VAS_OUT;;2026-08-05 09:43:25;2026-08-05 09:43:25
NP-T+TF-7016;100;VIRT;;2026-08-05 09:52:45;2026-08-05 09:52:45

NP-CL2-9010;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-CL2-7016;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-CL2-7016;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-CL2;10;VAS;;2026-06-26 20:56:50;2026-07-27 10:18:34
NP-CL2;7;VAS;;2026-06-26 20:56:50;2026-06-26 20:56:50

NP-CLT2;44;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50
NP-CLT2-9010;10;VAS;;2026-07-20 18:57:44;2026-07-20 18:57:44
NP-CLT2-7016;100;VIRT;;2026-08-05 09:55:44;2026-08-05 09:55:44
NP-CLT2-7016;1;CM2WH;;2026-08-19 11:09:25;2026-08-19 11:09:25
NP-CLT2-7016;10;WH04;;2026-06-26 20:56:50;2026-06-26 20:56:50

NP-CLB;40;VAS;;2026-07-06 07:23:28;2026-07-06 07:23:28
