externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;subtype;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded
"1413";"PrémiumHoliday";0;0;1720;;5;2;3;none;"";ST-6000;Width;false
"1414";"PrémiumHoliday";0;0;1135;;1;0;0;rugos;"";ST-6000;Width;false
"1415";"PrémiumHoliday";0;0;530;;1;0;0;tetoteri;"";ST-6000;Width;false
"1416";"PrémiumHoliday";0;0;1725;;1;0;0;alap;"";ST-6000;Width;false
"1417";"PrémiumHoliday";0;0;2065;;1;0;0;none;"";ST-6000;Width;false
"1418";"PrémiumHoliday";0;0;935;;1;0;0;none;"";ST-6000;Width;false
"1419";"PrémiumHoliday";0;0;1730;;1;0;0;none;"";ST-6000;Width;false
"1420";"PrémiumHoliday";0;0;1125;;1;0;0;none;"";ST-6000;Width;false
"1421";"PrémiumHoliday";0;0;535;;1;0;0;none;"";ST-6000;Width;false
"1422";"PrémiumHoliday";0;0;1735;;1;0;0;none;"";ST-6000;Width;false
"1423";"PrémiumHoliday";0;0;2065;;1;0;0;none;"";ST-6000;Width;false
"1424";"PrémiumHoliday";0;0;925;;1;0;0;none;"";ST-6000;Width;false
"1425";"PrémiumHoliday";0;0;935;;1;0;0;none;"";ST-6000;Width;false
"1426";"PrémiumHoliday";0;0;2115;;1;0;0;none;"";ST-6000;Width;false
"1427";"PrémiumHoliday";0;0;1130;;1;0;0;none;"";ST-6000;Width;false
"1428";"PrémiumHoliday";0;0;520;;1;0;0;none;"";ST-6000;Width;false
"1429";"PrémiumHoliday";0;0;1125;;1;0;0;none;"";ST-6000;Width;false
"1430";"PrémiumHoliday";0;0;535;;1;0;0;none;"";ST-6000;Width;false
"1431";"PrémiumHoliday";0;0;1135;;1;0;0;none;"";ST-6000;Width;false
"1432";"PrémiumHoliday";0;0;1140;;1;0;0;none;"";ST-6000;Width;false
"1433";"PrémiumHoliday";0;0;540;;1;0;0;none;"";ST-6000;Width;false
"1434";"PrémiumHoliday";0;0;1140;;1;0;0;none;"";ST-6000;Width;false
"1435";"PrémiumHoliday";0;0;535;;1;0;0;none;"";ST-6000;Width;false
"1436";"PrémiumHoliday";0;0;1130;;1;0;0;none;"";ST-6000;Width;false
"1437";"PrémiumHoliday";0;0;2085;;1;0;0;none;"";ST-6000;Width;false
"1438";"PrémiumHoliday";0;0;935;;1;0;0;none;"";ST-6000;Width;false
"1439";"PrémiumHoliday";0;0;2415;;1;0;0;none;"";ST-6000;Width;false
"1440";"PrémiumHoliday";0;0;830;;1;0;0;none;"";ST-6000;Width;false
"1443";"PrémiumHoliday";0;0;2365;;1;0;0;none;"";ST-6000;Width;false
"1444";"PrémiumHoliday";0;0;3589;;1;0;0;none;"";ST-6000;Width;false
"1445";"PrémiumHoliday";0;0;2260;;1;0;0;none;"";ST-6000;Width;false
