externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;subtype;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded
"1413";"PrémiumHoliday";0;0;1730;;5;2;3;none;"";NP-T-7016;Width;false
"1414";"PrémiumHoliday";0;0;1145;;1;0;0;rugos;"";NP-T-7016;Width;false
"1415";"PrémiumHoliday";0;0;540;;1;0;0;tetoteri;"";NP-T-7016;Width;false
"1416";"PrémiumHoliday";0;0;1735;;1;0;0;alap;"";NP-T-7016;Width;false
"1417";"PrémiumHoliday";0;0;2075;;1;0;0;none;"";NP-T-7016;Width;false
"1418";"PrémiumHoliday";0;0;945;;1;0;0;none;"";NP-T-7016;Width;false
"1419";"PrémiumHoliday";0;0;1740;;1;0;0;none;"";NP-T-7016;Width;false
"1420";"PrémiumHoliday";0;0;1135;;1;0;0;none;"";NP-T-7016;Width;false
"1421";"PrémiumHoliday";0;0;545;;1;0;0;none;"";NP-T-7016;Width;false
"1422";"PrémiumHoliday";0;0;1745;;1;0;0;none;"";NP-T-7016;Width;false
"1423";"PrémiumHoliday";0;0;2075;;1;0;0;none;"";NP-T-7016;Width;false
"1424";"PrémiumHoliday";0;0;935;;1;0;0;none;"";NP-T-7016;Width;false
"1425";"PrémiumHoliday";0;0;945;;1;0;0;none;"";NP-T-7016;Width;false
"1426";"PrémiumHoliday";0;0;2125;;1;0;0;none;"";NP-T-7016;Width;false
"1427";"PrémiumHoliday";0;0;1140;;1;0;0;none;"";NP-T-7016;Width;false
"1428";"PrémiumHoliday";0;0;530;;1;0;0;none;"";NP-T-7016;Width;false
"1429";"PrémiumHoliday";0;0;1135;;1;0;0;none;"";NP-T-7016;Width;false
"1430";"PrémiumHoliday";0;0;545;;1;0;0;none;"";NP-T-7016;Width;false
"1431";"PrémiumHoliday";0;0;1145;;1;0;0;none;"";NP-T-7016;Width;false
"1432";"PrémiumHoliday";0;0;1150;;1;0;0;none;"";NP-T-7016;Width;false
"1433";"PrémiumHoliday";0;0;550;;1;0;0;none;"";NP-T-7016;Width;false
"1434";"PrémiumHoliday";0;0;1150;;1;0;0;none;"";NP-T-7016;Width;false
"1435";"PrémiumHoliday";0;0;545;;1;0;0;none;"";NP-T-7016;Width;false
"1436";"PrémiumHoliday";0;0;1140;;1;0;0;none;"";NP-T-7016;Width;false
"1437";"PrémiumHoliday";0;0;2095;;1;0;0;none;"";NP-T-7016;Width;false
"1438";"PrémiumHoliday";0;0;945;;1;0;0;none;"";NP-T-7016;Width;false
"1439";"PrémiumHoliday";0;0;2425;;1;0;0;none;"";NP-T-7016;Width;false
"1440";"PrémiumHoliday";0;0;840;;1;0;0;none;"";NP-T-7016;Width;false
"1443";"PrémiumHoliday";0;0;2375;;1;0;0;none;"";NP-T-7016;Width;false
"1444";"PrémiumHoliday";0;0;3599;;1;0;0;none;"";NP-T-7016;Width;false
"1445";"PrémiumHoliday";0;0;2270;;1;0;0;none;"";NP-T-7016;Width;false
